WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-06-12_1630,1630,BREAKOUT,BUY,2025-06-12 16:45:00,2025-06-12 16:50:00,19667.31,19656.18,19646.844,19708.242000000002,20.46600000000035,-11.130000000001019,-0.5438287892114154,FILTER_EXIT,4.830000000001746,0.6554433221100158,0.28116440148708577,29.279999999998836,19647.84,19.470000000001164,1.7044500363433888,1,17.17856163317885,0.6649590163935089,,1.0,0.0,1.430665493989951,0.7055604417083007,19641.408253797814,19617.648428033586,19596.22841669901,19578.86147485536,19578.530199004977,17.17856163317885,0.08734576123109286,,0.0,1.0,0,0,1,1,1630,19662.48,19633.2
2025-06-23_1630,1630,BREAKOUT,BUY,2025-06-23 19:25:00,2025-06-23 19:35:00,19574.28,19611.012,19555.913999999997,19611.012,18.366000000000348,36.73199999999997,1.9999999999999605,TP_HIT,4.849999999998545,0.9164265129683302,0.139860397226921,25.760000000002037,19556.55,17.729999999999563,0.7428461510447116,1,34.677436187525664,0.6882763975154566,1.2795830960046024,0.6666666666666666,0.0,1.4025917456169852,0.0,19503.28056304902,19491.452900099805,19491.916190317035,19518.833800117,19572.63132769502,34.677436187525664,0.177158169738686,1.2795830960046024,0.0,0.6666666666666666,0,0,1,1,1630,19569.43,19543.67
2025-06-24_1630,1630,BREAKOUT,BUY,2025-06-24 17:00:00,2025-06-24 18:40:00,19875.1,19925.727999999996,19849.786,19925.727999999996,25.313999999999215,50.62799999999697,1.9999999999999425,TP_HIT,9.559999999997672,0.8957871396894785,0.4628895584413243,32.63000000000102,19849.225,25.875,1.5799253443456653,1,20.652874591055383,0.7929819184799017,0.7499269400181954,1.0,0.0,1.2890100339733757,0.2046298490953801,19850.798705799854,19807.543610172317,19717.94412301674,19594.289861560967,19582.14959482599,20.652874591055383,0.10391331158613232,0.7499269400181954,0.0,1.0,0,0,1,1,1630,19865.54,19832.91
2025-07-02_1630,1630,BREAKOUT,BUY,2025-07-02 16:45:00,2025-07-02 17:05:00,20353.16,20379.62,20339.93,20379.62,13.229999999999563,26.459999999999127,2.0,TP_HIT,2.3400000000001455,0.9505553565030087,0.1349819631420191,19.709999999999127,20340.965,12.194999999999709,1.1369634587730397,1,17.33564948628101,0.6187214611872273,0.9071852843682537,1.0,0.0,1.4897959183673302,0.5744520030233405,20321.57305369606,20287.993932548667,20262.192073408783,20240.67153313918,19788.946764452132,17.33564948628101,0.08517424068931316,0.9071852843682537,0.0,1.0,0,0,1,1,1630,20350.82,20331.11
2025-07-08_1630,1630,BREAKOUT,BUY,2025-07-08 18:20:00,2025-07-08 18:30:00,20464.12,20446.56,20440.432,20511.496,23.687999999999736,-17.55999999999767,-0.7413036136439491,FILTER_EXIT,0.27999999999883585,0.8002944062805131,0.02049387208812182,39.20000000000073,20444.239999999998,19.88000000000102,2.869142092349037,1,13.662620650449114,0.5071428571428737,0.7406645887127776,1.0,0.0,1.6548463356974488,0.7413036136439491,20438.893748658535,20428.959724446046,20423.296978332804,20415.819682669284,19925.38569518588,13.662620650449114,0.066763782906126,0.7406645887127776,0.0,1.0,0,0,1,1,1630,20463.84,20424.64
2025-07-10_1630,1630,BREAKOUT,BUY,2025-07-10 17:05:00,2025-07-10 17:10:00,20572.14,20551.99,20543.915999999997,20628.588,28.224000000000522,-20.149999999997817,-0.713931405895601,FILTER_EXIT,9.220000000001164,0.5634920634920131,0.6071726235562329,37.81999999999971,20544.01,28.13000000000102,2.490593126127294,1,15.185137870675522,0.7437863564252045,0.8150399050071812,1.0,0.0,1.3399943310657245,0.9109268707482515,20559.821675127434,20559.676406388942,20559.063238525792,20507.442928698954,20002.01999135363,15.185137870675522,0.07381408968962647,0.8150399050071812,0.0,1.0,0,0,1,1,1630,20562.92,20525.1
2025-07-11_1630,1630,BREAKOUT,BUY,2025-07-11 17:40:00,2025-07-11 17:45:00,20637.39,20622.14,20619.564,20673.041999999998,17.825999999999475,-15.25,-0.855491978009674,FILTER_EXIT,1.9399999999986903,0.7411764705882082,0.10385140275569132,27.770000000000437,20621.565000000002,15.82499999999709,1.4865739456327527,1,18.68053727268863,0.5698595606768758,0.9661229556989173,0.6666666666666666,0.0,1.557836867496985,0.8835408953214666,20605.44541806096,20603.216842938033,20606.849589307814,20567.634035011004,20044.67026782848,18.68053727268863,0.0905179253417638,0.9661229556989173,0.0,0.6666666666666666,0,0,1,1,1630,20635.45,20607.68
2025-07-14_1630,1630,BREAKOUT,BUY,2025-07-14 16:50:00,2025-07-14 19:00:00,20599.75,20653.942,20572.654,20653.942,27.09599999999991,54.1919999999991,1.9999999999999734,TP_HIT,11.020000000000437,0.6988906497622482,0.5306429292040928,34.13999999999942,20571.66,28.090000000000146,1.6439337207828224,1,20.767260606919322,0.8227885178676223,0.9743029595663734,0.6666666666666666,0.0,1.2599645704162803,0.08414526129313711,20580.961775779386,20580.902658052055,20592.8802325665,20585.110057702736,20081.44507516348,20.767260606919322,0.10081316815456168,0.9743029595663734,0.0,0.6666666666666666,0,0,1,1,1630,20588.73,20554.59
2025-07-16_1630,1630,BREAKOUT,BUY,2025-07-16 18:55:00,2025-07-16 21:00:00,20692.85,20727.829999999994,20675.36,20727.829999999994,17.48999999999869,34.979999999995925,1.9999999999999167,TP_HIT,0.3099999999976717,0.0893854748602103,0.012779120553792694,28.840000000000146,20678.120000000003,14.729999999995925,1.1888704412069393,1,24.25832033532756,0.5107489597779421,0.7535931329335585,0.6666666666666666,0.0,1.6489422527159694,0.5751858204687492,20659.10460223552,20649.408113742727,20664.855361934107,20677.07213120457,20173.50009448218,24.25832033532756,0.1172304459527207,0.7535931329335585,0.0,0.6666666666666666,0,0,1,1,1630,20692.54,20663.7
2025-07-17_1630,1630,BREAKOUT,BUY,2025-07-17 16:45:00,2025-07-17 17:40:00,20842.31,20882.894,20822.018,20882.894,20.291999999999824,40.58399999999892,1.9999999999999643,TP_HIT,8.640000000003056,0.9057591623035278,0.5199226015764904,25.179999999996653,20821.08,21.229999999999563,1.51523739672334,1,16.6178580692687,0.8431294678317072,1.1096100034013487,1.0,0.0,1.2408831066428578,0.30258229844288925,20820.14433536131,20794.523289445562,20754.120888729616,20705.194829432632,20203.3340604091,16.6178580692687,0.07973136408233394,1.1096100034013487,0.0,1.0,0,0,1,1,1630,20833.67,20808.49
2025-07-18_1630,1630,BREAKOUT,BUY,2025-07-18 18:05:00,2025-07-18 18:10:00,20898.24,20889.33,20871.858,20951.004000000004,26.382000000000698,-8.909999999999854,-0.33773027063905764,FILTER_EXIT,14.320000000003347,0.555977229601425,1.1346535281258223,29.649999999997817,20869.095,29.145000000000437,2.349334993639685,1,12.620592669955013,0.9829679595279117,0.7863436150653628,1.0,0.0,1.1238723371994934,0.33773027063905764,20900.715142848912,20895.46107180915,20892.409825745926,20820.811049713844,20263.994335820076,12.620592669955013,0.06039069639335663,0.7863436150653628,0.0,1.0,0,0,1,1,1630,20883.92,20854.27
2025-07-23_1630,1630,BREAKOUT,BUY,2025-07-23 16:55:00,2025-07-23 17:05:00,20916.12,20917.16,20894.478,20959.404,21.641999999999825,1.0400000000008731,0.04805470843733858,FILTER_EXIT,4.459999999999127,0.3984198645598254,0.26381431432462077,31.610000000000582,20895.855,20.264999999999418,1.869769164978262,1,16.90583019127288,0.6410945903194889,0.8869426289388904,0.6666666666666666,0.0,1.4605858977913704,0.8654468163755529,20901.625071314164,20901.283341332157,20902.011830573338,20911.87799058983,20387.31793287851,16.90583019127288,0.08082679861883027,0.8869426289388904,0.0,0.6666666666666666,0,0,1,1,1630,20911.66,20880.05
2025-07-24_1630,1630,BREAKOUT,BUY,2025-07-24 16:45:00,2025-07-24 18:15:00,21060.21,21058.36,21043.53,21093.57,16.679999999999563,-1.8499999999985448,-0.1109112709831291,FILTER_EXIT,4.389999999999418,0.7785527462946281,0.24360793204396894,23.409999999999854,21044.114999999998,16.095000000001164,1.2990573323804178,1,18.020759682024902,0.687526697992365,0.9082862101610074,1.0,0.0,1.4034772182254478,0.6726618705034665,21047.339887656377,21038.81899893739,21011.106128269894,20953.89567441558,20430.210737604495,18.020759682024902,0.08556780621857475,0.9082862101610074,0.0,1.0,0,0,1,1,1630,21055.82,21032.41
2025-07-25_1630,1630,BREAKOUT,BUY,2025-07-25 16:45:00,2025-07-25 16:50:00,21106.3,21101.09,21096.183999999997,21126.532,10.11600000000035,-5.209999999999127,-0.515025701858338,FILTER_EXIT,0.18999999999869033,0.5653594771240225,0.01802149810552158,16.67000000000189,21097.775,8.524999999997817,1.5811493337955245,1,10.542963680720666,0.5113977204557199,0.91959475928637,1.0,0.0,1.6478845393437442,0.5604982206403774,21094.430720447723,21089.094133637784,21082.802639564376,21023.670594157426,20475.22078128193,10.542963680720666,0.0499517380152877,0.91959475928637,0.0,1.0,0,0,1,1,1630,21106.11,21089.44
2025-07-30_1630,1630,BREAKOUT,BUY,2025-07-30 16:50:00,2025-07-30 16:55:00,21194.82,21177.22,21180.834,21222.792,13.986000000000786,-17.599999999998545,-1.2584012584010837,FILTER_EXIT,6.860000000000582,0.91799363057306,0.4752903062907891,16.450000000000728,21179.735,15.084999999999127,1.1397267548809276,1,14.43328405650996,0.917021276595651,0.8545007323492977,1.0,0.0,1.1761761761761622,1.414986414986398,21175.523607392148,21159.20860894683,21149.576626677568,21140.022571618883,20611.311523272638,14.43328405650996,0.06809816764902915,0.8545007323492977,0.0,1.0,0,0,1,1,1630,21187.96,21171.51
2025-08-06_1630,1630,BREAKOUT,BUY,2025-08-06 16:45:00,2025-08-06 16:50:00,21018.91,20994.15,20979.976,21096.778,38.93399999999965,-24.7599999999984,-0.6359480145887559,FILTER_EXIT,10.450000000000728,0.951578947368513,0.4227918753089299,54.43999999999869,20981.239999999998,37.67000000000189,2.2025636068723435,1,24.716652826795723,0.691954445260889,1.0601122344813376,1.0,0.0,1.3982637283607946,0.7903118097293038,20993.582102756023,20981.455582731935,20973.24299117018,20970.291191061893,20728.30509737267,24.716652826795723,0.11759245758602956,1.0601122344813376,0.0,1.0,0,0,1,1,1630,21008.46,20954.02
2025-08-11_1630,1630,BREAKOUT,BUY,2025-08-11 18:40:00,2025-08-11 18:45:00,21502.32,21498.99,21487.506,21531.947999999997,14.813999999999213,-3.3299999999981083,-0.224787363304866,FILTER_EXIT,8.099999999998545,0.944297082228151,0.6614343128867644,16.590000000000146,21485.925000000003,16.3949999999968,1.3547154630609244,1,12.246114001323729,0.9882459312837043,1.0563281324547178,1.0,0.0,1.1198865937627263,0.224787363304866,21517.31294492015,21505.52420631554,21480.533581062253,21353.972175745545,20858.61536023567,12.246114001323729,0.05695252419889449,1.0563281324547178,0.0,1.0,0,0,1,1,1630,21494.22,21477.63
2025-08-21_1630,1630,BREAKOUT,BUY,2025-08-21 17:40:00,2025-08-21 17:45:00,21161.55,21131.56,21136.926,21210.798,24.624000000000525,-29.989999999997963,-1.2179174788822824,FILTER_EXIT,0.4599999999991269,0.9273743016760723,0.022579072004766457,40.580000000001746,21140.8,20.75,1.991866830337394,0,20.372847914299605,0.5113356333168829,0.7370045262147447,1.0,0.0,1.6479857050032847,1.3040123456790083,21138.721841847844,21135.369796517763,21130.719694457985,21238.934004908388,21125.261130791758,20.372847914299605,0.09627294746509403,0.7370045262147447,0.0,1.0,0,0,0,1,1630,21161.09,21120.51
2025-08-22_1630,1630,BREAKOUT,BUY,2025-08-22 16:50:00,2025-08-22 17:55:00,21506.9,21480.32,21464.300000000003,21592.100000000002,42.6,-26.580000000001746,-0.623943661971872,FILTER_EXIT,13.409999999999854,0.8148631029986885,0.34980403229618756,57.590000000000146,21464.695,42.205000000001746,1.502253111106466,1,38.33575019697109,0.7328529258552117,1.2102616290690047,1.0,0.0,1.3518779342723037,0.623943661971872,21446.076083749296,21345.521972352362,21234.76229825644,21206.395559298264,21128.455780999102,38.33575019697109,0.17824860950193236,1.2102616290690047,0.0,1.0,0,0,1,1,1630,21493.49,21435.9
2025-08-25_1630,1630,BREAKOUT,BUY,2025-08-25 16:55:00,2025-08-25 17:50:00,21531.08,21567.08,21513.08,21567.08,18.0,36.0,2.0,TP_HIT,9.780000000002474,0.9752633989921745,0.5362029772925461,20.219999999997526,21511.190000000002,19.889999999999418,1.1085914315798786,1,18.239361611501497,0.9836795252226435,0.8710392589672583,1.0,0.0,1.1233333333331958,0.0,21511.718449863816,21499.988950001363,21485.499520242654,21364.999569410655,21156.0406339829,18.239361611501497,0.08471178227706876,0.8710392589672583,0.0,1.0,0,0,1,1,1630,21521.3,21501.08
2025-08-28_1630,1630,BREAKOUT,BUY,2025-08-28 16:50:00,2025-08-28 17:25:00,21646.1,21628.94,21616.532,21705.235999999997,29.5679999999993,-17.159999999999854,-0.5803571428571517,FILTER_EXIT,13.37999999999738,0.35455543358959124,0.5155882455530135,35.900000000001455,21614.77,31.32999999999811,1.3833795228219403,1,25.950940727219564,0.8727019498606362,1.0662934423404185,1.0,0.0,1.2141504329005108,0.7210497835497908,21624.881647128415,21612.130582140217,21596.63008229053,21537.865839803802,21230.056184677476,25.950940727219564,0.11988737337081305,1.0662934423404185,0.0,1.0,0,0,1,1,1630,21632.72,21596.82
2025-09-05_1630,1630,BREAKOUT,BUY,2025-09-05 17:40:00,2025-09-05 17:45:00,21686.54,21662.38,21635.336,21788.948,51.204000000000086,-24.159999999999854,-0.4718381376454928,FILTER_EXIT,27.360000000000582,0.7001287001286483,0.9021736686237588,57.97999999999956,21630.190000000002,56.349999999998545,1.911843176418276,1,30.32675520416985,0.9718868575370639,0.8806294916992583,0.6666666666666666,0.0,1.1323334114522199,0.5552300601515554,21645.591728497737,21652.60311432794,21652.142892017815,21547.240757875774,21309.586942231675,30.32675520416985,0.13984137259410606,0.8806294916992583,0.0,0.6666666666666666,0,0,1,1,1630,21659.18,21601.2
2025-09-09_1630,1630,BREAKOUT,BUY,2025-09-09 18:20:00,2025-09-09 21:25:00,21794.41,21864.645999999997,21759.292,21864.645999999997,35.1179999999993,70.23599999999715,1.9999999999999587,TP_HIT,17.919999999998254,0.8877551020408605,1.1227173700055175,40.61000000000058,21756.185,38.224999999998545,2.544283057808547,1,15.961274385476184,0.9412706229992119,0.9768440963381694,0.6666666666666666,0.0,1.1563870379862575,0.0,21794.52107832553,21790.037332801658,21794.277707417645,21740.17109907793,21380.36143515402,15.961274385476184,0.0732356342083873,0.9768440963381694,0.0,0.6666666666666666,0,0,1,1,1630,21776.49,21735.88
2025-09-12_1630,1630,BREAKOUT,BUY,2025-09-12 16:45:00,2025-09-12 17:20:00,22130.44,22118.79,22119.046,22153.227999999996,11.393999999998778,-11.649999999997817,-1.0224679655958457,FILTER_EXIT,5.559999999997672,0.6532507739937011,0.45945052709761774,13.430000000000291,22118.165,12.274999999997817,1.1097878739071445,1,12.101411734404996,0.9139985107965414,0.9346539499149411,1.0,0.0,1.1786905388802642,1.0224679655958457,22108.598418050842,22087.83525012281,22060.65824857613,21967.220785833975,21486.27656971289,12.101411734404996,0.054682201232352345,0.9346539499149411,0.0,1.0,0,0,1,1,1630,22124.88,22111.45
