WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-01-23_1630,1630,BREAKOUT,BUY,2025-01-23 16:55:00,2025-01-23 18:45:00,6083.45,6098.669999999999,6075.84,6098.669999999999,7.609999999999673,15.219999999999345,2.0,TP_HIT,0.22000000000025466,0.012422360248434924,0.08814385978850452,7.389999999999418,6079.535,3.9149999999999636,2.960832381073832,1,2.495919744473755,6081.336229090639,6079.594493564181,6077.486657015183,6074.792072223886,6069.953527357356,2.495919744473755,0.04102803087842844,1.0676282404119328,0.0,1.0,0,0,1,1,1630,6083.23,6075.84
2025-01-24_0300,0300,BREAKOUT,BUY,2025-01-24 03:15:00,2025-01-24 05:40:00,6115.2,6111.43,6111.43,6122.739999999999,3.769999999999527,-3.769999999999527,-1.0,SL_HIT,0.26999999999952706,0.4159999999996217,0.20624452291193002,3.5,6113.18,2.019999999999527,2.673540111825998,1,1.3091256736782375,6113.378660148848,6112.68186122392,6109.744568117692,6094.759293814534,6073.3188572171675,1.3091256736782375,0.021407732758997867,1.1800378805740162,0.5,1.0,0,1,1,1,0300,6114.93,6111.43
2025-01-24_1000,1000,BREAKOUT,BUY,2025-01-24 11:05:00,2025-01-24 12:15:00,6112.88,6109.25,6109.25,6120.14,3.630000000000109,-3.630000000000109,-1.0,SL_HIT,0.25,0.46012269938647227,0.13857999740390817,3.380000000000109,6110.9400000000005,1.9399999999995998,1.873601564900899,1,1.8040121567569722,6111.853535635939,6111.658783011089,6111.887923917363,6105.7415113608595,6076.328243904119,1.8040121567569722,0.029511656645590495,1.167631713695454,0.0,0.6666666666666666,0,0,1,1,1000,6112.63,6109.25
2025-01-24_1630,1630,BREAKOUT,BUY,2025-01-24 16:45:00,2025-01-24 17:00:00,6124.13,6116.13,6116.13,6140.13,8.0,-8.0,-1.0,SL_HIT,0.75,0.5263157894736842,0.21654044088421215,7.25,6119.755,4.375,2.0932242618807173,1,3.463556261996519,6118.3086290075535,6114.678714929451,6112.3586811637415,6108.4700934023795,6078.098749421228,3.463556261996519,0.05655589058358523,1.503588956031818,0.0,1.0,0,0,1,1,1630,6123.38,6116.13
2025-01-27_0300,0300,BREAKOUT,SELL,2025-01-27 03:30:00,2025-01-27 07:25:00,6046.93,6029.390000000001,6055.7,6029.390000000001,8.769999999999527,17.539999999999054,2.0,TP_HIT,0.019999999999527063,0.6666666666666666,0.005398851689666633,8.75,6051.325,-4.394999999999527,2.361997614285006,0,3.7044914639546276,6052.5731298638775,6058.7364289407205,6071.129014710602,6093.7979478526595,6078.975352628217,3.7044914639546276,0.06126235071275221,1.2825657387492142,0.0,0.0,0,0,0,0,0300,6055.7,6046.95
2025-01-27_1000,1000,BREAKOUT,SELL,2025-01-27 10:15:00,2025-01-27 12:30:00,5988.13,5956.13,6004.13,5956.13,16.0,32.0,2.0,TP_HIT,6.75,0.8372093023255814,1.0001699691674473,9.25,5999.505,-11.375,1.3706032910813166,0,6.748852903090838,5999.455025162896,6006.555943424677,6019.335627818723,6057.062394469403,6075.09571569099,6.748852903090838,0.11270384749647784,1.3710234685477578,0.0,0.0,0,0,0,0,1000,6004.13,5994.88
2025-01-27_1630,1630,BREAKOUT,BUY,2025-01-27 16:55:00,2025-01-30 22:20:00,6004.38,6085.88,5963.63,6085.88,40.75,81.5,2.0,TP_HIT,1.75,0.5588235294117647,0.18333501817186376,39.0,5983.13,21.25,4.085751833544393,0,9.54536682326285,5991.028950797237,5981.378801864249,5975.16859395592,6008.735998725185,6068.906896234484,9.54536682326285,0.1589733964749541,1.35464223228096,0.0,0.6666666666666666,0,0,0,0,1630,6002.63,5963.63
2025-01-31_0300,0300,BREAKOUT,BUY,2025-01-31 03:15:00,2025-01-31 03:25:00,6081.43,6077.68,6077.68,6088.93,3.75,-3.75,-1.0,SL_HIT,0.5,0.6666666666666666,0.22205494002294024,3.25,6079.305,2.125,1.4433571101491116,1,2.251695008218892,6080.0601048561175,6078.946743749506,6075.144683407265,6064.831695136226,6058.723266492109,2.251695008218892,0.037025749013289505,0.6591159515446129,1.0,1.0,1,1,1,1,0300,6080.93,6077.68
2025-01-31_1000,1000,BREAKOUT,BUY,2025-01-31 10:30:00,2025-01-31 10:50:00,6096.13,6091.63,6091.63,6105.13,4.5,-4.5,-1.0,SL_HIT,1.0,1.0,0.45620759604392563,3.5,6093.38,2.75,1.5967265861537396,1,2.1919845453509628,6094.397825254533,6093.511678811212,6090.710852138064,6078.768141218707,6060.674807874339,2.1919845453509628,0.03595698492897892,1.3126718063221514,0.0,1.0,0,0,1,1,1000,6095.13,6091.63
2025-01-31_1630,1630,BREAKOUT,BUY,2025-01-31 16:55:00,2025-01-31 20:25:00,6101.13,6090.63,6090.63,6122.13,10.5,-10.5,-1.0,SL_HIT,1.5,0.3431578947368651,0.31362471229414385,9.0,6095.13,6.0,1.881748273764863,1,4.782786372373529,6097.196121168967,6096.910749769653,6097.1246719024875,6088.9015087893795,6062.896227540059,4.782786372373529,0.0783918122114023,1.5089512503731655,0.0,0.6666666666666666,0,0,1,1,1630,6099.63,6090.63
2025-02-03_0300,0300,BREAKOUT,BUY,2025-02-03 03:15:00,2025-02-03 04:00:00,5941.18,5928.2,5928.2,5967.140000000001,12.980000000000473,-12.980000000000473,-1.0,SL_HIT,2.0,0.8,0.28660564956200546,10.980000000000473,5933.6900000000005,7.489999999999782,1.5734650160954777,0,6.978229504744329,5937.5938828012995,5944.4971059831205,5975.556538694719,6044.702922435503,6059.307935589498,6.978229504744329,0.11745527832424416,0.7813300294967268,0.5,0.0,0,1,0,0,0300,5939.18,5928.2
2025-02-03_1000,1000,BREAKOUT,BUY,2025-02-03 10:15:00,2025-02-03 17:00:00,5957.38,5931.88,5931.88,6008.38,25.5,-25.5,-1.0,SL_HIT,10.38000000000011,0.8,1.5441795005929793,15.11999999999989,5939.4400000000005,17.9399999999996,2.249325052886843,0,6.722016446931262,5941.666343408133,5934.50847033588,5929.899975309015,5976.609129103173,6050.356951343454,6.722016446931262,0.11283511286725476,1.5871612832255364,0.0,0.6666666666666666,0,0,0,0,1000,5947.0,5931.88
2025-02-03_1630,1630,BREAKOUT,SELL,2025-02-03 17:10:00,2025-02-03 17:20:00,5928.38,5961.63,5961.63,5861.88,33.25,-33.25,-1.0,SL_HIT,8.61999999999989,0.8837209302325582,0.8133124526972021,24.63000000000011,5949.3150000000005,-20.9350000000004,2.3238846531244115,0,10.598632753517098,5938.641304079332,5941.514190664024,5943.001055067656,5958.924260783229,6043.628803184602,10.598632753517098,0.17877789132135755,1.4068674830662633,0.0,0.0,0,0,0,0,1630,5961.63,5937.0
2025-02-04_0300,0300,BREAKOUT,SELL,2025-02-04 03:30:00,2025-02-04 07:05:00,6011.59,5988.77,6023.0,5988.77,11.409999999999854,22.81999999999971,2.0,TP_HIT,2.4700000000002547,0.5038759689921912,0.7543718936233835,8.9399999999996,6018.530000000001,-6.940000000000509,2.730398675705284,1,3.274247119860738,6016.470774039044,6019.620080080339,6017.88548116557,5994.675645172624,6040.827524347711,3.274247119860738,0.05446557599338508,1.1130853298651,0.5,0.3333333333333333,0,1,1,0,0300,6023.0,6014.06
2025-02-04_1000,1000,BREAKOUT,SELL,2025-02-04 10:30:00,2025-02-04 14:10:00,5976.06,5994.62,5994.62,5938.940000000001,18.55999999999949,-18.55999999999949,-1.0,SL_HIT,4.169999999999163,0.5236220472440734,0.7166821003836515,14.390000000000327,5987.424999999999,-11.364999999998872,2.473154778063081,0,5.818479347770643,5984.2671539936455,5986.544753500909,5990.110653037387,5994.172716022604,6037.606730342145,5.818479347770643,0.09736313470364492,1.2243965592788537,0.5,0.0,0,1,0,0,1000,5994.62,5980.23
2025-02-04_1630,1630,BREAKOUT,BUY,2025-02-04 16:50:00,2025-02-04 21:35:00,6008.4,6041.879999999999,5991.66,6041.879999999999,16.73999999999978,33.47999999999956,2.0,TP_HIT,4.279999999999745,0.7581344902386419,0.7890484548141516,12.460000000000036,5997.889999999999,10.510000000000218,2.2970896605105007,1,5.424254966709027,6001.049549398241,5999.052893622786,5995.607027695119,5992.909195563396,6035.0014560827585,5.424254966709027,0.09027786044053371,1.3517036196917858,0.0,0.6666666666666666,0,0,1,0,1630,6004.12,5991.66
2025-02-05_0300,0300,BREAKOUT,BUY,2025-02-05 03:15:00,2025-02-05 03:30:00,6025.57,6022.34,6022.34,6032.029999999999,3.2299999999995634,-3.2299999999995634,-1.0,SL_HIT,1.0,0.5535055350553432,0.4528158176654431,2.2299999999995634,6023.455,2.1149999999997817,1.0097792733937403,1,2.20840341919954,6023.662713720496,6022.650403834087,6023.54860729706,6015.649003704109,6034.1144658216745,2.20840341919954,0.036650531305744354,0.8221906104923314,0.5,0.3333333333333333,0,1,1,0,0300,6024.57,6022.34
2025-02-05_1000,1000,BREAKOUT,BUY,2025-02-05 10:20:00,2025-02-05 10:40:00,6011.95,6004.73,6004.73,6026.39,7.220000000000255,-7.220000000000255,-1.0,SL_HIT,2.2399999999997817,0.9510763209393315,0.7873388510049784,4.980000000000473,6007.219999999999,4.730000000000473,1.750422981252476,0,2.8450266326126186,6007.350145734673,6006.543938032647,6008.116329590569,6012.28423776773,6032.346778234331,2.8450266326126186,0.04732285918233882,1.2099432602107572,0.0,0.3333333333333333,0,0,0,0,1000,6009.71,6004.73
2025-02-05_1630,1630,BREAKOUT,SELL,2025-02-05 16:55:00,2025-02-05 17:00:00,6020.64,6030.06,6030.06,6001.8,9.420000000000073,-9.420000000000073,-1.0,SL_HIT,0.5099999999993088,0.0866141732283286,0.10733265544340602,8.910000000000764,6025.605,-4.964999999999236,1.8751646274551486,1,4.751582804808363,6023.4353524429935,6020.810953602167,6015.925484462405,6012.124343338756,6031.123593490399,4.751582804808363,0.07892155659212911,1.3825602052525783,0.0,0.6666666666666666,0,0,1,0,1630,6030.06,6021.15
2025-02-06_0300,0300,BREAKOUT,BUY,2025-02-06 04:25:00,2025-02-06 07:20:00,6068.22,6074.8,6064.93,6074.8,3.2899999999999636,6.579999999999927,2.0,TP_HIT,0.3100000000004002,1.0,0.2434807312147734,2.9799999999995634,6066.42,1.800000000000182,2.3405567065128445,1,1.2732013677375988,6066.669273222883,6066.305377918947,6063.786691575864,6044.104915426562,6033.660342887051,1.2732013677375988,0.020981463555006227,0.8200202942144524,0.5,1.0,0,1,1,1,0300,6067.91,6064.93
