WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-01-23_1630,1630,BREAKOUT,BUY,2025-01-23 16:55:00,2025-01-23 17:00:00,6083.45,6079.76,6078.884,6092.581999999999,4.5659999999998035,-3.6899999999996,-0.8081471747699865,FILTER_EXIT,0.22000000000025466,0.012422360248434924,0.08814385978850452,7.389999999999418,6079.535,3.9149999999999636,2.960832381073832,1,2.495919744473755,0.5297699594046377,1.0676282404119328,1.0,0.0,1.6184844502846552,1.0775295663601148,6081.336229090639,6079.594493564181,6077.486657015183,6074.792072223886,6069.953527357356,2.495919744473755,0.04102803087842844,1.0676282404119328,0.0,1.0,0,0,1,1,1630,6083.23,6075.84
2025-01-24_1000,1000,BREAKOUT,BUY,2025-01-24 11:05:00,2025-01-24 11:35:00,6112.88,6111.63,6110.702,6117.236,2.178000000000065,-1.25,-0.5739210284664659,FILTER_EXIT,0.25,0.46012269938647227,0.13857999740390817,3.380000000000109,6110.9400000000005,1.9399999999995998,1.873601564900899,1,1.8040121567569722,0.5739644970412832,1.167631713695454,0.6666666666666666,0.0,1.5518824609733737,0.688705234159759,6111.853535635939,6111.658783011089,6111.887923917363,6105.7415113608595,6076.328243904119,1.8040121567569722,0.029511656645590495,1.167631713695454,0.0,0.6666666666666666,0,0,1,1,1000,6112.63,6109.25
2025-01-27_1630,1630,BREAKOUT,BUY,2025-01-27 17:30:00,2025-01-27 17:45:00,6013.63,6007.32,5983.63,6073.63,30.0,-6.3100000000004,-0.21033333333334667,FILTER_EXIT,11.0,0.5757575757575758,1.0379784721130885,39.0,5983.13,30.5,3.6801054920373133,1,10.597522295049625,0.782051282051282,1.2616598512249821,0.6666666666666666,0.0,1.3,0.27766666666666423,6000.342120446234,5990.9709470590915,5981.3217757280145,6008.144334160785,6068.233394779414,10.597522295049625,0.17622504701901556,1.2616598512249821,0.0,0.6666666666666666,0,0,1,0,1630,6002.63,5963.63
2025-01-28_1000,1000,BREAKOUT,BUY,2025-01-28 10:40:00,2025-01-28 12:05:00,6023.5,6037.24,6016.63,6037.24,6.869999999999891,13.739999999999782,2.0,TP_HIT,1.7700000000004366,0.6265664160401345,0.4028252031750445,9.679999999999382,6016.889999999999,6.610000000000582,2.2030214501317626,1,4.3939653875909475,0.6828512396695252,1.1948311231382467,0.6666666666666666,0.0,1.409024745269219,0.21688500727799206,6019.074763198803,6016.6297281403395,6014.05015904484,6009.947759022284,6059.24681549899,4.3939653875909475,0.0729470471916817,1.1948311231382467,0.0,0.6666666666666666,0,0,1,0,1000,6021.73,6012.05
2025-01-28_1630,1630,BREAKOUT,BUY,2025-01-28 18:25:00,2025-01-28 18:40:00,6034.61,6036.62,6014.918,6073.994,19.691999999999826,2.0100000000002183,0.1020719073735647,FILTER_EXIT,7.6799999999993815,0.6182692307692804,1.0253272027726097,25.140000000000327,6014.360000000001,20.24999999999909,3.3563445153262785,1,7.490291859254027,0.8054892601431515,0.9418359864918097,0.6666666666666666,0.0,1.2766605728214782,0.2341052203940541,6043.312088133383,6038.496442713453,6031.935792593571,6022.036249229567,6057.127181560244,7.490291859254027,0.12412221931912795,0.9418359864918097,0.0,0.6666666666666666,0,0,1,0,1630,6026.93,6001.79
2025-01-29_0300,0300,BREAKOUT,BUY,2025-01-29 05:55:00,2025-01-29 06:15:00,6063.28,6068.164,6060.838,6068.164,2.441999999999825,4.8840000000000146,2.000000000000149,TP_HIT,1.0900000000001455,0.6987951807228652,0.6732691403762664,2.9799999999995634,6060.7,2.5799999999999272,1.8406807691015707,1,1.618966227073742,0.8657718120806394,1.1942792109343832,1.0,0.0,1.2203112203111288,0.0,6061.39480435501,6061.290930100776,6061.014843568306,6049.938134799451,6057.589000718172,1.618966227073742,0.02670116219395677,1.1942792109343832,0.0,1.0,0,0,1,1,0300,6062.19,6059.21
2025-01-30_1000,1000,BREAKOUT,BUY,2025-01-30 10:25:00,2025-01-30 10:30:00,6068.78,6067.43,6063.638,6079.063999999999,5.141999999999825,-1.3499999999994543,-0.26254375729278495,FILTER_EXIT,1.5999999999994543,0.5,0.7669982429776635,6.970000000000255,6063.695,5.085000000000036,3.3412360959727083,1,2.086054322351361,0.7295552367288164,1.2731316048475136,1.0,0.0,1.3555036950603834,0.5036950602878711,6065.788702843018,6062.882531591784,6060.450071022675,6055.316660277026,6057.585403430084,2.086054322351361,0.03437353672980996,1.2731316048475136,0.0,1.0,0,0,1,1,1000,6067.18,6060.21
2025-01-31_1000,1000,BREAKOUT,BUY,2025-01-31 11:55:00,2025-01-31 12:10:00,6096.63,6095.88,6093.63,6102.63,3.0,-0.75,-0.25,FILTER_EXIT,1.5,0.36999999999989086,0.7579178672330114,3.5,6093.38,3.25,1.7684750235436932,1,1.9791062657965361,0.9285714285714286,0.8480734451030025,1.0,0.0,1.1666666666666667,0.5833333333333334,6097.325602493994,6096.243653991333,6093.570305910425,6081.499367816823,6061.032570980067,1.9791062657965361,0.032462299102890224,0.8480734451030025,0.0,1.0,0,0,1,1,1000,6095.13,6091.63
2025-02-03_1000,1000,BREAKOUT,BUY,2025-02-03 10:40:00,2025-02-03 10:55:00,5951.38,5952.5,5939.68,5974.78,11.7,1.1199999999998909,0.09572649572648641,FILTER_EXIT,4.380000000000109,0.0,0.7404491711470378,15.11999999999989,5939.4400000000005,11.9399999999996,2.5560711113568155,0,5.915328385356964,0.7896825396825189,1.2089879122396987,0.6666666666666666,0.0,1.292307692307683,0.29914529914529914,5948.566347407978,5941.153702327758,5933.922762239417,5975.414688122554,6050.356951343454,5.915328385356964,0.09939423100788326,1.2089879122396987,0.0,0.6666666666666666,0,0,0,0,1000,5947.0,5931.88
2025-02-05_1630,1630,BREAKOUT,BUY,2025-02-05 18:05:00,2025-02-05 18:10:00,6032.28,6029.02,6025.602,6045.6359999999995,6.678000000000066,-3.259999999999309,-0.48817011081151196,FILTER_EXIT,2.219999999999345,0.8162450066577804,0.35152126740821465,8.910000000000764,6025.605,6.675000000000182,1.4108353570308039,1,6.315407361743787,0.7491582491582054,1.0239469999381654,1.0,0.0,1.3342318059300204,0.7097933513027456,6026.483961282561,6023.793985424326,6019.315798217982,6013.573075321956,6031.219904601699,6.315407361743787,0.10469353812727174,1.0239469999381654,0.0,1.0,0,0,1,1,1630,6030.06,6021.15
