WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-06-30_1630,1630,BREAKOUT,SELL,2025-06-30 16:45:00,2025-06-30 22:20:00,22581.15,22656.03,22656.03,22431.390000000007,74.87999999999738,-74.87999999999738,-1.0,SL_HIT,9.0,0.44937499999991815,0.10821334793847252,65.87999999999738,22623.09,-41.93999999999869,0.7921217069095874,0,83.16903756750213,22742.951762408586,23364.613167556858,24223.914934749893,25053.286601303596,22649.125721393037,83.16903756750213,0.3683117891139385,,0.0,0.0,0,0,0,0,1630,22656.03,22590.15
2025-07-01_0300,0300,BREAKOUT,BUY,2025-07-01 03:35:00,2025-07-01 05:50:00,22687.03,22670.4,22670.4,22720.289999999994,16.62999999999738,-16.62999999999738,-1.0,SL_HIT,0.25,0.6129999999997381,0.027679187282021855,16.37999999999738,22678.59,8.43999999999869,1.8135403507177819,0,9.03205709953701,22679.80633546568,22671.877525438584,22675.143741337357,23384.770723465066,22648.52179660529,9.03205709953701,0.03981154474401017,0.9781984627520973,0.5,0.6666666666666666,0,1,0,1,0300,22686.78,22670.4
2025-07-01_1000,1000,BREAKOUT,SELL,2025-07-01 10:15:00,2025-07-01 15:20:00,22628.78,22577.28,22654.53,22577.28,25.75,51.5,2.0,TP_HIT,1.25,0.1836734693877551,0.1091054851872663,24.5,22642.28,-13.5,2.1384675096704195,0,11.456802541636902,22633.466493748034,22634.30360313722,22644.281554670204,22983.27008586708,22648.788072857067,11.456802541636902,0.050629342552435015,1.3069030420706875,0.0,0.0,0,0,0,0,1000,22654.53,22630.03
2025-07-01_1630,1630,BREAKOUT,BUY,2025-07-01 16:50:00,2025-07-01 17:20:00,22613.4,22569.28,22569.28,22701.640000000007,44.12000000000262,-44.12000000000262,-1.0,SL_HIT,3.3700000000026193,0.27631578947368424,0.15970509681331008,40.75,22589.655,23.74500000000262,1.9311521350555867,0,21.101392925123967,22598.12544666913,22596.493440760645,22604.553638218465,22779.86846448132,22646.71032625227,21.101392925123967,0.09331366767104445,1.3309079105245953,0.0,0.3333333333333333,0,0,0,0,1630,22610.03,22569.28
2025-07-02_0300,0300,BREAKOUT,SELL,2025-07-02 04:30:00,2025-07-02 05:10:00,22495.03,22468.53,22508.28,22468.53,13.25,26.5,2.0,TP_HIT,1.1200000000026193,0.6479663394115451,0.167883480008683,12.12999999999738,22502.215,-7.18500000000131,1.8182380468751094,0,6.671293685029,22500.838777206034,22501.574134172497,22500.654675415208,22576.932035197562,22630.361822583072,6.671293685029,0.029656745001135805,0.9568657746182077,0.5,0.3333333333333333,0,1,0,0,0300,22508.28,22496.15
2025-07-02_1000,1000,BREAKOUT,SELL,2025-07-02 10:15:00,2025-07-02 12:00:00,22540.53,22489.289999999994,22566.15,22489.289999999994,25.62000000000262,51.24000000000524,2.0,TP_HIT,7.870000000002619,0.8659558263522382,0.7350248822587403,17.75,22557.275,-16.74500000000262,1.657775306237395,0,10.707120520625118,22554.363700361995,22554.269614931964,22545.76653284921,22558.373901882347,22625.235236220444,10.707120520625118,0.04750163603351438,1.193290361403334,0.5,0.6666666666666666,0,1,0,0,1000,22566.15,22548.4
2025-07-02_1630,1630,BREAKOUT,BUY,2025-07-02 16:45:00,2025-07-02 17:50:00,22499.9,22617.4,22441.15,22617.4,58.75,117.5,2.0,TP_HIT,3.8700000000026193,0.48119402985082443,0.14275543128681284,54.87999999999738,22468.59,31.31000000000131,2.024397433853905,0,27.109301307263916,22463.392799400783,22451.00071254205,22461.799719148345,22511.953489073036,22616.311820917177,27.109301307263916,0.12048631908259108,1.1658080481389868,0.0,0.3333333333333333,0,0,0,0,1630,22496.03,22441.15
2025-07-03_0300,0300,BREAKOUT,BUY,2025-07-03 04:20:00,2025-07-03 05:10:00,22651.78,22631.28,22631.28,22692.78,20.5,-20.5,-1.0,SL_HIT,5.25,0.8,0.7908121203707499,15.25,22638.905,12.875,2.29712092107694,1,6.638744987290643,22643.199911640066,22641.078113492345,22635.57428989948,22593.97066153266,22617.71260816061,6.638744987290643,0.02930782917408982,1.1483505308224442,0.5,1.0,0,1,1,1,0300,22646.53,22631.28
2025-07-03_1000,1000,BREAKOUT,BUY,2025-07-03 10:35:00,2025-07-03 11:40:00,22693.03,22670.53,22670.53,22738.03,22.5,-22.5,-1.0,SL_HIT,5.379999999997381,0.8333333333333334,0.5795897210459189,17.12000000000262,22679.09,13.93999999999869,1.8443449859316876,1,9.282428249915672,22681.45360584857,22675.15058470055,22665.819428551462,22629.02635484824,22620.321703866462,9.282428249915672,0.04090431401146375,1.1171129424432766,0.0,1.0,0,0,1,1,1000,22687.65,22670.53
2025-07-03_1630,1630,BREAKOUT,BUY,2025-07-03 16:50:00,2025-07-04 11:15:00,22794.28,22728.03,22728.03,22926.78,66.25,-66.25,-1.0,SL_HIT,12.12999999999738,0.7384346814080723,0.46195193310861543,54.12000000000262,22755.09,39.18999999999869,2.0610749068297505,1,26.258143176002992,22749.50155385416,22720.499658450513,22692.51030818925,22654.80698928424,22623.957847995433,26.258143176002992,0.11519619472956809,1.3776840782160618,0.0,1.0,0,0,1,1,1630,22782.15,22728.03
