feature,importance
EntryOffset,0.04102255721949146
Risk,0.039644802049192365
ATR_Value,0.03814753773167551
RangeWidth,0.03804903325697254
RangeAtrRatio,0.037633375462364664
ATR_Pct,0.037398442466331276
ATR_Ratio,0.03721764387986368
ATR,0.03710743846192758
BreakoutBodyPct,0.036596925390988036
TP,0.03581995990906167
EMA_200_5M,0.035462826429916945
EMA_200_1H,0.03475268355652183
RangeLow,0.03405424321386124
SL,0.0338707852396114
RangeHigh,0.03386444221458187
EntryPrice,0.03338899291710921
EMA_50_5M,0.03336419778701218
EMA_9_5M,0.03323474593919344
RangeMid,0.03305863683966913
EMA_21_5M,0.03222563062948825
BreakoutDistance,0.029626103082242797
BreakoutAtrMultiple,0.02855133857536292
Trend_Score,0.013924367352007517
EntryType_REVERSAL,0.011231483776737505
EntryType_PULLBACK,0.010145915448370494
WindowType_300,0.008202755540016052
WindowType_1000,0.00803326125268006
Price_Above_EMA200_5M,0.007468164120369608
PriceAboveEMA200_5M,0.007420864888900501
WindowType_1630,0.0066434079418157006
Is_Tight_Range,0.004836016085664656
Price_Above_EMA200_1H,0.004815473348993723
Type_SELL,0.004715226801863589
Type_BUY,0.004683861062359142
Consolidation_Score,0.004577986440642697
WindowID_2025-07-21_1630,0.001089262916134117
WindowID_2025-03-25_1630,0.0009758461600671944
WindowID_2025-05-14_1000,0.0009664674828999435
WindowID_2025-08-04_1000,0.0009401115398937177
WindowID_2025-03-20_1000,0.0008270673758163069
WindowID_2025-06-23_1000,0.0008205386570878333
WindowID_2025-09-04_1630,0.0008150263979129951
WindowID_2025-07-17_0300,0.0008136599050561871
WindowID_2025-01-20_0300,0.0007892066630615967
WindowID_2025-03-21_1000,0.000782311264581233
WindowID_2025-05-19_1000,0.0007784315754174295
WindowID_2025-05-08_1630,0.0007694393439927126
WindowID_2025-04-11_0300,0.0007537178047183039
WindowID_2025-03-19_0300,0.0007527342652570033
WindowID_2025-04-29_1630,0.0007437342996351375
WindowID_2025-04-17_1630,0.0007389500178057332
WindowID_2025-07-01_0300,0.0007319503121100676
WindowID_2025-02-12_0300,0.0007085600243354563
WindowID_2025-05-06_1000,0.0007005858749011089
WindowID_2025-06-24_1630,0.00068305593932726
WindowID_2025-05-27_0300,0.0006802581328633299
WindowID_2025-06-27_1630,0.0006786589768227308
WindowID_2025-05-30_0300,0.000666124430523626
WindowID_2025-06-03_0300,0.0006651508648435674
WindowID_2024-11-29_1630,0.0006626034525893693
WindowID_2025-08-11_0300,0.0006602133590889857
WindowID_2025-05-07_1000,0.0006392343099169107
WindowID_2025-06-09_0300,0.0006334334656709505
WindowID_2025-03-10_0300,0.0006264934573826382
WindowID_2025-07-08_0300,0.0006242352618019559
WindowID_2025-08-01_0300,0.0006072440165586938
WindowID_2025-10-29_1630,0.0006041061825595789
WindowID_2025-03-03_0300,0.0006015838592496324
WindowID_2025-07-09_1630,0.000600558970382841
WindowID_2025-09-11_1000,0.0005963391793434519
WindowID_2025-05-29_1000,0.0005957104013368008
WindowID_2025-02-13_1630,0.0005947460074612542
WindowID_2025-06-26_1630,0.000593823997874297
WindowID_2025-11-04_1630,0.0005928331162531193
WindowID_2025-01-16_1000,0.0005886593529410854
WindowID_2025-05-16_1000,0.000575287727710021
WindowID_2025-08-12_0300,0.0005698573392639698
WindowID_2025-06-26_1000,0.0005664870013946072
WindowID_2025-03-25_0300,0.0005624655583462033
WindowID_2025-06-23_0300,0.0005619737220656914
WindowID_2025-07-07_1630,0.0005469865664099022
WindowID_2025-08-18_0300,0.0005425928492860559
WindowID_2025-02-27_1630,0.000539849179593528
WindowID_2025-06-05_1000,0.0005373742889648778
WindowID_2025-04-29_0300,0.0005295330113223586
WindowID_2024-12-03_0300,0.0005245988671050381
WindowID_2025-02-27_0300,0.0005190657375898272
WindowID_2025-06-06_0300,0.0005184381396409403
WindowID_2025-11-03_1000,0.0005175671857406252
WindowID_2025-07-21_0300,0.0005169702378287198
WindowID_2025-07-07_0300,0.0005152388083938564
WindowID_2025-01-28_0300,0.000513767777348828
WindowID_2025-02-11_1630,0.0005118973452217288
WindowID_2025-06-02_0300,0.0005090869415872259
WindowID_2024-12-16_1630,0.0005072421938126735
WindowID_2025-06-17_0300,0.0005071944615156492
WindowID_2025-06-18_1630,0.0005067536420199143
WindowID_2025-05-14_0300,0.0005054795463458592
