direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
LONG,2024-11-29 10:10:00,2024-11-29 10:50:00,2024-11-29 11:10:00,2656.7775,2654.56,2661.2125000000005,2661.2125000000005,WIN,REVERSAL,4.4350000000004,2.0,2663.17,2658.15,5.019999999999982,2656.74,2642.880760188024
LONG,2024-11-29 20:30:00,2024-11-29 20:40:00,2024-11-29 20:45:00,2653.1200000000003,2652.15,2655.060000000001,2652.15,LOSS,REVERSAL,-0.9700000000002547,-1.0,2661.47,2654.95,6.519999999999982,2652.74,2644.431017722027
LONG,2024-11-29 21:10:00,2024-11-29 21:30:00,2024-11-29 21:35:00,2649.425,2649.17,2649.9350000000004,2649.17,LOSS,REVERSAL,-0.25500000000010914,-1.0,2659.88,2651.61,8.269999999999982,2649.84,2644.489714063101
LONG,2024-12-02 01:20:00,2024-12-02 01:50:00,2024-12-02 02:05:00,2646.16,2645.38,2647.7199999999993,2645.38,LOSS,REVERSAL,-0.7799999999997453,-1.0,2653.01,2647.74,5.270000000000437,2646.3,2644.510295221329
SHORT,2024-12-02 07:15:00,2024-12-02 07:30:00,2024-12-02 09:25:00,2625.43,2630.45,2615.39,2630.45,LOSS,PULLBACK,-5.019999999999982,-1.0,2630.45,2625.43,5.019999999999982,2623.69,2643.6714471006794
SHORT,2024-12-02 09:35:00,2024-12-02 09:50:00,2024-12-02 10:00:00,2631.0249999999996,2632.72,2627.6349999999993,2627.6349999999993,WIN,REVERSAL,3.3900000000003274,2.0,2631.81,2622.64,9.170000000000073,2632.49,2643.360134071781
SHORT,2024-12-02 11:10:00,2024-12-02 11:40:00,2024-12-02 12:05:00,2635.12,2636.47,2632.42,2636.47,LOSS,REVERSAL,-1.349999999999909,-1.0,2632.79,2626.6,6.190000000000055,2634.02,2643.126679769724
SHORT,2024-12-02 13:15:00,2024-12-02 13:25:00,2024-12-02 13:30:00,2641.1175000000003,2643.54,2636.272500000001,2643.57,FILTER_EXIT,REVERSAL,-2.4524999999998727,-1.0123839009288769,2639.99,2633.97,6.019999999999982,2642.16,2643.0413996079515
LONG,2024-12-02 15:20:00,2024-12-02 15:25:00,2024-12-02 17:45:00,2644.14,2637.03,2658.359999999999,2641.29,FILTER_EXIT,PULLBACK,-2.849999999999909,-0.40084388185654574,2644.14,2637.03,7.109999999999673,2647.1,2643.059296202433
SHORT,2024-12-02 22:20:00,2024-12-02 22:40:00,2024-12-02 22:50:00,2642.5874999999996,2644.13,2639.5024999999987,2639.5024999999987,WIN,REVERSAL,3.085000000000946,2.0,2641.23,2635.32,5.9099999999998545,2641.56,2642.8423737092016
SHORT,2024-12-03 14:20:00,2024-12-03 14:40:00,2024-12-03 15:10:00,2640.45,2645.6,2630.1499999999996,2643.3,FILTER_EXIT,PULLBACK,-2.850000000000364,-0.553398058252488,2645.6,2640.45,5.150000000000091,2638.69,2642.676072280087
LONG,2024-12-03 15:15:00,2024-12-03 15:20:00,2024-12-03 16:30:00,2643.5,2637.78,2654.9399999999996,2654.9399999999996,WIN,PULLBACK,11.4399999999996,2.0,2643.5,2637.78,5.7199999999998,2643.69,2642.7773053917276
SHORT,2024-12-03 21:25:00,2024-12-03 21:30:00,2024-12-03 22:05:00,2641.46,2646.49,2631.4000000000005,2643.98,FILTER_EXIT,PULLBACK,-2.519999999999982,-0.50099403578531,2646.49,2641.46,5.029999999999745,2641.08,2642.8909029871656
SHORT,2024-12-04 14:50:00,2024-12-04 15:15:00,2024-12-04 15:20:00,2639.46,2646.53,2625.3199999999997,2643.26,FILTER_EXIT,PULLBACK,-3.800000000000182,-0.5374823196605507,2646.53,2639.46,7.070000000000164,2637.83,2643.0178451777974
LONG,2024-12-05 07:50:00,2024-12-05 07:55:00,2024-12-05 09:00:00,2654.54,2645.59,2672.4399999999996,2645.59,LOSS,PULLBACK,-8.949999999999818,-1.0,2654.54,2645.59,8.949999999999818,2654.69,2643.9995195846645
SHORT,2024-12-05 10:50:00,2024-12-05 10:55:00,2024-12-05 11:00:00,2643.82,2650.19,2631.0800000000004,2645.6,FILTER_EXIT,PULLBACK,-1.7799999999997453,-0.2794348508633871,2650.19,2643.82,6.369999999999891,2643.09,2644.0660631817022
LONG,2024-12-05 14:55:00,2024-12-05 15:00:00,2024-12-05 15:20:00,2652.66,2647.52,2662.9399999999996,2647.52,LOSS,PULLBACK,-5.139999999999873,-1.0,2652.66,2647.52,5.139999999999873,2653.25,2644.281082405763
LONG,2024-12-05 15:25:00,2024-12-05 15:50:00,2024-12-05 16:45:00,2647.2525,2644.34,2653.0775,2644.34,LOSS,REVERSAL,-2.912499999999909,-1.0,2654.49,2647.49,7.0,2646.44,2644.3271412872978
SHORT,2024-12-05 18:05:00,2024-12-05 18:25:00,2024-12-05 18:50:00,2640.06,2642.29,2635.6,2635.6,WIN,REVERSAL,4.460000000000036,2.0,2642.69,2631.84,10.849999999999909,2642.71,2644.157162252097
SHORT,2024-12-05 20:55:00,2024-12-05 21:15:00,2024-12-05 21:20:00,2630.3525,2630.8,2629.4574999999995,2629.4574999999995,WIN,REVERSAL,0.8950000000004366,2.0,2629.21,2623.52,5.690000000000055,2629.59,2643.7133134760243
SHORT,2024-12-06 03:10:00,2024-12-06 03:20:00,2024-12-06 05:20:00,2618.12,2632.86,2588.6399999999994,2632.86,LOSS,PULLBACK,-14.740000000000236,-1.0,2632.86,2618.12,14.740000000000236,2615.41,2642.9692639770474
SHORT,2024-12-06 10:45:00,2024-12-06 11:15:00,2024-12-06 12:10:00,2643.045,2645.15,2638.835,2638.835,WIN,REVERSAL,4.210000000000036,2.0,2642.07,2636.57,5.5,2642.14,2642.651623724283
SHORT,2024-12-06 15:15:00,2024-12-06 15:20:00,2024-12-06 15:30:00,2635.27,2641.5,2622.81,2641.5,LOSS,PULLBACK,-6.230000000000018,-1.0,2641.5,2635.27,6.230000000000018,2634.17,2642.41728917404
SHORT,2024-12-09 02:00:00,2024-12-09 02:05:00,2024-12-09 03:10:00,2636.17,2648.18,2612.1500000000005,2642.87,FILTER_EXIT,PULLBACK,-6.699999999999818,-0.5578684429641924,2648.18,2636.17,12.009999999999764,2635.11,2641.7507975744347
LONG,2024-12-10 09:55:00,2024-12-10 10:30:00,2024-12-10 10:35:00,2662.3900000000003,2661.49,2664.1900000000014,2664.1900000000014,WIN,REVERSAL,1.8000000000010914,2.0,2670.86,2664.79,6.070000000000164,2664.64,2646.513389269004
LONG,2024-12-10 15:45:00,2024-12-10 15:50:00,2024-12-10 16:55:00,2678.65,2672.31,2691.3300000000004,2691.3300000000004,WIN,PULLBACK,12.680000000000291,2.0,2678.65,2672.31,6.3400000000001455,2679.15,2647.888173323355
LONG,2024-12-10 17:35:00,2024-12-10 17:45:00,2024-12-10 17:55:00,2685.6000000000004,2684.58,2687.6400000000012,2687.6400000000012,WIN,REVERSAL,2.040000000000873,2.0,2691.73,2685.24,6.4900000000002365,2685.14,2648.684350183862
LONG,2024-12-11 04:45:00,2024-12-11 05:15:00,2024-12-11 05:30:00,2699.7575,2698.43,2702.412500000001,2698.43,LOSS,REVERSAL,-1.3275000000003274,-1.0,2704.06,2698.62,5.440000000000055,2698.5,2653.541012761981
