direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
LONG,2024-11-29 03:10:00,2024-11-29 03:10:00,2024-11-29 04:10:00,2641.4,2634.03,2656.14,2656.14,WIN,BREAKOUT,14.739999999999782,2.0,2639.18,2634.03,5.149999999999636,2641.4,2641.6106894214013
SHORT,2024-11-29 10:10:00,2024-11-29 10:10:00,2024-11-29 11:45:00,2656.74,2663.17,2643.879999999999,2663.17,LOSS,BREAKOUT,-6.430000000000291,-1.0,2663.17,2658.15,5.019999999999982,2656.74,2642.880760188024
SHORT,2024-12-02 07:15:00,2024-12-02 07:15:00,2024-12-02 09:25:00,2623.69,2630.45,2610.1700000000005,2630.45,LOSS,BREAKOUT,-6.7599999999997635,-1.0,2630.45,2625.43,5.019999999999982,2623.69,2643.6714471006794
SHORT,2024-12-03 10:05:00,2024-12-03 10:05:00,2024-12-03 11:00:00,2640.7,2647.62,2626.8599999999997,2647.62,LOSS,BREAKOUT,-6.920000000000073,-1.0,2647.62,2642.49,5.130000000000109,2640.7,2642.6805841872724
SHORT,2024-12-03 14:20:00,2024-12-03 14:20:00,2024-12-03 15:20:00,2638.69,2645.6,2624.8700000000003,2645.6,LOSS,BREAKOUT,-6.9099999999998545,-1.0,2645.6,2640.45,5.150000000000091,2638.69,2642.676072280087
LONG,2024-12-03 15:25:00,2024-12-03 15:25:00,2024-12-03 17:15:00,2646.37,2637.78,2663.5499999999993,2637.78,LOSS,BREAKOUT,-8.58999999999969,-1.0,2646.15,2637.78,8.36999999999989,2646.37,2642.7773053917276
SHORT,2024-12-04 14:50:00,2024-12-04 14:50:00,2024-12-04 15:30:00,2637.83,2646.53,2620.4299999999994,2646.53,LOSS,BREAKOUT,-8.700000000000273,-1.0,2646.53,2639.46,7.070000000000164,2637.83,2643.0178451777974
LONG,2024-12-05 07:50:00,2024-12-05 07:50:00,2024-12-05 09:00:00,2654.69,2645.59,2672.89,2645.59,LOSS,BREAKOUT,-9.099999999999909,-1.0,2654.54,2645.59,8.949999999999818,2654.69,2643.9995195846645
LONG,2024-12-05 14:55:00,2024-12-05 14:55:00,2024-12-05 15:20:00,2653.25,2647.52,2664.71,2647.52,LOSS,BREAKOUT,-5.730000000000018,-1.0,2652.66,2647.52,5.139999999999873,2653.25,2644.281082405763
SHORT,2024-12-05 15:25:00,2024-12-05 15:25:00,2024-12-05 19:10:00,2646.44,2654.49,2630.3400000000006,2630.3400000000006,WIN,BREAKOUT,16.099999999999454,2.0,2654.49,2647.49,7.0,2646.44,2644.3271412872978
SHORT,2024-12-06 03:10:00,2024-12-06 03:10:00,2024-12-06 05:20:00,2615.41,2632.86,2580.5099999999993,2632.86,LOSS,BREAKOUT,-17.450000000000273,-1.0,2632.86,2618.12,14.740000000000236,2615.41,2642.9692639770474
LONG,2024-12-06 10:45:00,2024-12-06 10:45:00,2024-12-06 12:30:00,2642.14,2636.57,2653.2799999999993,2636.57,LOSS,BREAKOUT,-5.569999999999709,-1.0,2642.07,2636.57,5.5,2642.14,2642.6714390380953
SHORT,2024-12-06 15:15:00,2024-12-06 15:15:00,2024-12-06 15:30:00,2634.17,2641.5,2619.51,2641.5,LOSS,BREAKOUT,-7.329999999999927,-1.0,2641.5,2635.27,6.230000000000018,2634.17,2642.41728917404
SHORT,2024-12-09 02:00:00,2024-12-09 02:00:00,2024-12-09 03:20:00,2635.11,2648.18,2608.9700000000007,2648.18,LOSS,BREAKOUT,-13.069999999999709,-1.0,2648.18,2636.17,12.009999999999764,2635.11,2641.7507975744347
LONG,2024-12-09 15:30:00,2024-12-09 15:30:00,2024-12-09 16:55:00,2660.48,2653.42,2674.6,2674.6,WIN,BREAKOUT,14.11999999999989,2.0,2658.6,2653.42,5.179999999999836,2660.48,2642.703076716454
LONG,2024-12-10 15:45:00,2024-12-10 15:45:00,2024-12-10 19:00:00,2679.15,2672.31,2692.8300000000004,2692.8300000000004,WIN,BREAKOUT,13.680000000000291,2.0,2678.65,2672.31,6.3400000000001455,2679.15,2647.888173323355
SHORT,2024-12-11 04:45:00,2024-12-11 04:45:00,2024-12-11 06:35:00,2698.5,2704.06,2687.38,2687.38,WIN,BREAKOUT,11.11999999999989,2.0,2704.06,2698.62,5.440000000000055,2698.5,2653.120922437981
SHORT,2024-12-11 06:40:00,2024-12-11 06:40:00,2024-12-11 12:10:00,2683.53,2698.07,2654.4500000000003,2698.07,LOSS,BREAKOUT,-14.539999999999964,-1.0,2698.07,2684.8,13.269999999999982,2683.53,2653.8471718389765
LONG,2024-12-11 15:30:00,2024-12-11 15:30:00,2024-12-11 18:30:00,2699.76,2690.5,2718.2800000000007,2718.2800000000007,WIN,BREAKOUT,18.520000000000437,2.0,2697.97,2690.5,7.4699999999998,2699.76,2657.3068125318578
SHORT,2024-12-12 03:10:00,2024-12-12 03:10:00,2024-12-12 03:30:00,2718.3,2726.15,2702.6000000000004,2702.6000000000004,WIN,BREAKOUT,15.699999999999818,2.0,2726.15,2719.35,6.800000000000182,2718.3,2663.4128771079177
SHORT,2024-12-12 14:55:00,2024-12-12 14:55:00,2024-12-12 16:10:00,2706.42,2712.4,2694.46,2694.46,WIN,BREAKOUT,11.960000000000036,2.0,2712.4,2706.95,5.450000000000273,2706.42,2668.5275193056123
LONG,2024-12-13 08:50:00,2024-12-13 08:50:00,2024-12-13 09:25:00,2689.32,2683.25,2701.4600000000005,2683.25,LOSS,BREAKOUT,-6.070000000000164,-1.0,2688.99,2683.25,5.739999999999782,2689.32,2671.2176136157977
LONG,2024-12-13 14:05:00,2024-12-13 14:05:00,2024-12-13 15:30:00,2669.03,2662.79,2681.5100000000007,2662.79,LOSS,BREAKOUT,-6.2400000000002365,-1.0,2668.65,2662.79,5.860000000000127,2669.03,2671.2481946629005
SHORT,2024-12-16 02:50:00,2024-12-16 02:50:00,2024-12-16 03:20:00,2644.73,2653.04,2628.11,2653.04,LOSS,BREAKOUT,-8.309999999999945,-1.0,2653.04,2645.99,7.050000000000182,2644.73,2669.4040279512083
