direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
SHORT,2024-11-29 10:10:00,2024-11-29 10:15:00,2024-11-29 11:45:00,2658.15,2663.17,2648.11,2663.17,LOSS,PULLBACK,-5.019999999999982,-1.0,2663.17,2658.15,5.019999999999982,2656.74,2642.880760188024
SHORT,2024-12-02 07:15:00,2024-12-02 07:30:00,2024-12-02 09:25:00,2625.43,2630.45,2615.39,2630.45,LOSS,PULLBACK,-5.019999999999982,-1.0,2630.45,2625.43,5.019999999999982,2623.69,2643.6714471006794
SHORT,2024-12-03 10:05:00,2024-12-03 10:50:00,2024-12-03 11:00:00,2642.49,2647.62,2632.2299999999996,2647.62,LOSS,PULLBACK,-5.130000000000109,-1.0,2647.62,2642.49,5.130000000000109,2640.7,2642.6805841872724
SHORT,2024-12-03 14:20:00,2024-12-03 14:40:00,2024-12-03 15:20:00,2640.45,2645.6,2630.1499999999996,2645.6,LOSS,PULLBACK,-5.150000000000091,-1.0,2645.6,2640.45,5.150000000000091,2638.69,2642.676072280087
LONG,2024-12-03 15:25:00,2024-12-03 15:30:00,2024-12-03 17:15:00,2646.15,2637.78,2662.89,2637.78,LOSS,PULLBACK,-8.36999999999989,-1.0,2646.15,2637.78,8.36999999999989,2646.37,2642.7773053917276
SHORT,2024-12-04 14:50:00,2024-12-04 15:15:00,2024-12-04 15:30:00,2639.46,2646.53,2625.3199999999997,2646.53,LOSS,PULLBACK,-7.070000000000164,-1.0,2646.53,2639.46,7.070000000000164,2637.83,2643.0178451777974
LONG,2024-12-05 07:50:00,2024-12-05 07:55:00,2024-12-05 09:00:00,2654.54,2645.59,2672.4399999999996,2645.59,LOSS,PULLBACK,-8.949999999999818,-1.0,2654.54,2645.59,8.949999999999818,2654.69,2643.9995195846645
LONG,2024-12-05 14:55:00,2024-12-05 15:00:00,2024-12-05 15:20:00,2652.66,2647.52,2662.9399999999996,2647.52,LOSS,PULLBACK,-5.139999999999873,-1.0,2652.66,2647.52,5.139999999999873,2653.25,2644.281082405763
SHORT,2024-12-05 15:25:00,2024-12-05 15:30:00,2024-12-05 17:25:00,2647.49,2654.49,2633.49,2633.49,WIN,PULLBACK,14.0,2.0,2654.49,2647.49,7.0,2646.44,2644.3271412872978
LONG,2024-12-05 18:00:00,2024-12-05 18:10:00,2024-12-05 19:10:00,2641.92,2631.84,2662.08,2631.84,LOSS,PULLBACK,-10.079999999999927,-1.0,2641.92,2631.84,10.079999999999927,2642.23,2644.157162252097
SHORT,2024-12-06 03:10:00,2024-12-06 03:20:00,2024-12-06 05:20:00,2618.12,2632.86,2588.6399999999994,2632.86,LOSS,PULLBACK,-14.740000000000236,-1.0,2632.86,2618.12,14.740000000000236,2615.41,2642.9692639770474
LONG,2024-12-06 10:45:00,2024-12-06 10:50:00,2024-12-06 12:30:00,2642.07,2636.57,2653.07,2636.57,LOSS,PULLBACK,-5.5,-1.0,2642.07,2636.57,5.5,2642.14,2642.6714390380953
SHORT,2024-12-06 15:15:00,2024-12-06 15:20:00,2024-12-06 15:30:00,2635.27,2641.5,2622.81,2641.5,LOSS,PULLBACK,-6.230000000000018,-1.0,2641.5,2635.27,6.230000000000018,2634.17,2642.41728917404
SHORT,2024-12-09 02:00:00,2024-12-09 02:05:00,2024-12-09 03:20:00,2636.17,2648.18,2612.1500000000005,2648.18,LOSS,PULLBACK,-12.009999999999764,-1.0,2648.18,2636.17,12.009999999999764,2635.11,2641.7507975744347
LONG,2024-12-10 15:45:00,2024-12-10 15:50:00,2024-12-10 16:55:00,2678.65,2672.31,2691.3300000000004,2691.3300000000004,WIN,PULLBACK,12.680000000000291,2.0,2678.65,2672.31,6.3400000000001455,2679.15,2647.888173323355
SHORT,2024-12-10 17:35:00,2024-12-10 17:40:00,2024-12-10 18:55:00,2685.24,2691.73,2672.2599999999993,2691.73,LOSS,PULLBACK,-6.4900000000002365,-1.0,2691.73,2685.24,6.4900000000002365,2685.14,2648.684350183862
SHORT,2024-12-11 04:45:00,2024-12-11 04:50:00,2024-12-11 06:35:00,2698.62,2704.06,2687.74,2687.74,WIN,PULLBACK,10.88000000000011,2.0,2704.06,2698.62,5.440000000000055,2698.5,2653.120922437981
SHORT,2024-12-11 06:40:00,2024-12-11 06:45:00,2024-12-11 12:10:00,2684.8,2698.07,2658.26,2698.07,LOSS,PULLBACK,-13.269999999999982,-1.0,2698.07,2684.8,13.269999999999982,2683.53,2653.8471718389765
LONG,2024-12-11 15:30:00,2024-12-11 15:35:00,2024-12-11 17:10:00,2697.97,2690.5,2712.9099999999994,2712.9099999999994,WIN,PULLBACK,14.9399999999996,2.0,2697.97,2690.5,7.4699999999998,2699.76,2657.3068125318578
SHORT,2024-12-12 14:55:00,2024-12-12 15:00:00,2024-12-12 16:00:00,2706.95,2712.4,2696.0499999999993,2696.0499999999993,WIN,PULLBACK,10.900000000000546,2.0,2712.4,2706.95,5.450000000000273,2706.42,2668.5275193056123
LONG,2024-12-13 08:50:00,2024-12-13 09:00:00,2024-12-13 09:25:00,2688.99,2683.25,2700.4699999999993,2683.25,LOSS,PULLBACK,-5.739999999999782,-1.0,2688.99,2683.25,5.739999999999782,2689.32,2671.2176136157977
LONG,2024-12-13 14:05:00,2024-12-13 14:10:00,2024-12-13 15:30:00,2668.65,2662.79,2680.3700000000003,2662.79,LOSS,PULLBACK,-5.860000000000127,-1.0,2668.65,2662.79,5.860000000000127,2669.03,2671.2481946629005
SHORT,2024-12-16 02:50:00,2024-12-16 02:55:00,2024-12-16 03:20:00,2645.99,2653.04,2631.8899999999994,2653.04,LOSS,PULLBACK,-7.050000000000182,-1.0,2653.04,2645.99,7.050000000000182,2644.73,2669.4040279512083
LONG,2024-12-17 09:15:00,2024-12-17 10:00:00,2024-12-17 10:35:00,2652.56,2646.46,2664.7599999999998,2646.46,LOSS,PULLBACK,-6.099999999999909,-1.0,2652.56,2646.46,6.099999999999909,2653.21,2665.582178079389
SHORT,2024-12-18 18:45:00,2024-12-18 18:50:00,2024-12-18 19:25:00,2634.41,2639.52,2624.1899999999996,2639.52,LOSS,PULLBACK,-5.110000000000127,-1.0,2639.52,2634.41,5.110000000000127,2633.94,2659.6337952322347
LONG,2024-12-19 02:30:00,2024-12-19 02:35:00,2024-12-19 03:35:00,2593.57,2586.42,2607.8700000000003,2607.8700000000003,WIN,PULLBACK,14.300000000000182,2.0,2593.57,2586.42,7.150000000000091,2593.6,2655.937083680047
LONG,2024-12-19 12:45:00,2024-12-19 12:50:00,2024-12-19 13:35:00,2622.65,2617.19,2633.57,2617.19,LOSS,PULLBACK,-5.460000000000036,-1.0,2622.65,2617.19,5.460000000000036,2623.53,2651.943877315919
SHORT,2024-12-19 13:40:00,2024-12-19 13:45:00,2024-12-19 15:30:00,2617.16,2626.42,2598.6399999999994,2598.6399999999994,WIN,PULLBACK,18.520000000000437,2.0,2626.42,2617.16,9.260000000000218,2616.79,2651.593390974467
LONG,2024-12-20 15:30:00,2024-12-20 15:35:00,2024-12-20 16:55:00,2606.2,2600.15,2618.2999999999993,2618.2999999999993,WIN,PULLBACK,12.099999999999454,2.0,2606.2,2600.15,6.049999999999727,2606.44,2640.0583777310717
SHORT,2024-12-26 15:30:00,2024-12-26 15:35:00,2024-12-26 17:05:00,2625.73,2631.12,2614.9500000000003,2631.12,LOSS,PULLBACK,-5.389999999999873,-1.0,2631.12,2625.73,5.389999999999873,2625.43,2630.5971465037533
SHORT,2024-12-27 15:00:00,2024-12-27 15:10:00,2024-12-27 16:30:00,2625.58,2631.52,2613.7,2613.7,WIN,PULLBACK,11.88000000000011,2.0,2631.52,2625.58,5.940000000000055,2624.49,2630.6330552899562
LONG,2024-12-30 14:50:00,2024-12-30 15:00:00,2024-12-30 15:35:00,2620.64,2615.45,2631.02,2615.45,LOSS,PULLBACK,-5.190000000000055,-1.0,2620.64,2615.45,5.190000000000055,2621.41,2628.3121749974266
SHORT,2024-12-30 15:40:00,2024-12-30 15:45:00,2024-12-30 18:20:00,2614.34,2622.5,2598.0200000000004,2598.0200000000004,WIN,PULLBACK,16.31999999999971,2.0,2622.5,2614.34,8.159999999999854,2613.24,2628.0967304700894
SHORT,2024-12-31 15:15:00,2024-12-31 15:20:00,2024-12-31 15:25:00,2607.68,2612.81,2597.4199999999996,2612.81,LOSS,PULLBACK,-5.130000000000109,-1.0,2612.81,2607.68,5.130000000000109,2605.85,2624.076331556551
SHORT,2025-01-02 15:10:00,2025-01-02 15:25:00,2025-01-02 15:55:00,2640.39,2646.45,2628.27,2646.45,LOSS,PULLBACK,-6.059999999999945,-1.0,2646.45,2640.39,6.059999999999945,2638.51,2625.639456047956
SHORT,2025-01-03 04:00:00,2025-01-03 04:05:00,2025-01-03 04:15:00,2656.79,2662.34,2645.6899999999996,2662.34,LOSS,PULLBACK,-5.550000000000182,-1.0,2662.34,2656.79,5.550000000000182,2656.62,2629.223521663537
LONG,2025-01-06 15:05:00,2025-01-06 15:10:00,2025-01-06 15:25:00,2647.76,2642.05,2659.1800000000003,2642.05,LOSS,PULLBACK,-5.710000000000036,-1.0,2647.76,2642.05,5.710000000000036,2647.83,2633.38565186198
LONG,2025-01-07 13:50:00,2025-01-07 13:55:00,2025-01-07 15:20:00,2648.04,2642.02,2660.08,2660.08,WIN,PULLBACK,12.039999999999964,2.0,2648.04,2642.02,6.019999999999982,2648.14,2634.3125750913537
LONG,2025-01-08 14:45:00,2025-01-08 14:55:00,2025-01-08 16:00:00,2651.2,2645.87,2661.8599999999997,2661.8599999999997,WIN,PULLBACK,10.659999999999854,2.0,2651.2,2645.87,5.329999999999927,2652.05,2637.9064504497014
LONG,2025-01-08 18:45:00,2025-01-08 18:50:00,2025-01-08 19:25:00,2668.19,2662.66,2679.2500000000005,2662.66,LOSS,PULLBACK,-5.5300000000002,-1.0,2668.19,2662.66,5.5300000000002,2668.56,2638.9418899740185
LONG,2025-01-09 15:35:00,2025-01-09 15:40:00,2025-01-09 16:00:00,2676.86,2671.26,2688.06,2671.26,LOSS,PULLBACK,-5.599999999999909,-1.0,2676.86,2671.26,5.599999999999909,2677.03,2643.2662686445424
SHORT,2025-01-10 14:25:00,2025-01-10 14:30:00,2025-01-10 15:30:00,2677.12,2683.08,2665.2,2665.2,WIN,PULLBACK,11.920000000000073,2.0,2683.08,2677.12,5.960000000000036,2676.93,2649.259957239192
SHORT,2025-01-13 15:35:00,2025-01-13 15:45:00,2025-01-13 16:50:00,2666.77,2672.94,2654.43,2672.94,LOSS,PULLBACK,-6.170000000000073,-1.0,2672.94,2666.77,6.170000000000073,2666.34,2657.2717842462166
LONG,2025-01-14 06:55:00,2025-01-14 07:00:00,2025-01-14 07:50:00,2673.54,2668.38,2683.8599999999997,2668.38,LOSS,PULLBACK,-5.1599999999998545,-1.0,2673.54,2668.38,5.1599999999998545,2673.57,2658.4134593820545
SHORT,2025-01-14 15:20:00,2025-01-14 15:25:00,2025-01-14 15:30:00,2666.48,2671.67,2656.1,2671.67,LOSS,PULLBACK,-5.190000000000055,-1.0,2671.67,2666.48,5.190000000000055,2666.19,2659.2409228185243
LONG,2025-01-15 15:30:00,2025-01-15 15:35:00,2025-01-15 16:30:00,2687.3,2682.15,2697.6000000000004,2682.15,LOSS,PULLBACK,-5.150000000000091,-1.0,2687.3,2682.15,5.150000000000091,2687.94,2663.1209242322334
SHORT,2025-01-16 08:15:00,2025-01-16 08:20:00,2025-01-16 09:05:00,2690.84,2696.09,2680.34,2696.09,LOSS,PULLBACK,-5.25,-1.0,2696.09,2690.84,5.25,2690.46,2667.5871535783162
SHORT,2025-01-16 14:20:00,2025-01-16 14:50:00,2025-01-16 15:25:00,2704.17,2711.04,2690.4300000000003,2711.04,LOSS,PULLBACK,-6.869999999999891,-1.0,2711.04,2704.17,6.869999999999891,2702.76,2669.674056603507
SHORT,2025-01-17 15:55:00,2025-01-17 16:00:00,2025-01-17 16:50:00,2705.16,2712.12,2691.24,2712.12,LOSS,PULLBACK,-6.960000000000036,-1.0,2712.12,2705.16,6.960000000000036,2704.9,2678.962435548573
SHORT,2025-01-20 03:05:00,2025-01-20 03:10:00,2025-01-20 04:10:00,2690.61,2696.19,2679.4500000000003,2696.19,LOSS,PULLBACK,-5.579999999999927,-1.0,2696.19,2690.61,5.579999999999927,2689.98,2681.7132226112612
LONG,2025-01-20 08:40:00,2025-01-20 09:00:00,2025-01-20 09:55:00,2709.88,2703.67,2722.3,2703.67,LOSS,PULLBACK,-6.210000000000036,-1.0,2709.88,2703.67,6.210000000000036,2710.27,2682.8593278149942
SHORT,2025-01-21 08:35:00,2025-01-21 08:40:00,2025-01-21 09:35:00,2724.33,2729.48,2714.0299999999997,2729.48,LOSS,PULLBACK,-5.150000000000091,-1.0,2729.48,2724.33,5.150000000000091,2724.3,2688.4951632627726
LONG,2025-01-21 09:40:00,2025-01-21 09:45:00,2025-01-21 10:40:00,2731.6,2722.7,2749.4,2722.7,LOSS,PULLBACK,-8.900000000000091,-1.0,2731.6,2722.7,8.900000000000091,2731.67,2688.9058581556806
SHORT,2025-01-21 13:00:00,2025-01-21 13:05:00,2025-01-21 13:45:00,2718.93,2724.04,2708.7099999999996,2724.04,LOSS,PULLBACK,-5.110000000000127,-1.0,2724.04,2718.93,5.110000000000127,2718.19,2690.201327468118
