direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
SHORT,2024-12-02 07:15:00,2024-12-02 07:30:00,2024-12-02 09:25:00,2625.43,2630.45,2615.39,2630.45,LOSS,PULLBACK,-5.019999999999982,-1.0,2630.45,2625.43,5.019999999999982,2623.69,2643.6714471006794
LONG,2024-12-02 13:30:00,2024-12-02 13:35:00,2024-12-02 13:50:00,2643.54,2633.97,2662.6800000000003,2642.23,FILTER_EXIT,PULLBACK,-1.3099999999999454,-0.13688610240333574,2643.54,2633.97,9.570000000000164,2643.57,2643.0413996079515
LONG,2024-12-02 15:20:00,2024-12-02 15:25:00,2024-12-02 17:45:00,2644.14,2637.03,2658.359999999999,2641.29,FILTER_EXIT,PULLBACK,-2.849999999999909,-0.40084388185654574,2644.14,2637.03,7.109999999999673,2647.1,2643.059296202433
SHORT,2024-12-03 14:20:00,2024-12-03 14:40:00,2024-12-03 15:10:00,2640.45,2645.6,2630.1499999999996,2643.3,FILTER_EXIT,PULLBACK,-2.850000000000364,-0.553398058252488,2645.6,2640.45,5.150000000000091,2638.69,2642.676072280087
LONG,2024-12-03 15:15:00,2024-12-03 15:20:00,2024-12-03 16:30:00,2643.5,2637.78,2654.9399999999996,2654.9399999999996,WIN,PULLBACK,11.4399999999996,2.0,2643.5,2637.78,5.7199999999998,2643.69,2642.7773053917276
SHORT,2024-12-03 21:25:00,2024-12-03 21:30:00,2024-12-03 22:05:00,2641.46,2646.49,2631.4000000000005,2643.98,FILTER_EXIT,PULLBACK,-2.519999999999982,-0.50099403578531,2646.49,2641.46,5.029999999999745,2641.08,2642.8909029871656
SHORT,2024-12-04 14:50:00,2024-12-04 15:15:00,2024-12-04 15:20:00,2639.46,2646.53,2625.3199999999997,2643.26,FILTER_EXIT,PULLBACK,-3.800000000000182,-0.5374823196605507,2646.53,2639.46,7.070000000000164,2637.83,2643.0178451777974
LONG,2024-12-05 07:50:00,2024-12-05 07:55:00,2024-12-05 09:00:00,2654.54,2645.59,2672.4399999999996,2645.59,LOSS,PULLBACK,-8.949999999999818,-1.0,2654.54,2645.59,8.949999999999818,2654.69,2643.9995195846645
SHORT,2024-12-05 10:50:00,2024-12-05 10:55:00,2024-12-05 11:00:00,2643.82,2650.19,2631.0800000000004,2645.6,FILTER_EXIT,PULLBACK,-1.7799999999997453,-0.2794348508633871,2650.19,2643.82,6.369999999999891,2643.09,2644.0660631817022
LONG,2024-12-05 14:55:00,2024-12-05 15:00:00,2024-12-05 15:20:00,2652.66,2647.52,2662.9399999999996,2647.52,LOSS,PULLBACK,-5.139999999999873,-1.0,2652.66,2647.52,5.139999999999873,2653.25,2644.281082405763
SHORT,2024-12-06 03:10:00,2024-12-06 03:20:00,2024-12-06 05:20:00,2618.12,2632.86,2588.6399999999994,2632.86,LOSS,PULLBACK,-14.740000000000236,-1.0,2632.86,2618.12,14.740000000000236,2615.41,2642.9692639770474
LONG,2024-12-06 10:55:00,2024-12-06 11:00:00,2024-12-06 11:15:00,2643.47,2637.74,2654.93,2641.09,FILTER_EXIT,PULLBACK,-2.3799999999996544,-0.4153577661430448,2643.47,2637.74,5.730000000000018,2644.26,2642.6714390380953
SHORT,2024-12-06 15:15:00,2024-12-06 15:20:00,2024-12-06 15:30:00,2635.27,2641.5,2622.81,2641.5,LOSS,PULLBACK,-6.230000000000018,-1.0,2641.5,2635.27,6.230000000000018,2634.17,2642.41728917404
SHORT,2024-12-09 02:00:00,2024-12-09 02:05:00,2024-12-09 03:10:00,2636.17,2648.18,2612.1500000000005,2642.87,FILTER_EXIT,PULLBACK,-6.699999999999818,-0.5578684429641924,2648.18,2636.17,12.009999999999764,2635.11,2641.7507975744347
LONG,2024-12-10 15:45:00,2024-12-10 15:50:00,2024-12-10 16:55:00,2678.65,2672.31,2691.3300000000004,2691.3300000000004,WIN,PULLBACK,12.680000000000291,2.0,2678.65,2672.31,6.3400000000001455,2679.15,2647.888173323355
LONG,2024-12-11 10:25:00,2024-12-11 10:30:00,2024-12-11 11:05:00,2693.19,2686.98,2705.61,2686.98,LOSS,PULLBACK,-6.210000000000036,-1.0,2693.19,2686.98,6.210000000000036,2694.05,2655.29224940604
LONG,2024-12-11 15:30:00,2024-12-11 15:35:00,2024-12-11 17:10:00,2697.97,2690.5,2712.9099999999994,2712.9099999999994,WIN,PULLBACK,14.9399999999996,2.0,2697.97,2690.5,7.4699999999998,2699.76,2657.3068125318578
LONG,2024-12-13 08:50:00,2024-12-13 09:00:00,2024-12-13 09:25:00,2688.99,2683.25,2700.4699999999993,2683.25,LOSS,PULLBACK,-5.739999999999782,-1.0,2688.99,2683.25,5.739999999999782,2689.32,2671.2176136157977
