direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
LONG,2024-11-29 10:10:00,2024-11-29 10:50:00,2024-11-29 11:10:00,2656.7775,2654.56,2661.2125000000005,2661.2125000000005,WIN,REVERSAL,4.4350000000004,2.0,2663.17,2658.15,5.019999999999982,2656.74,2642.880760188024
LONG,2024-11-29 20:30:00,2024-11-29 20:40:00,2024-11-29 20:45:00,2653.1200000000003,2652.15,2655.060000000001,2652.15,LOSS,REVERSAL,-0.9700000000002547,-1.0,2661.47,2654.95,6.519999999999982,2652.74,2644.431017722027
LONG,2024-11-29 21:10:00,2024-11-29 21:30:00,2024-11-29 21:35:00,2649.425,2649.17,2649.9350000000004,2649.17,LOSS,REVERSAL,-0.25500000000010914,-1.0,2659.88,2651.61,8.269999999999982,2649.84,2644.489714063101
LONG,2024-12-02 01:20:00,2024-12-02 01:50:00,2024-12-02 02:05:00,2646.16,2645.38,2647.7199999999993,2645.38,LOSS,REVERSAL,-0.7799999999997453,-1.0,2653.01,2647.74,5.270000000000437,2646.3,2644.510295221329
SHORT,2024-12-02 09:05:00,2024-12-02 09:50:00,2024-12-02 10:00:00,2631.0249999999996,2632.72,2627.6349999999993,2627.6349999999993,WIN,REVERSAL,3.3900000000003274,2.0,2627.67,2621.86,5.809999999999945,2628.61,2643.360134071781
SHORT,2024-12-02 11:10:00,2024-12-02 11:40:00,2024-12-02 12:05:00,2635.12,2636.47,2632.42,2636.47,LOSS,REVERSAL,-1.349999999999909,-1.0,2632.79,2626.6,6.190000000000055,2634.02,2643.126679769724
SHORT,2024-12-02 13:15:00,2024-12-02 13:25:00,2024-12-02 13:30:00,2641.1175000000003,2643.54,2636.272500000001,2643.57,FILTER_EXIT,REVERSAL,-2.4524999999998727,-1.0123839009288769,2639.99,2633.97,6.019999999999982,2642.16,2643.0413996079515
SHORT,2024-12-02 22:20:00,2024-12-02 22:40:00,2024-12-02 22:50:00,2642.5874999999996,2644.13,2639.5024999999987,2639.5024999999987,WIN,REVERSAL,3.085000000000946,2.0,2641.23,2635.32,5.9099999999998545,2641.56,2642.8423737092016
LONG,2024-12-04 18:40:00,2024-12-04 18:55:00,2024-12-04 19:15:00,2648.7475000000004,2647.41,2651.4225000000015,2651.4225000000015,WIN,REVERSAL,2.6750000000010914,2.0,2656.99,2650.91,6.079999999999927,2650.42,2643.3122069863216
LONG,2024-12-05 08:55:00,2024-12-05 09:05:00,2024-12-05 09:20:00,2647.0474999999997,2645.44,2650.262499999999,2650.262499999999,WIN,REVERSAL,3.214999999999236,2.0,2654.91,2647.02,7.889999999999873,2646.87,2644.074767334282
LONG,2024-12-05 15:25:00,2024-12-05 15:50:00,2024-12-05 16:45:00,2647.2525,2644.34,2653.0775,2644.34,LOSS,REVERSAL,-2.912499999999909,-1.0,2654.49,2647.49,7.0,2646.44,2644.3271412872978
SHORT,2024-12-05 18:00:00,2024-12-05 18:25:00,2024-12-05 18:50:00,2640.06,2642.29,2635.6,2635.6,WIN,REVERSAL,4.460000000000036,2.0,2641.92,2631.84,10.079999999999927,2642.23,2644.157162252097
SHORT,2024-12-05 20:55:00,2024-12-05 21:15:00,2024-12-05 21:20:00,2630.3525,2630.8,2629.4574999999995,2629.4574999999995,WIN,REVERSAL,0.8950000000004366,2.0,2629.21,2623.52,5.690000000000055,2629.59,2643.7133134760243
SHORT,2024-12-06 10:45:00,2024-12-06 11:15:00,2024-12-06 12:10:00,2643.045,2645.15,2638.835,2638.835,WIN,REVERSAL,4.210000000000036,2.0,2642.07,2636.57,5.5,2642.14,2642.651623724283
LONG,2024-12-09 17:45:00,2024-12-09 18:00:00,2024-12-09 18:30:00,2668.235,2666.68,2671.3450000000007,2666.68,LOSS,REVERSAL,-1.555000000000291,-1.0,2676.32,2670.0,6.320000000000164,2668.85,2643.5070500260526
LONG,2024-12-10 09:55:00,2024-12-10 10:30:00,2024-12-10 10:35:00,2662.3900000000003,2661.49,2664.1900000000014,2664.1900000000014,WIN,REVERSAL,1.8000000000010914,2.0,2670.86,2664.79,6.070000000000164,2664.64,2646.513389269004
LONG,2024-12-10 17:35:00,2024-12-10 17:45:00,2024-12-10 17:55:00,2685.6000000000004,2684.58,2687.6400000000012,2687.6400000000012,WIN,REVERSAL,2.040000000000873,2.0,2691.73,2685.24,6.4900000000002365,2685.14,2648.684350183862
LONG,2024-12-11 04:45:00,2024-12-11 05:15:00,2024-12-11 05:30:00,2699.7575,2698.43,2702.412500000001,2698.43,LOSS,REVERSAL,-1.3275000000003274,-1.0,2704.06,2698.62,5.440000000000055,2698.5,2653.541012761981
LONG,2024-12-11 05:40:00,2024-12-11 06:10:00,2024-12-11 06:15:00,2694.91,2694.0,2696.7299999999996,2694.0,LOSS,REVERSAL,-0.9099999999998545,-1.0,2702.69,2697.29,5.400000000000091,2693.26,2653.8471718389765
LONG,2024-12-11 09:25:00,2024-12-11 09:35:00,2024-12-11 10:00:00,2690.2875,2687.75,2695.3624999999997,2687.75,LOSS,REVERSAL,-2.537499999999909,-1.0,2696.87,2689.01,7.859999999999673,2688.05,2654.935387591025
LONG,2024-12-11 11:05:00,2024-12-11 11:15:00,2024-12-11 11:30:00,2688.5225,2685.94,2693.6875,2693.6875,WIN,REVERSAL,5.164999999999964,2.0,2695.76,2687.75,8.010000000000218,2686.91,2655.694615083592
LONG,2024-12-11 20:50:00,2024-12-11 21:15:00,2024-12-11 21:35:00,2715.6775,2714.37,2718.2924999999996,2718.2924999999996,WIN,REVERSAL,2.6149999999997817,2.0,2721.07,2715.08,5.9900000000002365,2715.06,2660.614969610128
LONG,2024-12-12 12:05:00,2024-12-12 12:25:00,2024-12-12 13:00:00,2712.4025,2710.28,2716.6475,2710.28,LOSS,REVERSAL,-2.1224999999999454,-1.0,2717.99,2712.43,5.559999999999945,2710.59,2667.717109352441
LONG,2024-12-12 14:55:00,2024-12-12 15:20:00,2024-12-12 15:55:00,2705.535,2700.99,2714.625,2700.99,LOSS,REVERSAL,-4.545000000000073,-1.0,2712.4,2706.95,5.450000000000273,2706.42,2668.815305183168
LONG,2024-12-12 16:10:00,2024-12-12 16:50:00,2024-12-12 17:15:00,2686.0575000000003,2681.47,2695.2325000000014,2681.47,LOSS,REVERSAL,-4.587500000000546,-1.0,2710.95,2695.58,15.36999999999989,2690.82,2668.9930633405497
LONG,2024-12-12 17:40:00,2024-12-12 17:50:00,2024-12-12 18:05:00,2678.4825,2676.08,2683.2875000000004,2683.2875000000004,WIN,REVERSAL,4.805000000000291,2.0,2689.63,2679.93,9.700000000000273,2676.45,2669.1000975361662
LONG,2024-12-13 09:25:00,2024-12-13 09:50:00,2024-12-13 10:00:00,2682.64,2681.84,2684.2399999999993,2681.84,LOSS,REVERSAL,-0.7999999999997272,-1.0,2690.51,2683.25,7.260000000000218,2682.84,2671.3355478086755
LONG,2024-12-13 10:55:00,2024-12-13 11:25:00,2024-12-13 11:40:00,2672.3199999999997,2670.59,2675.779999999999,2670.48,FILTER_EXIT,REVERSAL,-1.8399999999996908,-1.0635838150289914,2684.71,2678.5,6.210000000000036,2674.98,2671.345922347748
SHORT,2024-12-13 14:05:00,2024-12-13 14:50:00,2024-12-13 14:55:00,2671.4399999999996,2672.3,2669.7199999999984,2672.46,FILTER_EXIT,REVERSAL,-1.0200000000004366,-1.1860465116276118,2668.65,2662.79,5.860000000000127,2669.03,2671.2481946629005
