WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2024-10-30_1630,1630,BREAKOUT,BUY,2024-10-30 16:45:00,2024-10-30 16:50:00,166.377,166.297,166.2492,166.63260000000002,0.12780000000001338,-0.0800000000000125,-0.6259780907668555,FILTER_EXIT,0.056000000000011596,0.42857142857156666,0.49252339097034425,0.1570000000000107,166.2425,0.13450000000000273,1.3808245068273803,1,0.1137001836393664,166.195342267745,166.0589279347767,165.94827254346743,165.86473457814267,165.8342985074627,0.1137001836393664,0.06833888316255636,,0.0,1.0,0,0,1,1,1630,166.321,166.164
2024-10-31_0300,0300,BREAKOUT,SELL,2024-10-31 03:15:00,2024-10-31 03:20:00,166.581,166.633,166.6422,166.4586,0.061200000000002315,-0.05200000000002092,-0.8496732026146887,FILTER_EXIT,0.004000000000019099,0.05000000000023685,0.061833579639264696,0.09799999999998477,166.63400000000001,-0.05300000000002569,1.514922701154516,1,0.06468976927027326,166.55684425526908,166.4993488184768,166.46666727673332,166.2888746386056,165.8999742620099,0.06468976927027326,0.03883382214674739,1.166753146481808,0.0,1.0,0,0,1,1,0300,166.683,166.585
2024-10-31_1000,1000,BREAKOUT,SELL,2024-10-31 10:25:00,2024-10-31 10:35:00,165.037,165.175,165.2152,164.6806,0.17819999999999822,-0.13800000000000523,-0.7744107744108115,FILTER_EXIT,0.05099999999998772,0.5609756097559496,0.3251275701222181,0.24600000000000932,165.211,-0.1740000000000066,1.5682623970605478,0,0.1568615051034165,165.19733409047672,165.3331077758241,165.58286140236595,166.01090750463857,165.88814097759266,0.1568615051034165,0.09504626544557675,0.9099921285065867,0.0,0.0,0,0,0,0,1000,165.334,165.088
2024-10-31_1630,1630,BREAKOUT,SELL,2024-10-31 16:55:00,2024-10-31 17:15:00,165.792,165.55200000000002,165.912,165.55200000000002,0.11999999999999317,0.23999999999998067,1.9999999999999527,TP_HIT,0.002999999999985903,0.2400000000000091,0.023386116716414485,0.19700000000000273,165.8935,-0.10149999999998727,1.5356883310517886,0,0.12828123781150175,165.8678957786702,165.95499644595824,165.9507558933788,165.94464141747926,165.88895624195982,0.12828123781150175,0.07737480566704168,1.0772839829087073,0.0,0.3333333333333333,0,0,0,0,1630,165.992,165.795
2024-11-01_0300,0300,BREAKOUT,BUY,2024-11-01 03:35:00,2024-11-01 03:45:00,165.683,165.627,165.5402,165.96859999999998,0.14279999999999973,-0.055999999999983174,-0.39215686274498096,FILTER_EXIT,0.09899999999998954,0.9080459770113853,1.0146257198604274,0.13900000000001,165.5145,0.16849999999999454,1.424575505662873,1,0.09757292572241127,165.53765169322156,165.4969059705868,165.46202417427426,165.56559049425374,165.84013198526333,0.09757292572241127,0.05889133207535552,0.9936766911534993,0.0,0.6666666666666666,0,0,1,0,0300,165.584,165.445
2024-11-01_1000,1000,BREAKOUT,SELL,2024-11-01 10:15:00,2024-11-01 10:25:00,165.682,165.787,165.8134,165.41919999999996,0.1314000000000135,-0.10500000000001819,-0.7990867579909239,FILTER_EXIT,0.056000000000011596,0.9518072289157741,0.5669543271355539,0.16300000000001091,165.8195,-0.13750000000001705,1.650242059340756,1,0.09877338847194736,165.7430797197768,165.7456224638338,165.75038383676105,165.67294344181727,165.8360150653042,0.09877338847194736,0.05961624586373135,1.1462509475134235,0.0,0.0,0,0,1,0,1000,165.901,165.738
2024-11-01_1630,1630,BREAKOUT,BUY,2024-11-01 17:00:00,2024-11-01 17:15:00,166.04,166.004,165.90019999999998,166.3196,0.13980000000000245,-0.036000000000001364,-0.25751072961373916,FILTER_EXIT,0.05299999999999727,0.8777777777775146,0.4711658353390418,0.18000000000000682,165.897,0.14300000000000068,1.6001858558685869,1,0.11248693352704467,165.9292703281553,165.84595334768676,165.80147125431512,165.74717379918923,165.8340538110369,0.11248693352704467,0.06774688841667349,0.7928809293555764,0.0,1.0,0,0,1,1,1630,165.987,165.807
2024-11-04_0300,0300,BREAKOUT,SELL,2024-11-04 03:45:00,2024-11-04 04:00:00,165.252,165.318,165.3684,165.0192,0.11639999999999304,-0.0660000000000025,-0.5670103092784059,FILTER_EXIT,0.031999999999982265,0.6037735849056249,0.38049513485077474,0.16200000000000614,165.365,-0.11299999999999955,1.9262566201831877,0,0.08410094392542562,165.32916168029396,165.39319280569148,165.52041482422177,165.69291479972827,165.81866184481123,0.08410094392542562,0.05089254225390653,1.021927319565552,0.5,0.0,0,1,0,0,0300,165.446,165.284
2024-11-04_1000,1000,BREAKOUT,SELL,2024-11-04 10:30:00,2024-11-04 10:35:00,165.6,165.613,165.7194,165.36119999999997,0.11940000000000736,-0.01300000000000523,-0.10887772194308566,FILTER_EXIT,0.0020000000000095497,0.14285714285736037,0.02120603633991496,0.19700000000000273,165.7005,-0.10050000000001091,2.0887945794716787,0,0.09431276868299332,165.68410809841504,165.6817815328994,165.6132180310476,165.60301267433235,165.8003381579584,0.09431276868299332,0.05695215500180756,1.2161134823370285,0.0,0.6666666666666666,0,0,0,0,1000,165.799,165.602
2024-11-04_1630,1630,BREAKOUT,SELL,2024-11-04 16:55:00,2024-11-04 17:00:00,165.479,165.562,165.6086,165.21980000000005,0.12959999999998786,-0.08299999999999841,-0.6404320987654798,FILTER_EXIT,0.006000000000000227,0.6184210526315937,0.06667612409814232,0.20999999999997954,165.59,-0.11099999999999,2.333664343434665,0,0.08998723427847534,165.53872063277495,165.53439652035033,165.52319616963172,165.5552066281674,165.78229122737233,0.08998723427847534,0.05437985138807663,1.0737884253566221,0.0,0.6666666666666666,0,0,0,0,1630,165.695,165.485
