Feature,Importance
ATR_Ratio,0.10240551650992355
ATR_Pct,0.08948690241658977
Risk,0.08657033451000334
RangeSize,0.0792777842963573
EMA_200_1H,0.07894791503757047
ATR,0.07888103958892514
EMA_50_5M,0.07743922452826667
RangeSizePct,0.07331778716507148
EMA_9_5M,0.07245442344160741
EMA_21_5M,0.07045663929910914
EntryHour,0.04778101714358035
EntryDayOfWeek,0.037205524600357615
Trend_Score,0.025561889715612275
WindowType,0.01755055589250799
EMA_21_Above_50,0.015476799616327721
Consolidation_Score,0.013468797176219682
Price_Above_EMA200_1H,0.009899629953776728
EMA_9_Above_21,0.00963256956052319
Is_Tight_Range,0.009409408520873847
Is_Consolidating,0.004776241026796294
