Local,Open,High,Low,Close,Volume
12.10.2016 01:00:00.000 UTC+03:00,1251.528,1253.13,1251.049,1253.129,0.11885000000000001
12.10.2016 01:05:00.000 UTC+03:00,1253.13,1253.34,1252.929,1253.29,0.0397
12.10.2016 01:10:00.000 UTC+03:00,1253.29,1254.009,1253.289,1253.859,0.09698
12.10.2016 01:15:00.000 UTC+03:00,1253.859,1253.878,1253.568,1253.709,0.05967
12.10.2016 01:20:00.000 UTC+03:00,1253.71,1253.91,1253.609,1253.91,0.04449
12.10.2016 01:25:00.000 UTC+03:00,1253.91,1254.72,1253.909,1254.569,0.08386
12.10.2016 01:30:00.000 UTC+03:00,1254.57,1254.688,1254.169,1254.179,0.07026
12.10.2016 01:35:00.000 UTC+03:00,1254.22,1254.428,1254.169,1254.42,0.06063
12.10.2016 01:40:00.000 UTC+03:00,1254.419,1254.78,1254.419,1254.68,0.05908000000000001
12.10.2016 01:45:00.000 UTC+03:00,1254.601,1254.88,1254.479,1254.739,0.04848
12.10.2016 01:50:00.000 UTC+03:00,1254.701,1254.939,1254.379,1254.379,0.05944
12.10.2016 01:55:00.000 UTC+03:00,1254.379,1254.38,1253.779,1254.179,0.0928
12.10.2016 02:00:00.000 UTC+03:00,1254.18,1256.029,1254.009,1254.929,0.12053
12.10.2016 02:05:00.000 UTC+03:00,1254.979,1255.1,1254.359,1254.692,0.06675
12.10.2016 02:10:00.000 UTC+03:00,1254.692,1255.168,1254.692,1255.159,0.06989
12.10.2016 02:15:00.000 UTC+03:00,1255.159,1255.21,1254.369,1254.419,0.0801
12.10.2016 02:20:00.000 UTC+03:00,1254.419,1254.56,1254.219,1254.369,0.06453
12.10.2016 02:25:00.000 UTC+03:00,1254.369,1254.41,1253.769,1253.798,0.06786
12.10.2016 02:30:00.000 UTC+03:00,1253.809,1254.088,1253.688,1253.898,0.09925
12.10.2016 02:35:00.000 UTC+03:00,1253.908,1254.798,1253.599,1254.308,0.14713
12.10.2016 02:40:00.000 UTC+03:00,1254.29,1255.479,1253.798,1255.188,0.17898
12.10.2016 02:45:00.000 UTC+03:00,1255.188,1255.218,1254.688,1254.738,0.16828
12.10.2016 02:50:00.000 UTC+03:00,1254.718,1255.069,1254.658,1254.948,0.12619
12.10.2016 02:55:00.000 UTC+03:00,1254.938,1255.149,1254.488,1254.499,0.17231
12.10.2016 03:00:00.000 UTC+03:00,1254.478,1254.719,1254.168,1254.318,0.20617000000000002
12.10.2016 03:05:00.000 UTC+03:00,1254.299,1254.389,1253.488,1254.378,0.18614000000000003
12.10.2016 03:10:00.000 UTC+03:00,1254.369,1254.569,1254.048,1254.218,0.13774
12.10.2016 03:15:00.000 UTC+03:00,1254.208,1254.208,1253.349,1253.698,0.16312999999999997
12.10.2016 03:20:00.000 UTC+03:00,1253.698,1253.809,1253.188,1253.608,0.16582
12.10.2016 03:25:00.000 UTC+03:00,1253.619,1253.978,1253.388,1253.909,0.14006
12.10.2016 03:30:00.000 UTC+03:00,1253.909,1254.398,1253.858,1253.998,0.13712
12.10.2016 03:35:00.000 UTC+03:00,1253.988,1254.008,1253.278,1253.429,0.16113
12.10.2016 03:40:00.000 UTC+03:00,1253.449,1253.648,1253.378,1253.539,0.12900999999999999
12.10.2016 03:45:00.000 UTC+03:00,1253.539,1253.568,1253.288,1253.468,0.13326000000000002
12.10.2016 03:50:00.000 UTC+03:00,1253.488,1253.538,1252.978,1253.309,0.21087
12.10.2016 03:55:00.000 UTC+03:00,1253.299,1253.709,1253.288,1253.68,0.2011
12.10.2016 04:00:00.000 UTC+03:00,1253.679,1255.119,1253.679,1254.718,0.30213
12.10.2016 04:05:00.000 UTC+03:00,1254.718,1254.868,1254.248,1254.538,0.15831
12.10.2016 04:10:00.000 UTC+03:00,1254.549,1254.928,1254.549,1254.629,0.10332999999999999
12.10.2016 04:15:00.000 UTC+03:00,1254.629,1255.228,1254.518,1255.129,0.17936
12.10.2016 04:20:00.000 UTC+03:00,1255.118,1255.679,1255.081,1255.172,0.13018
12.10.2016 04:25:00.000 UTC+03:00,1255.178,1255.249,1254.891,1255.161,0.15708
12.10.2016 04:30:00.000 UTC+03:00,1255.178,1256.038,1255.011,1255.84,0.20335
12.10.2016 04:35:00.000 UTC+03:00,1255.84,1255.959,1255.611,1255.928,0.12986
12.10.2016 04:40:00.000 UTC+03:00,1255.928,1256.239,1255.748,1256.151,0.11813
12.10.2016 04:45:00.000 UTC+03:00,1256.158,1256.792,1256.04,1256.198,0.08904
12.10.2016 04:50:00.000 UTC+03:00,1256.198,1256.671,1256.189,1256.532,0.07721999999999998
12.10.2016 04:55:00.000 UTC+03:00,1256.532,1256.582,1256.231,1256.338,0.06677
12.10.2016 05:00:00.000 UTC+03:00,1256.348,1257.019,1256.331,1256.928,0.22932000000000002
12.10.2016 05:05:00.000 UTC+03:00,1256.922,1257.279,1256.819,1257.148,0.20787999999999998
12.10.2016 05:10:00.000 UTC+03:00,1257.159,1257.391,1256.832,1256.832,0.18599000000000002
12.10.2016 05:15:00.000 UTC+03:00,1256.832,1256.832,1256.442,1256.571,0.07358
12.10.2016 05:20:00.000 UTC+03:00,1256.571,1257.011,1256.571,1256.962,0.044160000000000005
12.10.2016 05:25:00.000 UTC+03:00,1256.962,1257.182,1256.691,1256.82,0.09168000000000001
12.10.2016 05:30:00.000 UTC+03:00,1256.82,1257.008,1256.759,1256.912,0.12689
12.10.2016 05:35:00.000 UTC+03:00,1256.912,1257.209,1256.689,1257.089,0.16953
12.10.2016 05:40:00.000 UTC+03:00,1257.089,1257.208,1256.729,1256.892,0.16783
12.10.2016 05:45:00.000 UTC+03:00,1256.892,1256.951,1256.799,1256.819,0.13197
12.10.2016 05:50:00.000 UTC+03:00,1256.819,1256.938,1256.351,1256.368,0.09836
12.10.2016 05:55:00.000 UTC+03:00,1256.389,1256.621,1256.351,1256.541,0.07411000000000001
12.10.2016 06:00:00.000 UTC+03:00,1256.549,1256.739,1256.491,1256.641,0.1325
12.10.2016 06:05:00.000 UTC+03:00,1256.641,1256.98,1256.641,1256.919,0.11671000000000001
12.10.2016 06:10:00.000 UTC+03:00,1256.919,1257.122,1256.829,1257.111,0.15066000000000002
12.10.2016 06:15:00.000 UTC+03:00,1257.111,1257.15,1256.971,1257.089,0.103
12.10.2016 06:20:00.000 UTC+03:00,1257.099,1257.239,1257.059,1257.06,0.08731
12.10.2016 06:25:00.000 UTC+03:00,1257.059,1257.06,1256.789,1256.902,0.07782
12.10.2016 06:30:00.000 UTC+03:00,1256.902,1257.07,1256.902,1256.959,0.11245999999999999
12.10.2016 06:35:00.000 UTC+03:00,1256.959,1257.282,1256.959,1257.271,0.08941999999999999
12.10.2016 06:40:00.000 UTC+03:00,1257.271,1257.699,1257.241,1257.241,0.15813
12.10.2016 06:45:00.000 UTC+03:00,1257.241,1257.79,1257.211,1257.789,0.11003
12.10.2016 06:50:00.000 UTC+03:00,1257.79,1257.79,1257.508,1257.641,0.14776
12.10.2016 06:55:00.000 UTC+03:00,1257.649,1257.7,1257.289,1257.338,0.10123
12.10.2016 07:00:00.000 UTC+03:00,1257.358,1257.599,1257.152,1257.152,0.10826000000000001
12.10.2016 07:05:00.000 UTC+03:00,1257.159,1257.209,1257.038,1257.148,0.11263000000000001
12.10.2016 07:10:00.000 UTC+03:00,1257.158,1257.169,1256.841,1256.848,0.09837
12.10.2016 07:15:00.000 UTC+03:00,1256.922,1256.999,1256.789,1256.89,0.06932
12.10.2016 07:20:00.000 UTC+03:00,1256.89,1257.26,1256.841,1257.189,0.11717000000000001
12.10.2016 07:25:00.000 UTC+03:00,1257.189,1257.209,1256.859,1256.938,0.10653000000000001
12.10.2016 07:30:00.000 UTC+03:00,1256.949,1257.139,1256.949,1257.109,0.07416
12.10.2016 07:35:00.000 UTC+03:00,1257.059,1257.06,1256.839,1256.849,0.08661
12.10.2016 07:40:00.000 UTC+03:00,1256.849,1256.86,1256.521,1256.69,0.05535
12.10.2016 07:45:00.000 UTC+03:00,1256.69,1257.029,1256.539,1256.749,0.13174
12.10.2016 07:50:00.000 UTC+03:00,1256.749,1256.918,1256.218,1256.228,0.08627
12.10.2016 07:55:00.000 UTC+03:00,1256.218,1256.318,1256.099,1256.221,0.10386999999999999
12.10.2016 08:00:00.000 UTC+03:00,1256.221,1256.249,1256.059,1256.209,0.11662
12.10.2016 08:05:00.000 UTC+03:00,1256.209,1256.23,1256.089,1256.148,0.09423999999999999
12.10.2016 08:10:00.000 UTC+03:00,1256.148,1256.249,1256.029,1256.128,0.07801999999999999
12.10.2016 08:15:00.000 UTC+03:00,1256.139,1256.289,1255.989,1256.23,0.10792
