WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,Hour
2024-11-28_0300,0300,PULLBACK,SELL,2024-11-28 03:25:00,2024-11-28 08:30:00,2623.67,2636.25,2636.25,2598.51,12.579999999999927,-12.579999999999927,-1.0,SL_HIT,0.7300000000000182,0.8142857142857669,0.23128744305051593,12.579999999999927,2629.96,-6.289999999999964,3.9857479911991796,0,3.1562457104105626,,2.6993452655680477,,,,,2628.9360569624546,2632.2760244240853,2634.7925724582465,2637.6867419566242,2642.021597135937,3.5388690002639507,0.134704241123958,2.4553917186054384,0.0,0.0,0,0,0,0,0300,2636.25,2623.67,Gold,3
2024-11-29_1000,1000,PULLBACK,SELL,2024-11-29 10:50:00,2024-11-29 11:45:00,2656.5,2662.53,2662.53,2644.4399999999996,6.0300000000002,-6.0300000000002,-1.0,SL_HIT,0.8899999999998727,0.6593406593405001,0.4686925293807279,6.0300000000002,2659.5150000000003,-3.0150000000003274,3.1755235417598735,1,1.8988994793149532,,1.1291057019669017,,,,,2657.718313202216,2659.0483279332943,2659.4196816759268,2651.5271393515236,2642.880760188024,1.9524178311298905,0.0734571590778393,1.1328181664851271,0.0,0.3333333333333333,0,0,1,1,1000,2662.53,2656.5,Gold,10
2024-11-29_1630,1630,PULLBACK,SELL,2024-11-29 17:10:00,2024-11-29 18:00:00,2654.68,2659.26,2659.26,2645.519999999999,4.580000000000382,-4.580000000000382,-1.0,SL_HIT,1.2100000000000364,0.38693467336693754,0.39609527844671505,4.580000000000382,2656.9700000000003,-2.2900000000004184,1.499269731641365,0,3.054820559197381,,1.202364149238411,,,,,2654.874611276754,2656.7093396397854,2658.6014418744576,2655.965260927804,2644.0047212381323,2.9159705980907904,0.1098571239480694,1.106465562022686,0.0,0.3333333333333333,0,0,0,1,1630,2659.26,2654.68,Gold,17
2024-12-02_0300,0300,PULLBACK,SELL,2024-12-02 03:35:00,2024-12-02 03:45:00,2631.23,2637.56,2637.56,2618.57,6.329999999999927,-6.329999999999927,-1.0,SL_HIT,2.1399999999998727,0.42242503259449166,0.5485404670635868,6.329999999999927,2634.395,-3.1649999999999636,1.622551942295641,0,3.9012618548556484,,1.633325274156758,,,,,2632.227646432405,2636.326510352287,2643.0930451841728,2651.7486580252494,2644.3548689651216,4.0452321943018585,0.15354080817047777,1.430976674290937,0.0,0.0,0,0,0,0,0300,2637.56,2631.23,Gold,3
2024-12-02_1000,1000,BREAKOUT,BUY,2024-12-02 10:25:00,2024-12-02 10:30:00,2632.49,2630.11,2629.112,2639.245999999999,3.3779999999997927,-2.3799999999996544,-0.7045589105979279,FILTER_EXIT,0.6299999999996544,0.7892857142855136,0.28909757224423716,5.0,2629.36,3.1299999999996544,2.2944251765428234,0,2.1791950555275297,0.6259999999999308,1.1084511316008703,0.6666666666666666,0.0,1.4801657785672904,1.4564831261101006,2630.3798168565086,2629.346409565123,2628.8959118197627,2638.6797507652936,2643.2220232849972,2.1791950555275297,0.0855972708919842,1.1084511316008703,0.0,0.6666666666666666,0,0,0,0,1000,2631.86,2626.86,Gold,10
2024-12-02_1630,1630,PULLBACK,SELL,2024-12-02 16:55:00,2024-12-02 17:05:00,2645.01,2649.0,2649.0,2637.0300000000007,3.9899999999997817,-3.9899999999997817,-1.0,SL_HIT,0.3500000000003638,0.37971014492754046,0.1156690859376282,3.9899999999997817,2647.005,-1.9949999999998909,1.3186275796875186,1,3.025873310601702,,1.0510114266777384,,,,,2646.3916355793654,2645.974682033002,2643.2169737266863,2639.9419464338534,2643.08029823027,2.794633731074176,0.1056504395208692,0.9576642155713072,0.0,1.0,0,0,1,1,1630,2649.0,2645.01,Gold,16
2024-12-03_0300,0300,PULLBACK,SELL,2024-12-03 03:35:00,2024-12-03 03:50:00,2641.1,2634.1599999999994,2644.57,2634.1599999999994,3.4700000000002547,6.940000000000509,2.0,TP_HIT,3.1700000000000728,0.9781021897809872,1.6542813831458187,3.4700000000002547,2642.835,-1.7350000000001273,1.8108379809199622,0,1.9162399047083087,,1.6742411121582954,,,,,2641.2243880353053,2641.6278235943673,2641.0578618797326,2640.1973449479897,2642.715108025901,2.1703313062031766,0.08220858498589699,1.702234505531107,0.0,0.3333333333333333,0,0,0,0,0300,2644.57,2641.1,Gold,3
2024-12-03_1000,1000,PULLBACK,SELL,2024-12-03 10:30:00,2024-12-03 11:00:00,2640.34,2645.38,2645.38,2630.26,5.039999999999964,-5.039999999999964,-1.0,SL_HIT,0.6400000000003274,0.6194690265488542,0.39405608316559837,5.039999999999964,2642.86,-2.519999999999982,3.103191654927477,0,1.6241342979886786,,0.9492062022205292,,,,,2641.8105722748805,2643.2004517526743,2643.0417314329507,2641.112021540266,2642.6805841872724,1.7283497616003758,0.06542714986146393,1.0287563114453637,0.0,0.3333333333333333,0,0,1,0,1000,2645.38,2640.34,Gold,10
2024-12-03_1630,1630,PULLBACK,SELL,2024-12-03 18:50:00,2024-12-04 15:00:00,2648.5,2634.38,2655.56,2634.38,7.059999999999945,14.11999999999989,2.0,TP_HIT,6.349999999999909,0.530120481927823,2.01716622980493,7.059999999999945,2652.0299999999997,-3.5299999999997453,2.24270765077526,0,3.1479805214734258,,0.9946842786096928,,,,,2645.086465489571,2643.9212828578734,2644.074399051366,2643.112638015586,2642.840178182963,2.5060988566060085,0.09462725869702003,0.8176703001002925,0.0,0.6666666666666666,0,0,1,1,1630,2655.56,2648.5,Gold,18
2024-12-04_1630,1630,PULLBACK,SELL,2024-12-04 17:00:00,2024-12-04 17:25:00,2649.64,2653.47,2653.47,2641.98,3.8299999999999272,-3.8299999999999272,-1.0,SL_HIT,0.31999999999970896,0.49683544303783395,0.10706645447927074,3.8299999999999272,2651.555,-1.9149999999999636,1.2814516270499128,1,2.988797953159685,,0.8356332137666957,,,,,2649.7145982964503,2648.094208432802,2645.8606440762323,2644.3420295557953,2643.2477065540234,3.1292749070399752,0.11809074742876026,0.8961576282638898,0.0,1.0,0,0,1,1,1630,2653.47,2649.64,Gold,17
