WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market
2024-11-28_0300,300,BREAKOUT,SELL,2024-11-28 03:15:00,2024-11-28 08:30:00,2622.94,2636.25,2636.25,2596.32,13.309999999999944,-13.309999999999944,-1.0,SL_HIT,0.7300000000000182,0.8142857142857669,0.2312874430505159,12.579999999999927,2629.96,-7.019999999999982,3.98574799119918,0,3.1562457104105626,2630.733839003836,2633.669589553143,2635.558592654685,2637.9314603618486,2642.021597135937,3.1562457104105626,0.1203323640804045,2.699345265568048,0.0,0.0,0,0,0,0,300,2636.25,2623.67,baseline_breakout,XAUUSD5
2024-11-28_1000,1000,BREAKOUT,BUY,2024-11-28 10:25:00,2024-11-28 10:55:00,2638.77,2644.93,2635.69,2644.93,3.0799999999999272,6.159999999999855,2.0,TP_HIT,0.2399999999997817,0.5882352941174898,0.1605490956313116,2.840000000000145,2637.11,1.6599999999998545,1.8998309649723464,1,1.494869834402075,2637.5837965946885,2636.85483298616,2635.1305979794256,2635.0211117927206,2641.5185012004367,1.494869834402075,0.0566502512307656,0.888154695853107,0.5,0.6666666666666666,0,1,1,0,1000,2638.53,2635.69,baseline_breakout,XAUUSD5
2024-11-28_1630,1630,BREAKOUT,SELL,2024-11-28 16:50:00,2024-11-29 03:40:00,2642.29,2646.84,2646.84,2633.19,4.550000000000182,-4.550000000000182,-1.0,SL_HIT,1.0700000000001637,0.7707006369426179,0.6815972505619912,3.480000000000018,2645.1000000000004,-2.8100000000004,2.2167835812667094,1,1.5698420131799626,2644.5530224674617,2645.3162551719142,2645.227545098049,2640.803284041014,2641.768382608734,1.5698420131799626,0.059412177057778,0.9565415720475828,0.0,0.6666666666666666,0,0,1,1,1630,2646.84,2643.36,baseline_breakout,XAUUSD5
2024-11-29_0300,300,BREAKOUT,BUY,2024-11-29 03:45:00,2024-12-02 02:40:00,2646.27,2634.03,2634.03,2670.7499999999995,12.239999999999782,-12.239999999999782,-1.0,SL_HIT,4.670000000000073,0.1049382716049902,2.4969932898026865,7.569999999999709,2637.815,8.454999999999927,4.047588694604993,1,1.8702493190797072,2643.8418075245127,2641.4814942075272,2640.3414855837486,2640.2698640633303,2641.6106894214013,1.8702493190797072,0.0706749242926726,1.4072560991893237,0.0,1.0,0,0,1,1,300,2641.6,2634.03,baseline_breakout,XAUUSD5
2024-12-02_0300,300,BREAKOUT,SELL,2024-12-02 03:15:00,2024-12-02 03:45:00,2629.09,2637.56,2637.56,2612.1500000000005,8.4699999999998,-8.4699999999998,-1.0,SL_HIT,2.1399999999998727,0.4224250325944916,0.5485404670635868,6.329999999999927,2634.395,-5.304999999999836,1.622551942295641,0,3.901261854855648,2634.728785235363,2639.2521108067835,2645.396559824529,2652.6481192966344,2644.3548689651216,3.901261854855648,0.1483882961349991,1.633325274156758,0.0,0.0,0,0,0,0,300,2637.56,2631.23,baseline_breakout,XAUUSD5
2024-12-02_1000,1000,BREAKOUT,BUY,2024-12-02 10:20:00,2024-12-02 10:40:00,2632.49,2626.86,2626.86,2643.749999999999,5.629999999999654,-5.629999999999654,-1.0,SL_HIT,0.6299999999996544,0.7892857142855136,0.2890975722442371,5.0,2629.36,3.1299999999996544,2.2944251765428234,0,2.1791950555275297,2630.379816856509,2629.346409565123,2628.8959118197627,2638.6797507652936,2643.222023284997,2.1791950555275297,0.0827807534132144,1.1084511316008705,0.0,0.6666666666666666,0,0,0,0,1000,2631.86,2626.86,baseline_breakout,XAUUSD5
2024-12-02_1630,1630,BREAKOUT,SELL,2024-12-02 16:45:00,2024-12-02 17:05:00,2644.66,2649.0,2649.0,2635.98,4.3400000000001455,-4.3400000000001455,-1.0,SL_HIT,0.3500000000003638,0.3797101449275404,0.1156690859376282,3.9899999999997817,2647.005,-2.3450000000002547,1.3186275796875186,1,3.025873310601702,2646.8713055927583,2646.060665259932,2643.0204117713915,2639.827990148585,2643.08029823027,3.025873310601702,0.1144144544327702,1.0510114266777384,0.0,1.0,0,0,1,1,1630,2649.0,2645.01,baseline_breakout,XAUUSD5
2024-12-03_0300,300,BREAKOUT,SELL,2024-12-03 03:25:00,2024-12-03 08:05:00,2637.93,2644.57,2644.57,2624.649999999999,6.640000000000327,-6.640000000000327,-1.0,SL_HIT,3.1700000000000728,0.9781021897809872,1.6542813831458187,3.4700000000002547,2642.835,-4.9050000000002,1.8108379809199624,0,1.9162399047083087,2641.7812313051645,2641.917366549184,2641.1247058513886,2640.196102453062,2642.715108025901,1.9162399047083087,0.0726418026523944,1.6742411121582954,0.0,0.3333333333333333,0,0,0,0,300,2644.57,2641.1,baseline_breakout,XAUUSD5
2024-12-03_1000,1000,BREAKOUT,SELL,2024-12-03 10:20:00,2024-12-03 11:00:00,2639.7,2645.38,2645.38,2628.3399999999992,5.680000000000291,-5.680000000000291,-1.0,SL_HIT,0.6400000000003274,0.6194690265488542,0.3940560831655983,5.039999999999964,2642.86,-3.160000000000309,3.103191654927477,0,1.6241342979886786,2642.2015191795003,2643.646146620736,2643.206657000044,2641.113214874581,2642.6805841872724,1.6241342979886786,0.0615272302908921,0.9492062022205292,0.0,0.3333333333333333,0,0,0,0,1000,2645.38,2640.34,baseline_breakout,XAUUSD5
2024-12-03_1630,1630,BREAKOUT,SELL,2024-12-03 16:50:00,2024-12-04 17:25:00,2647.66,2655.56,2655.56,2631.86,7.900000000000091,-7.900000000000091,-1.0,SL_HIT,0.8400000000001455,0.5738636363636341,0.2971233110431701,7.059999999999945,2652.03,-4.369999999999891,2.497250685671906,1,2.8271090445612965,2650.180722159409,2648.994256683554,2646.6532606698142,2643.4044618608946,2642.8088744923075,2.8271090445612965,0.1067776468489646,1.1671000229635224,0.0,1.0,0,0,1,1,1630,2655.56,2648.5,baseline_breakout,XAUUSD5
