Market,Mode,Trades,WinRate%,AvgR,TotalPnL,ProfitFactor
NDQ,baseline_breakout,102,36.27,0.088,433.8,1.14
NDQ,pullback_ema,57,35.09,0.053,78.44,1.06
NDQ,pullback_ema_reversal,90,50.0,0.5,554.19,1.47
NDQ,pullback_only,86,33.72,0.012,103.52,1.05
NDQ,reversal_failed_move,10,30.0,-0.1,46.34,1.54
NDQ,reversal_only,69,60.87,0.826,870.13,3.48
UT100,baseline_breakout,157,45.22,0.357,2440.37,1.38
UT100,pullback_ema,121,39.67,0.19,325.62,1.11
UT100,pullback_ema_reversal,201,46.77,0.403,1146.47,1.35
UT100,pullback_only,182,36.26,0.088,783.85,1.14
UT100,reversal_failed_move,25,72.0,1.16,376.73,3.82
UT100,reversal_only,137,59.85,0.796,1715.21,3.16
XAUUSD5,baseline_breakout,514,36.77,0.103,645.07,1.2
XAUUSD5,pullback_ema,379,39.05,0.172,504.27,1.34
XAUUSD5,pullback_ema_reversal,569,50.44,0.513,1082.56,1.74
XAUUSD5,pullback_only,531,32.96,-0.011,-143.52,0.94
XAUUSD5,reversal_failed_move,262,60.31,0.809,613.33,3.81
XAUUSD5,reversal_only,404,57.67,0.73,904.18,2.97
