<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDQ,5,20250612,153000,19582.3,19593.53,19571.79,19571.79,704631360,0
^NDQ,5,20250612,153500,19576.98,19595.08,19555.97,19590.66,429332940,0
^NDQ,5,20250612,154000,19590.1,19599.73,19586.19,19596.04,349803884,0
^NDQ,5,20250612,154500,19600.76,19610.79,19593.44,19608.48,250044251,0
^NDQ,5,20250612,155000,19605.73,19605.73,19597.11,19597.11,355219968,0
^NDQ,5,20250612,155500,19595.4,19595.4,19576,19577.75,223242335,0
^NDQ,5,20250612,160000,19581.76,19591.04,19571.12,19572.95,267112677,0
^NDQ,5,20250612,160500,19582.7,19615.94,19571.03,19608.19,173245340,0
^NDQ,5,20250612,161000,19608.91,19630.58,19607.87,19630.58,218842884,0
^NDQ,5,20250612,161500,19630.51,19639.49,19629.29,19636.64,220632597,0
^NDQ,5,20250612,162000,19636.33,19645.44,19631.99,19637.87,161182944,0
^NDQ,5,20250612,162500,19636.63,19644.99,19628.25,19639.96,195291055,0
^NDQ,5,20250612,163000,19642.31,19645.61,19633.2,19645.61,139123809,0
^NDQ,5,20250612,163500,19640.85,19658.73,19635.06,19652.51,120296011,0
^NDQ,5,20250612,164000,19654.69,19662.48,19654.69,19659.85,119710469,0
^NDQ,5,20250612,164500,19661.47,19667.55,19658.64,19667.31,99578796,0
^NDQ,5,20250612,165000,19664.5,19665.13,19652.87,19656.18,80459300,0
^NDQ,5,20250612,165500,19660.35,19661.93,19652.84,19656.16,78872249,0
^NDQ,5,20250612,170000,19657.68,19689.97,19657.68,19686.84,135182130,0
^NDQ,5,20250612,170500,19687.13,19688.33,19673.27,19673.72,103200017,0
^NDQ,5,20250612,171000,19673.93,19680.89,19669.84,19672.86,76686083,0
^NDQ,5,20250612,171500,19675.35,19677.63,19645.89,19652.94,79645286,0
^NDQ,5,20250612,172000,19652.06,19655.03,19624.56,19628.54,120719677,0
^NDQ,5,20250612,172500,19626.95,19636.54,19616.2,19636.54,106838703,0
^NDQ,5,20250612,173000,19633.96,19640.84,19622.19,19632.07,93858050,0
^NDQ,5,20250612,173500,19632.21,19642.76,19631.99,19635.98,79779589,0
^NDQ,5,20250612,174000,19636.62,19646.73,19634.49,19642.13,80059726,0
^NDQ,5,20250612,174500,19642.5,19642.5,19625.87,19626.68,96306985,0
^NDQ,5,20250612,175000,19627.2,19632.78,19619.5,19632.78,100626710,0
^NDQ,5,20250612,175500,19635.26,19643.54,19632.18,19640.67,50284091,0
^NDQ,5,20250612,180000,19641.79,19660.45,19630.66,19634.79,77849800,0
^NDQ,5,20250612,180500,19635.23,19653.5,19633.63,19652.75,57143343,0
^NDQ,5,20250612,181000,19652.07,19663.01,19651.19,19658.75,66882124,0
^NDQ,5,20250612,181500,19658.79,19665.52,19655.55,19659.98,125132500,0
^NDQ,5,20250612,182000,19659.42,19664.03,19644.49,19648.43,90654769,0
^NDQ,5,20250612,182500,19650.86,19676.17,19650.27,19671.24,158994360,0
^NDQ,5,20250612,183000,19665.27,19668.5,19642.1,19658.81,155901432,0
^NDQ,5,20250612,183500,19659.75,19672.12,19658.79,19672.12,111975047,0
^NDQ,5,20250612,184000,19677.15,19681.76,19673.04,19675.75,106625206,0
^NDQ,5,20250612,184500,19675.84,19676.87,19660.52,19660.54,157226513,0
^NDQ,5,20250612,185000,19658.01,19658.82,19651.07,19651.43,117950598,0
^NDQ,5,20250612,185500,19649.11,19654.34,19646.66,19647.09,90614266,0
^NDQ,5,20250612,190000,19645.83,19666.66,19642.42,19661.5,108857681,0
^NDQ,5,20250612,190500,19661.82,19670.88,19656.25,19670.27,99621576,0
^NDQ,5,20250612,191000,19670.31,19678.26,19666.93,19671.27,75469303,0
^NDQ,5,20250612,191500,19671.76,19673.15,19665.56,19671.98,127500241,0
^NDQ,5,20250612,192000,19672.59,19676.05,19665.18,19666.25,103318155,0
^NDQ,5,20250612,192500,19665.09,19669.68,19662.43,19664.74,197295397,0
^NDQ,5,20250612,193000,19666.14,19684.07,19665.92,19683.97,156083119,0
^NDQ,5,20250612,193500,19683.54,19686.74,19679.96,19683.47,73196967,0
^NDQ,5,20250612,194000,19683.49,19683.52,19674.92,19675.2,71185057,0
^NDQ,5,20250612,194500,19675.68,19677.11,19665.21,19667.02,59538180,0
^NDQ,5,20250612,195000,19667.15,19673.88,19667.15,19670.85,87985556,0
^NDQ,5,20250612,195500,19670.5,19670.5,19658.84,19662.03,76671248,0
^NDQ,5,20250612,200000,19662.08,19666,19657.63,19664.89,122569791,0
^NDQ,5,20250612,200500,19664.62,19672.59,19664.62,19671.87,112346167,0
^NDQ,5,20250612,201000,19671.49,19673.68,19664.78,19664.78,64957318,0
^NDQ,5,20250612,201500,19666.15,19669.41,19661.22,19666.12,71440906,0
^NDQ,5,20250612,202000,19666.43,19667.18,19647.77,19650.6,80288837,0
^NDQ,5,20250612,202500,19650.85,19655.65,19635.97,19644.86,64269546,0
^NDQ,5,20250612,203000,19645.85,19649.86,19638.78,19646.07,58900480,0
^NDQ,5,20250612,203500,19647.01,19657.75,19644.57,19650.93,63039429,0
^NDQ,5,20250612,204000,19651.41,19652.97,19637.15,19637.7,41488199,0
^NDQ,5,20250612,204500,19637.41,19648.04,19634.5,19646.97,60553053,0
^NDQ,5,20250612,205000,19645.62,19655.89,19644.87,19653.36,67634380,0
^NDQ,5,20250612,205500,19652.73,19661.93,19648.35,19661.71,50172114,0
^NDQ,5,20250612,210000,19660.65,19665.1,19656.69,19663.05,69707476,0
^NDQ,5,20250612,210500,19662.74,19668.16,19661.51,19667.48,49952730,0
^NDQ,5,20250612,211000,19666.89,19667.36,19658.68,19660.47,61954724,0
^NDQ,5,20250612,211500,19660.43,19671.18,19659.1,19671.03,56860508,0
^NDQ,5,20250612,212000,19669.08,19673.75,19663.73,19664.31,51292171,0
^NDQ,5,20250612,212500,19663.27,19663.5,19655.79,19660.52,52410998,0
^NDQ,5,20250612,213000,19660.27,19660.27,19646.3,19655.35,66903236,0
^NDQ,5,20250612,213500,19655.02,19655.19,19648.33,19654.86,57311730,0
^NDQ,5,20250612,214000,19654.7,19654.7,19641.54,19641.54,56463695,0
^NDQ,5,20250612,214500,19641.01,19641.01,19631.78,19633.86,95260420,0
^NDQ,5,20250612,215000,19630.44,19639.38,19624.81,19636.21,165815360,0
^NDQ,5,20250612,215500,19646.73,19662.48,19638.94,19662.48,492264730,0
^NDQ,5,20250613,153000,19462.91,19517.65,19462.91,19508.57,162362347,0
^NDQ,5,20250613,153500,19514.42,19531.05,19489.06,19531.05,123438147,0
^NDQ,5,20250613,154000,19526.78,19526.78,19508.08,19516.49,93228075,0
^NDQ,5,20250613,154500,19509.36,19509.36,19490.13,19498.33,77164057,0
^NDQ,5,20250613,155000,19497.21,19523.09,19480.83,19480.83,78405206,0
^NDQ,5,20250613,155500,19475.89,19487.82,19462.06,19465.78,81874646,0
^NDQ,5,20250613,160000,19491.37,19491.37,19472.89,19478.09,72718070,0
^NDQ,5,20250613,160500,19477.85,19486.84,19472.37,19473.84,76255179,0
^NDQ,5,20250613,161000,19472.58,19472.58,19431.8,19445.06,95993899,0
^NDQ,5,20250613,161500,19440.72,19441.92,19427.13,19429.49,79083123,0
^NDQ,5,20250613,162000,19428.11,19428.11,19395.19,19412.04,93535626,0
^NDQ,5,20250613,162500,19407.64,19413.36,19377.03,19380.69,78255391,0
