WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2025-06-12_1630,1630,PULLBACK,BUY,2025-06-12 16:50:00,2025-06-12 17:20:00,19662.48,19633.2,19633.2,19721.039999999997,29.279999999998836,-29.279999999998836,-1.0,SL_HIT,4.830000000001746,0.6554433221100158,0.28116440148708577,29.279999999998836,19647.84,14.639999999999418,1.7044500363433888,1,17.17856163317885,19644.36260303825,19621.15129821235,19598.5794591814,19579.630813414013,19578.530199004977,16.81342008208865,0.0855375768948425,,0.0,1.0,0,0,1,1,1630,19662.48,19633.2,pullback_ema
2025-06-16_1630,1630,PULLBACK,BUY,2025-06-16 17:25:00,2025-06-16 17:30:00,19716.95,19701.95,19701.95,19746.95,15.0,-15.0,-1.0,SL_HIT,9.149999999997817,0.8337218337216301,0.5935317257338822,15.0,19709.45,7.5,0.9730028290721703,1,15.416193614055164,19709.51472734551,19671.598649350824,19604.366302264287,19573.55313075133,19579.912553119473,16.788429870113053,0.08520570738827976,0.6450061837169586,1.0,1.0,1,1,1,1,1630,19716.95,19701.95,pullback_ema
2025-06-17_1630,1630,PULLBACK,BUY,2025-06-17 17:15:00,2025-06-17 18:50:00,19640.77,19616.67,19616.67,19688.970000000005,24.100000000002183,-24.100000000002183,-1.0,SL_HIT,1.7299999999995634,0.6757957068839453,0.09822584916238054,24.100000000002183,19628.72,12.049999999999272,1.3683485345746722,1,17.61247181624911,19637.702341918688,19639.06750943033,19650.468571174097,19623.902034275892,19585.487495179535,18.05843438642672,0.09192246277060159,0.7976388307592339,0.0,0.3333333333333333,0,0,1,1,1630,19640.77,19616.67,pullback_ema
2025-06-20_1630,1630,PULLBACK,SELL,2025-06-20 17:25:00,2025-06-23 16:05:00,19467.06,19542.84,19542.84,19315.500000000004,75.77999999999884,-75.77999999999884,-1.0,SL_HIT,13.520000000000437,0.7517337031900202,0.3758271531054962,75.77999999999884,19504.95,-37.88999999999942,2.1065223123027472,0,35.97398401973717,19458.312686213394,19493.61005660175,19538.436254976914,19583.635169839195,19581.72039382887,26.86989437693391,0.13803224109315548,0.7894743729475463,0.0,0.0,0,0,0,0,1630,19542.84,19467.06,pullback_ema
2025-06-23_1630,1630,PULLBACK,SELL,2025-06-23 17:00:00,2025-06-23 17:15:00,19543.67,19569.43,19569.43,19492.149999999994,25.760000000002037,-25.760000000002037,-1.0,SL_HIT,14.119999999998981,0.8263950398583445,0.6596067442914859,25.760000000002037,19556.55,-12.880000000001019,1.203361879104196,1,21.406694401170693,19543.82055115618,19519.225395486676,19492.516684363753,19526.491504264468,19573.844174899787,22.32846848101456,0.11421106343273853,0.835602611470821,0.0,0.6666666666666666,0,0,1,0,1630,19569.43,19543.67,pullback_ema
2025-06-26_1630,1630,PULLBACK,BUY,2025-06-26 17:25:00,2025-06-26 17:30:00,20100.47,20077.26,20077.26,20146.890000000007,23.210000000002765,-23.210000000002765,-1.0,SL_HIT,9.139999999999418,1.0,0.675059281788644,23.210000000002765,20088.864999999998,11.605000000003201,1.7142369726824171,1,13.539551631350035,20089.175691908094,20069.00354821369,20028.537478948747,19905.538016158647,19635.95020895554,15.132107669769653,0.07538083775037549,0.7461386731647529,0.0,1.0,0,0,1,1,1630,20100.47,20077.26,pullback_ema
2025-06-27_1630,1630,PULLBACK,BUY,2025-06-27 18:15:00,2025-06-27 19:35:00,20290.49,20259.07,20259.07,20353.330000000005,31.42000000000189,-31.42000000000189,-1.0,SL_HIT,3.1999999999970896,0.9892473118280659,0.2149692471054939,31.42000000000189,20274.78,15.710000000002765,2.110729295019115,1,14.885850153379025,20292.235823199917,20281.669514004767,20244.435803983863,20083.52474017676,19681.3636057631,9.787170808150828,0.04825392950893388,0.7019409810474254,0.5,1.0,0,1,1,1,1630,20290.49,20259.07,pullback_ema
2025-06-30_1630,1630,PULLBACK,BUY,2025-06-30 17:10:00,2025-06-30 17:15:00,20324.45,20297.58,20297.58,20378.19,26.86999999999898,-26.86999999999898,-1.0,SL_HIT,1.5,0.9256017505470093,0.11246585996529833,26.86999999999898,20311.015,13.43500000000131,2.014638438178301,1,13.337380787937152,20311.58606159196,20297.425595394394,20268.376497529924,20164.535987348983,19720.421346725983,14.841730016212063,0.07309544303141341,0.7530161481757396,0.5,1.0,0,1,1,1,1630,20324.45,20297.58,pullback_ema
2025-07-02_1630,1630,PULLBACK,BUY,2025-07-02 16:55:00,2025-07-02 21:55:00,20350.82,20390.239999999998,20331.11,20390.239999999998,19.709999999999127,39.419999999998254,2.0,TP_HIT,2.3400000000001455,0.9505553565030087,0.1349819631420191,19.709999999999127,20340.965,9.854999999999563,1.1369634587730397,1,17.33564948628101,20334.55435436548,20300.19969632121,20269.60695434621,20243.010368650397,19788.946764452132,18.169621169695073,0.0892945152253275,0.9446996230627523,0.0,1.0,0,0,1,1,1630,20350.82,20331.11,pullback_ema
2025-07-03_1630,1630,PULLBACK,BUY,2025-07-03 17:05:00,2025-07-03 17:40:00,20587.24,20620.220000000005,20570.75,20620.220000000005,16.4900000000016,32.9800000000032,2.0,TP_HIT,0.3499999999985448,0.04963805584275797,0.027122447141767727,16.4900000000016,20578.995000000003,8.244999999998981,1.2778547239132936,1,12.904440302495997,20577.12236877529,20541.54763684306,20472.622348368594,20346.093166022474,19841.085174416017,13.002514928829786,0.06314625549001383,0.678747392835916,0.5,1.0,1,0,1,1,1630,20587.24,20570.75,pullback_ema
