WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2025-06-12_1630,1630,PULLBACK,BUY,2025-06-12 16:50:00,2025-06-12 17:20:00,19662.48,19633.2,19633.2,19721.039999999997,29.279999999998836,-29.279999999998836,-1.0,SL_HIT,4.830000000001746,0.6554433221100158,0.28116440148708577,29.279999999998836,19647.84,14.639999999999418,1.7044500363433888,1,17.17856163317885,19644.36260303825,19621.15129821235,19598.5794591814,19579.630813414013,19578.530199004977,16.81342008208865,0.0855375768948425,,0.0,1.0,0,0,1,1,1630,19662.48,19633.2,pullback_ema_reversal
2025-06-16_1630,1630,REVERSAL,BUY,2025-06-16 17:15:00,2025-06-16 17:25:00,19717.3375,19706.92,19706.92,19738.172500000008,10.417500000003201,-10.417500000003201,-1.0,SL_HIT,0.0,0.9634854771785297,0.0,15.0,19709.45,7.887500000000728,0.7019134977892653,1,21.370154651881954,19706.17113647736,19662.2072657145,19595.009567759018,19570.657363588907,19579.912553119473,15.416193614055164,0.07815124943123662,0.5318658290072846,1.0,1.0,1,1,1,1,1630,19716.95,19701.95,pullback_ema_reversal
2025-06-17_1630,1630,REVERSAL,BUY,2025-06-17 17:05:00,2025-06-17 18:50:00,19630.712499999998,19612.09,19612.09,19667.957499999993,18.62249999999767,-18.62249999999767,-1.0,SL_HIT,0.0,0.7262532981531756,0.0,24.100000000002183,19628.72,1.992499999996653,1.3796029779284862,0,17.468793838201936,19630.886784247945,19636.7417864107,19650.484020667984,19623.367553010787,19585.487495179535,17.61247181624911,0.08966512315768924,0.7499273739122987,0.0,0.3333333333333333,0,0,1,1,1630,19640.77,19616.67,pullback_ema_reversal
2025-06-18_1630,1630,REVERSAL,BUY,2025-06-18 17:50:00,2025-06-18 17:55:00,19635.489999999998,19627.42,19627.42,19651.629999999997,8.069999999999709,-8.069999999999709,-1.0,SL_HIT,0.0,0.6436140546570377,0.0,21.9800000000032,19649.66,-14.170000000001892,1.2041260482168918,1,18.253902930305248,19633.773719894933,19623.874381314647,19604.12012335653,19604.99100412423,19584.8259726737,12.005156119171836,0.06109948178934331,0.7582357266700328,0.5,1.0,0,1,1,1,1630,19660.65,19638.67,pullback_ema_reversal
2025-06-20_1630,1630,PULLBACK,SELL,2025-06-20 17:25:00,2025-06-23 16:05:00,19467.06,19542.84,19542.84,19315.500000000004,75.77999999999884,-75.77999999999884,-1.0,SL_HIT,13.520000000000437,0.7517337031900202,0.3758271531054962,75.77999999999884,19504.95,-37.88999999999942,2.1065223123027472,0,35.97398401973717,19458.312686213394,19493.61005660175,19538.436254976914,19583.635169839195,19581.72039382887,26.86989437693391,0.13803224109315548,0.7894743729475463,0.0,0.0,0,0,0,0,1630,19542.84,19467.06,pullback_ema_reversal
2025-06-23_1630,1630,PULLBACK,SELL,2025-06-23 17:00:00,2025-06-23 17:15:00,19543.67,19569.43,19569.43,19492.149999999994,25.760000000002037,-25.760000000002037,-1.0,SL_HIT,14.119999999998981,0.8263950398583445,0.6596067442914859,25.760000000002037,19556.55,-12.880000000001019,1.203361879104196,1,21.406694401170693,19543.82055115618,19519.225395486676,19492.516684363753,19526.491504264468,19573.844174899787,22.32846848101456,0.11421106343273853,0.835602611470821,0.0,0.6666666666666666,0,0,1,0,1630,19569.43,19543.67,pullback_ema_reversal
2025-06-25_1630,1630,REVERSAL,BUY,2025-06-25 17:25:00,2025-06-25 17:30:00,19973.6375,19968.92,19968.92,19983.072500000006,4.717500000002474,-4.717500000002474,-1.0,SL_HIT,0.0,1.0,0.0,21.080000000001746,20011.8,-38.162499999998545,1.06661549513602,1,19.7634481180245,19982.814274725748,19985.15004841311,19961.813038336,19794.95891553437,19608.19022105273,16.469821369001593,0.08243100204554021,0.8186183012844469,0.0,0.6666666666666666,0,0,1,1,1630,20022.34,20001.26,pullback_ema_reversal
2025-06-26_1630,1630,PULLBACK,BUY,2025-06-26 17:25:00,2025-06-26 17:30:00,20100.47,20077.26,20077.26,20146.890000000007,23.210000000002765,-23.210000000002765,-1.0,SL_HIT,9.139999999999418,1.0,0.675059281788644,23.210000000002765,20088.864999999998,11.605000000003201,1.7142369726824171,1,13.539551631350035,20089.175691908094,20069.00354821369,20028.537478948747,19905.538016158647,19635.95020895554,15.132107669769653,0.07538083775037549,0.7461386731647529,0.0,1.0,0,0,1,1,1630,20100.47,20077.26,pullback_ema_reversal
2025-06-27_1630,1630,REVERSAL,BUY,2025-06-27 17:05:00,2025-06-27 17:30:00,20260.4075,20280.2825,20250.47,20280.2825,9.9375,19.875,2.0,TP_HIT,0.0,0.770893371758123,0.0,31.42000000000189,20274.78,-14.372499999997672,1.707040908673341,1,18.40612011133379,20267.082485683648,20252.51793764736,20209.74773392499,20052.554575923277,19675.300023911474,16.057841328068157,0.07922654104530018,0.8850614914540095,0.0,1.0,0,0,1,1,1630,20290.49,20259.07,pullback_ema_reversal
2025-06-30_1630,1630,PULLBACK,BUY,2025-06-30 17:10:00,2025-06-30 17:15:00,20324.45,20297.58,20297.58,20378.19,26.86999999999898,-26.86999999999898,-1.0,SL_HIT,1.5,0.9256017505470093,0.11246585996529833,26.86999999999898,20311.015,13.43500000000131,2.014638438178301,1,13.337380787937152,20311.58606159196,20297.425595394394,20268.376497529924,20164.535987348983,19720.421346725983,14.841730016212063,0.07309544303141341,0.7530161481757396,0.5,1.0,0,1,1,1,1630,20324.45,20297.58,pullback_ema_reversal
