WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2025-06-12_1630,1630,PULLBACK,BUY,2025-06-12 16:50:00,2025-06-12 17:20:00,19662.48,19633.2,19633.2,19721.039999999997,29.279999999998836,-29.279999999998836,-1.0,SL_HIT,4.830000000001746,0.6554433221100158,0.28116440148708577,29.279999999998836,19647.84,14.639999999999418,1.7044500363433888,1,17.17856163317885,19644.36260303825,19621.15129821235,19598.5794591814,19579.630813414013,19578.530199004977,16.81342008208865,0.0855375768948425,,0.0,1.0,0,0,1,1,1630,19662.48,19633.2,pullback_only
2025-06-16_1630,1630,PULLBACK,SELL,2025-06-16 16:50:00,2025-06-16 17:10:00,19701.95,19716.95,19716.95,19671.95,15.0,-15.0,-1.0,SL_HIT,2.110000000000582,0.9634854771785297,0.09873583202238388,15.0,19709.45,-7.5,0.7019134977892653,1,21.370154651881954,19689.940763175513,19631.44503050586,19569.11326777942,19563.4302443151,19578.8120762664,20.164800698297928,0.10235430267071957,0.584688119508886,0.5,1.0,1,0,1,1,1630,19716.95,19701.95,pullback_only
2025-06-17_1630,1630,PULLBACK,SELL,2025-06-17 17:00:00,2025-06-17 17:05:00,19616.67,19640.77,19640.77,19568.469999999994,24.100000000002183,-24.100000000002183,-1.0,SL_HIT,2.7299999999995634,0.7262532981531756,0.15627867758273128,24.100000000002183,19628.72,-12.05000000000291,1.3796029779284862,0,17.468793838201936,19627.983480309933,19636.16596505177,19650.809899062595,19623.175267111397,19585.487495179535,18.243621326441524,0.09291747432004696,0.7805873930322984,0.0,0.3333333333333333,0,0,1,1,1630,19640.77,19616.67,pullback_only
2025-06-18_1630,1630,PULLBACK,SELL,2025-06-18 16:55:00,2025-06-18 19:20:00,19638.67,19594.709999999992,19660.65,19594.709999999992,21.9800000000032,43.9600000000064,2.0,TP_HIT,5.4099999999998545,0.6436140546570377,0.2963749736511493,21.9800000000032,19649.66,-10.9900000000016,1.2041260482168918,1,18.253902930305248,19635.00637882339,19607.38040060056,19588.341203438154,19601.771015721115,19584.50522868047,17.825382539598,0.09072826660354252,0.836520928559925,0.0,1.0,0,0,1,1,1630,19660.65,19638.67,pullback_only
2025-06-20_1630,1630,PULLBACK,SELL,2025-06-20 17:25:00,2025-06-23 16:05:00,19467.06,19542.84,19542.84,19315.500000000004,75.77999999999884,-75.77999999999884,-1.0,SL_HIT,13.520000000000437,0.7517337031900202,0.3758271531054962,75.77999999999884,19504.95,-37.88999999999942,2.1065223123027472,0,35.97398401973717,19458.312686213394,19493.61005660175,19538.436254976914,19583.635169839195,19581.72039382887,26.86989437693391,0.13803224109315548,0.7894743729475463,0.0,0.0,0,0,0,0,1630,19542.84,19467.06,pullback_only
2025-06-23_1630,1630,PULLBACK,SELL,2025-06-23 17:00:00,2025-06-23 17:15:00,19543.67,19569.43,19569.43,19492.149999999994,25.760000000002037,-25.760000000002037,-1.0,SL_HIT,14.119999999998981,0.8263950398583445,0.6596067442914859,25.760000000002037,19556.55,-12.880000000001019,1.203361879104196,1,21.406694401170693,19543.82055115618,19519.225395486676,19492.516684363753,19526.491504264468,19573.844174899787,22.32846848101456,0.11421106343273853,0.835602611470821,0.0,0.6666666666666666,0,0,1,0,1630,19569.43,19543.67,pullback_only
2025-06-26_1630,1630,PULLBACK,BUY,2025-06-26 17:25:00,2025-06-26 17:30:00,20100.47,20077.26,20077.26,20146.890000000007,23.210000000002765,-23.210000000002765,-1.0,SL_HIT,9.139999999999418,1.0,0.675059281788644,23.210000000002765,20088.864999999998,11.605000000003201,1.7142369726824171,1,13.539551631350035,20089.175691908094,20069.00354821369,20028.537478948747,19905.538016158647,19635.95020895554,15.132107669769653,0.07538083775037549,0.7461386731647529,0.0,1.0,0,0,1,1,1630,20100.47,20077.26,pullback_only
2025-06-27_1630,1630,PULLBACK,SELL,2025-06-27 17:15:00,2025-06-27 17:30:00,20259.07,20290.49,20290.49,20196.229999999996,31.42000000000189,-31.42000000000189,-1.0,SL_HIT,4.9099999999998545,0.770893371758123,0.26675909807719134,31.42000000000189,20274.78,-15.709999999999127,1.707040908673341,1,18.40612011133379,20264.513590837538,20253.878460865584,20213.6529985213,20056.674832334294,19675.300023911474,15.16806748641574,0.07488850453938314,0.8592430735866017,0.0,1.0,0,0,1,1,1630,20290.49,20259.07,pullback_only
2025-06-30_1630,1630,PULLBACK,BUY,2025-06-30 17:10:00,2025-06-30 17:15:00,20324.45,20297.58,20297.58,20378.19,26.86999999999898,-26.86999999999898,-1.0,SL_HIT,1.5,0.9256017505470093,0.11246585996529833,26.86999999999898,20311.015,13.43500000000131,2.014638438178301,1,13.337380787937152,20311.58606159196,20297.425595394394,20268.376497529924,20164.535987348983,19720.421346725983,14.841730016212063,0.07309544303141341,0.7530161481757396,0.5,1.0,0,1,1,1,1630,20324.45,20297.58,pullback_only
2025-07-01_1630,1630,PULLBACK,SELL,2025-07-01 16:50:00,2025-07-02 16:10:00,20204.59,20277.94,20277.94,20057.890000000003,73.34999999999854,-73.34999999999854,-1.0,SL_HIT,0.930000000000291,0.2381178707223475,0.03545520844615127,73.34999999999854,20241.265,-36.67499999999927,2.7963866016390644,0,26.23027873077543,20240.63183517474,20276.404037244898,20298.62996879909,20241.47574790595,19755.240282324397,24.224908233338535,0.11994826847192278,0.9685096578056726,0.0,0.3333333333333333,0,0,0,1,1630,20277.94,20204.59,pullback_only
