WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2025-06-12_1630,1630,REVERSAL,BUY,2025-06-12 17:40:00,2025-06-12 17:45:00,19636.735,19631.99,19631.99,19646.225,4.744999999998981,-4.744999999998981,-1.0,SL_HIT,0.0,0.7719067935675203,0.0,29.279999999998836,19647.84,-11.104999999999563,1.4349582378387105,1,20.40477501568231,19643.93373054295,19637.64996426933,19615.58252380415,19586.457458755896,19579.14850548254,18.021426947612404,0.09174884265409303,0.9316426391519431,0.0,1.0,0,0,1,1,1630,19662.48,19633.2,reversal_only
2025-06-16_1630,1630,REVERSAL,BUY,2025-06-16 17:15:00,2025-06-16 17:25:00,19717.3375,19706.92,19706.92,19738.172500000008,10.417500000003201,-10.417500000003201,-1.0,SL_HIT,0.0,0.9634854771785297,0.0,15.0,19709.45,7.887500000000728,0.7019134977892653,1,21.370154651881954,19706.17113647736,19662.2072657145,19595.009567759018,19570.657363588907,19579.912553119473,15.416193614055164,0.07815124943123662,0.5318658290072846,1.0,1.0,1,1,1,1,1630,19716.95,19701.95,reversal_only
2025-06-17_1630,1630,REVERSAL,BUY,2025-06-17 17:05:00,2025-06-17 18:50:00,19630.712499999998,19612.09,19612.09,19667.957499999993,18.62249999999767,-18.62249999999767,-1.0,SL_HIT,0.0,0.7262532981531756,0.0,24.100000000002183,19628.72,1.992499999996653,1.3796029779284862,0,17.468793838201936,19630.886784247945,19636.7417864107,19650.484020667984,19623.367553010787,19585.487495179535,17.61247181624911,0.08966512315768924,0.7499273739122987,0.0,0.3333333333333333,0,0,1,1,1630,19640.77,19616.67,reversal_only
2025-06-18_1630,1630,REVERSAL,BUY,2025-06-18 17:50:00,2025-06-18 17:55:00,19635.489999999998,19627.42,19627.42,19651.629999999997,8.069999999999709,-8.069999999999709,-1.0,SL_HIT,0.0,0.6436140546570377,0.0,21.9800000000032,19649.66,-14.170000000001892,1.2041260482168918,1,18.253902930305248,19633.773719894933,19623.874381314647,19604.12012335653,19604.99100412423,19584.8259726737,12.005156119171836,0.06109948178934331,0.7582357266700328,0.5,1.0,0,1,1,1,1630,19660.65,19638.67,reversal_only
2025-06-25_1630,1630,REVERSAL,BUY,2025-06-25 17:25:00,2025-06-25 17:30:00,19973.6375,19968.92,19968.92,19983.072500000006,4.717500000002474,-4.717500000002474,-1.0,SL_HIT,0.0,1.0,0.0,21.080000000001746,20011.8,-38.162499999998545,1.06661549513602,1,19.7634481180245,19982.814274725748,19985.15004841311,19961.813038336,19794.95891553437,19608.19022105273,16.469821369001593,0.08243100204554021,0.8186183012844469,0.0,0.6666666666666666,0,0,1,1,1630,20022.34,20001.26,reversal_only
2025-06-26_1630,1630,REVERSAL,BUY,2025-06-26 17:35:00,2025-06-26 18:00:00,20082.685,20119.875000000004,20064.09,20119.875000000004,18.595000000001164,37.19000000000233,2.0,TP_HIT,0.0,0.995170540295809,0.0,23.210000000002765,20088.864999999998,-6.179999999996653,1.5338246664984294,1,15.132107669769653,20088.916842821178,20072.309626622882,20033.100317937697,19909.14671463327,19635.95020895554,15.483671983071268,0.0770557739709361,0.8164284974294741,0.5,1.0,0,1,1,1,1630,20100.47,20077.26,reversal_only
2025-06-27_1630,1630,REVERSAL,BUY,2025-06-27 17:05:00,2025-06-27 17:30:00,20260.4075,20280.2825,20250.47,20280.2825,9.9375,19.875,2.0,TP_HIT,0.0,0.770893371758123,0.0,31.42000000000189,20274.78,-14.372499999997672,1.707040908673341,1,18.40612011133379,20267.082485683648,20252.51793764736,20209.74773392499,20052.554575923277,19675.300023911474,16.057841328068157,0.07922654104530018,0.8850614914540095,0.0,1.0,0,0,1,1,1630,20290.49,20259.07,reversal_only
2025-06-30_1630,1630,REVERSAL,BUY,2025-06-30 17:35:00,2025-06-30 20:10:00,20316.6975,20296.78,20296.78,20356.532499999998,19.917499999999563,-19.917499999999563,-1.0,SL_HIT,0.0,0.8946058091285881,0.0,26.86999999999898,20311.015,5.682499999998981,1.8570096556144835,1,14.46949934738369,20312.243083862453,20302.421840841962,20275.87719968419,20171.595669269696,19720.421346725983,13.81107142440766,0.06794596930815933,0.8256035736202806,0.5,1.0,0,1,1,1,1630,20324.45,20297.58,reversal_only
2025-07-01_1630,1630,REVERSAL,BUY,2025-07-01 17:20:00,2025-07-01 18:30:00,20145.5225,20218.7875,20108.89,20218.7875,36.63249999999971,73.26499999999942,2.0,TP_HIT,0.0,0.2381178707223475,0.0,73.34999999999854,20241.265,-95.74250000000029,2.7963866016390644,0,26.23027873077543,20177.838468920054,20224.265713822388,20268.499508943107,20236.608432640278,19759.42236906744,31.720490384404272,0.15725321930042374,1.2076433689640158,0.0,0.3333333333333333,0,0,0,1,1630,20277.94,20204.59,reversal_only
2025-07-03_1630,1630,REVERSAL,BUY,2025-07-03 17:00:00,2025-07-03 17:05:00,20583.7275,20596.6425,20577.27,20596.6425,6.457500000000437,12.915000000000873,2.0,TP_HIT,0.0,0.21052631578922174,0.0,16.4900000000016,20578.995000000003,4.732499999998254,1.286759012624009,1,12.81514241456491,20573.62546096911,20536.59140052737,20467.78611768976,20343.630685278982,19841.085174416017,12.904440302495997,0.06268067463212545,0.6809468437701303,0.5,1.0,1,0,1,1,1630,20587.24,20570.75,reversal_only
