WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-10-31_0300,0300,BREAKOUT,SELL,2025-10-31 04:10:00,2025-10-31 04:25:00,2464.25,2466.15,2467.31,2458.13,3.0599999999999454,-1.900000000000091,-0.6209150326797793,FILTER_EXIT,0.09999999999990905,0.0500000000001819,0.07068526206713995,5.0,2466.85,-2.599999999999909,3.5342631033602117,0,1.4147220661773128,2465.0943623833614,2465.642617397501,2466.0307876921374,2466.2715471482647,2466.9171282765897,1.4147220661773128,0.0574098434078244,0.8737586275401575,0.0,0.0,0,0,0,0,0300,2469.35,2464.35
2025-10-31_1000,1000,BREAKOUT,BUY,2025-10-31 10:25:00,2025-10-31 11:20:00,2462.85,2462.65,2461.29,2465.97,1.5599999999999454,-0.1999999999998181,-0.1282051282050161,FILTER_EXIT,0.1999999999998181,0.7999999999998787,0.15175978945667068,2.400000000000091,2461.45,1.400000000000091,1.8211174734817732,0,1.3178721499012136,2461.6988036117214,2461.711454566945,2462.2898531427436,2464.445721507199,2466.6681756542976,1.3178721499012136,0.05351004526874205,1.0827648470873195,0.0,0.0,0,0,0,0,1000,2462.65,2460.25
2025-10-31_1630,1630,BREAKOUT,BUY,2025-10-31 16:50:00,2025-10-31 17:05:00,2474.8,2473.75,2462.4100000000003,2499.5800000000004,12.390000000000054,-1.050000000000182,-0.08474576271187872,FILTER_EXIT,6.850000000000364,0.9386503067485193,1.2785575527878934,13.799999999999727,2461.05,13.75,2.575780179338926,1,5.357600043161097,2466.644918979918,2466.0467626551795,2465.258847215598,2464.625645295414,2466.6858537778753,5.357600043161097,0.21648618244549442,1.9829756106873468,0.0,1.0,0,0,1,1,1630,2467.95,2454.15
2025-11-03_0300,0300,BREAKOUT,SELL,2025-11-03 03:20:00,2025-11-03 04:30:00,2488.85,2486.27,2490.14,2486.27,1.2900000000000544,2.5799999999999272,1.9999999999998592,TP_HIT,0.3000000000001819,0.7608695652173312,0.23698467025161993,1.849999999999909,2490.075,-1.224999999999909,1.4614054665506981,1,1.2659046666674898,2489.971348502758,2489.196267143087,2485.212668804996,2474.5727484157987,2467.856276701003,1.2659046666674898,0.050863035806396124,0.9147393808237054,0.5,1.0,0,1,1,1,0300,2491.0,2489.15
2025-11-03_1000,1000,BREAKOUT,BUY,2025-11-03 10:40:00,2025-11-03 10:55:00,2482.15,2482.0,2478.07,2490.3100000000004,4.080000000000109,-0.15000000000009095,-0.036764705882374245,FILTER_EXIT,1.400000000000091,0.8571428571429809,0.8334277558388566,5.400000000000091,2478.05,4.099999999999909,3.2146499153782924,1,1.679809665795173,2480.1068345250183,2479.660903113983,2480.609851854464,2478.901070878421,2468.7976996091106,1.679809665795173,0.06767559034688367,1.0882752479971611,0.0,0.6666666666666666,0,0,1,1,1000,2480.75,2475.35
2025-11-03_1630,1630,BREAKOUT,SELL,2025-11-03 17:20:00,2025-11-03 18:05:00,2449.95,2460.8,2467.86,2414.129999999999,17.910000000000217,-10.850000000000364,-0.6058068118369756,FILTER_EXIT,6.100000000000364,0.9117647058824296,1.1216578289000294,23.75,2467.925,-17.975000000000364,4.367110399405592,0,5.438378659543989,2460.486834230476,2466.85063085342,2473.3780261283937,2478.143977356543,2469.2255390582663,5.438378659543989,0.22197916935219045,1.491393271401451,0.0,0.0,0,0,0,0,1630,2479.8,2456.05
2025-11-04_0300,0300,BREAKOUT,SELL,2025-11-04 03:30:00,2025-11-04 04:30:00,2467.36,2463.3040000000005,2469.388,2463.3040000000005,2.0279999999997926,4.055999999999585,2.0,TP_HIT,0.5899999999996908,0.3880597014925474,0.3264478071942981,2.7899999999999636,2469.345,-1.9849999999996726,1.5437108170721308,0,1.8073333225011659,2468.7491230179544,2469.3526565335455,2469.6510478459436,2471.2702279430796,2469.1734534921925,1.8073333225011659,0.07324968073167944,1.1843092786362717,0.5,0.0,0,1,0,0,0300,2470.74,2467.95
2025-11-04_1000,1000,BREAKOUT,SELL,2025-11-04 11:25:00,2025-11-04 11:40:00,2431.14,2431.39,2437.38,2418.66,6.240000000000054,-0.25,-0.040064102564102214,FILTER_EXIT,0.5599999999999454,0.49781659388661376,0.21096092844066933,9.840000000000146,2436.62,-5.480000000000018,3.7068848854578915,0,2.6545199821560317,2433.845075564145,2436.154037382995,2442.0031449905705,2457.465127964711,2467.497541160488,2.6545199821560317,0.10918828130654885,0.9354168352411549,0.0,0.0,0,0,0,0,1000,2441.54,2431.7
2025-11-04_1630,1630,BREAKOUT,BUY,2025-11-04 16:45:00,2025-11-04 19:20:00,2449.49,2445.07,2435.9179999999997,2476.6339999999996,13.571999999999933,-4.419999999999618,-0.3256704980842646,FILTER_EXIT,3.669999999999618,0.7884297520661483,0.6296521904035622,18.950000000000273,2436.3450000000003,13.144999999999527,3.251201364618234,1,5.828614679554135,2438.836427589681,2437.8179502151843,2437.7630411288724,2447.6305940090774,2466.243116913609,5.828614679554135,0.23795217288309548,2.0911087567856743,0.0,0.6666666666666666,0,0,1,0,1630,2445.82,2426.87
2025-11-05_0300,0300,BREAKOUT,SELL,2025-11-05 03:20:00,2025-11-05 03:45:00,2413.67,2415.42,2417.2999999999997,2406.4100000000003,3.629999999999836,-1.75,-0.48209366391186753,FILTER_EXIT,0.31999999999970896,0.7247706422017047,0.11692631060784245,5.730000000000018,2416.8549999999996,-3.1849999999994907,2.0937117493235897,0,2.7367664158407647,2417.6923363324436,2421.1617509537687,2426.1984888665907,2437.6910055651165,2463.081994851343,2.7367664158407647,0.11338610563336185,1.2912796323747453,0.0,0.0,0,0,0,0,0300,2419.72,2413.99
2025-11-05_1000,1000,BREAKOUT,BUY,2025-11-05 10:45:00,2025-11-05 11:00:00,2434.78,2432.69,2430.214,2443.9120000000003,4.566000000000076,-2.0900000000001455,-0.45773105562858313,FILTER_EXIT,0.45000000000027285,0.7841726618704236,0.22037259780869775,7.1599999999998545,2430.75,4.0300000000002,3.5063728895761934,1,2.041996166832463,2432.9728169685072,2431.966161755127,2430.576259327493,2432.225161370847,2460.8182041743603,2.041996166832463,0.0838677895675364,0.9958887073269407,0.0,0.6666666666666666,0,0,1,0,1000,2434.33,2427.17
2025-11-05_1630,1630,BREAKOUT,BUY,2025-11-05 16:45:00,2025-11-05 17:15:00,2442.57,2441.03,2436.384,2454.942,6.185999999999967,-1.5399999999999636,-0.2489492402198467,FILTER_EXIT,1.3099999999999454,0.9224405377456055,0.3186542844146796,9.0,2436.76,5.809999999999945,2.1892279081925463,1,4.111038401401758,2437.542373058261,2436.6225710337535,2434.6067500701906,2432.7270759384046,2459.3069716201044,4.111038401401758,0.168307905255602,1.7012330432825362,0.0,0.6666666666666666,0,0,1,0,1630,2441.26,2432.26
2025-11-06_0300,0300,BREAKOUT,SELL,2025-11-06 03:25:00,2025-11-06 03:30:00,2456.35,2458.15,2459.17,2450.7099999999996,2.8200000000001637,-1.800000000000182,-0.638297872340453,FILTER_EXIT,0.75,0.6923076923076923,0.3199105943234292,3.950000000000273,2459.075,-2.724999999999909,1.6848624634368436,1,2.344405009737661,2458.9403269006602,2460.846770985544,2462.6285289583893,2453.3013374699913,2459.6556165053353,2.344405009737661,0.09544262868637048,1.1840359985131457,0.0,0.0,0,0,1,0,0300,2461.05,2457.1
2025-11-06_1000,1000,BREAKOUT,SELL,2025-11-06 10:15:00,2025-11-06 10:20:00,2453.05,2453.65,2455.4500000000003,2448.25,2.4,-0.599999999999909,-0.2499999999999621,FILTER_EXIT,0.4499999999998181,0.8548387096773271,0.20297013377740938,3.550000000000182,2455.275,-2.224999999999909,1.6012088331336254,0,2.217074953960065,2455.1278296042783,2456.1262199846396,2457.641427140507,2456.240366050507,2459.555706261614,2.217074953960065,0.09038034096166261,1.3052643578289884,0.0,0.0,0,0,0,0,1000,2457.05,2453.5
2025-11-06_1630,1630,BREAKOUT,SELL,2025-11-06 16:50:00,2025-11-06 17:40:00,2450.1,2433.0,2458.65,2433.0,8.549999999999999,17.09999999999991,1.9999999999999896,TP_HIT,0.20000000000027285,0.7373737373737151,0.04671691384593856,14.049999999999727,2457.325,-7.224999999999909,3.281863197672643,0,4.281104712092627,2456.5777427431963,2460.9010252005455,2462.99238149719,2460.0449115282613,2459.682480857405,4.281104712092627,0.17473183592884484,1.848160657462899,0.0,0.0,0,0,0,0,1630,2464.35,2450.3
2025-11-07_0300,0300,BREAKOUT,SELL,2025-11-07 03:30:00,2025-11-07 03:35:00,2420.3,2423.8,2424.74,2411.4200000000005,4.439999999999782,-3.5,-0.788288288288327,FILTER_EXIT,1.2999999999997272,0.5714285714285714,0.5170460308933197,6.099999999999909,2424.6499999999996,-4.349999999999454,2.4261390680383577,0,2.5142829116271694,2424.1754499686526,2425.5206873364577,2426.5503729775805,2437.462634544429,2456.467574296303,2.5142829116271694,0.10388311001227821,1.3106933064928643,0.0,0.0,0,0,0,0,0300,2427.7,2421.6
2025-11-07_1000,1000,BREAKOUT,SELL,2025-11-07 10:20:00,2025-11-07 10:25:00,2430.2,2427.0199999999995,2431.79,2427.0199999999995,1.5900000000000545,3.180000000000291,2.0000000000001146,TP_HIT,0.0500000000001819,0.18750000000012434,0.03226949332209345,2.599999999999909,2431.55,-1.3500000000003638,1.678013652742696,0,1.549451040371594,2431.123847167115,2430.413393142542,2428.5667775240527,2431.329224929812,2454.4715423485254,1.549451040371594,0.06375816971325793,1.1975375860260842,0.5,0.6666666666666666,0,1,0,0,1000,2432.85,2430.25
2025-11-07_1630,1630,BREAKOUT,BUY,2025-11-07 16:50:00,2025-11-07 17:00:00,2403.65,2396.01,2393.93,2423.0900000000006,9.720000000000164,-7.639999999999873,-0.7860082304526486,FILTER_EXIT,0.09999999999990905,0.8237885462555052,0.01555750189253603,16.100000000000364,2395.5,8.150000000000091,2.5047578047006356,0,6.427767175646991,2398.864093143362,2401.180616822828,2406.7830059800726,2420.4319434091317,2451.9879911534945,6.427767175646991,0.2674169357288703,2.0467037078586414,0.0,0.0,0,0,0,0,1630,2403.55,2387.45
2025-11-10_0300,0300,BREAKOUT,BUY,2025-11-10 03:45:00,2025-11-10 04:05:00,2447.2,2446.1,2445.37,2450.8599999999997,1.8299999999998362,-1.099999999999909,-0.6010928961748675,FILTER_EXIT,0.5499999999997272,0.8846153846153106,0.31276694758970414,2.5,2445.4,1.7999999999997272,1.4216679435902695,1,1.758497834372293,2445.7459927182126,2445.053572063098,2439.5857514581517,2424.1846759039227,2449.1300452593046,1.758497834372293,0.0718575447193647,0.8990770465900646,0.5,0.6666666666666666,0,1,1,0,0300,2446.65,2444.15
2025-11-10_1000,1000,BREAKOUT,BUY,2025-11-10 10:25:00,2025-11-10 11:05:00,2452.45,2457.49,2449.93,2457.49,2.5199999999998908,5.039999999999964,2.0000000000000724,TP_HIT,1.099999999999909,0.8636363636362697,0.6345786700670688,3.099999999999909,2449.8,2.649999999999636,1.7883580701891073,1,1.7334336180629106,2450.105377741747,2449.3259482551202,2448.534458303113,2437.6631455402503,2449.1459572412004,1.7334336180629106,0.07068171086313323,1.1581221591772948,0.0,1.0,0,0,1,1,1000,2451.35,2448.25
2025-11-10_1630,1630,BREAKOUT,SELL,2025-11-10 16:45:00,2025-11-10 17:35:00,2457.2,2445.74,2462.93,2445.74,5.730000000000109,11.460000000000036,1.9999999999999685,TP_HIT,1.800000000000182,0.6435185185185329,0.39189835710589144,7.75,2462.875,-5.675000000000182,1.6873401486501953,1,4.593027675065807,2462.275598343002,2462.766107049279,2461.5661313977216,2450.1983453699445,2449.7964945828,4.593027675065807,0.18692119791086634,2.223951702974302,0.0,0.6666666666666666,0,0,1,1,1630,2466.75,2459.0
2025-11-11_0300,0300,BREAKOUT,SELL,2025-11-11 04:00:00,2025-11-11 04:05:00,2456.75,2458.4,2458.04,2454.17,1.2900000000000544,-1.650000000000091,-1.279069767441877,FILTER_EXIT,0.40000000000009095,0.7142857142856679,0.28736722027529304,1.75,2458.025,-1.275000000000091,1.2572315887041212,1,1.391947208233763,2457.6832301736226,2457.996476573717,2458.3757748509884,2455.6965211109114,2450.550517839898,1.391947208233763,0.05665807299211409,0.9297373400598233,0.5,0.3333333333333333,0,1,1,1,0300,2458.9,2457.15
2025-11-11_1000,1000,BREAKOUT,SELL,2025-11-11 10:20:00,2025-11-11 11:05:00,2450.95,2452.1,2452.33,2448.1899999999996,1.3800000000001091,-1.150000000000091,-0.8333333333333334,FILTER_EXIT,0.5,0.6470588235294013,0.32176323107898464,1.800000000000182,2452.35,-1.400000000000091,1.1583476318844617,0,1.5539376526128394,2452.4337773161383,2453.1432047203843,2454.1704138932955,2455.2084938949088,2450.7168708622075,1.5539376526128394,0.06340144240448967,1.2080188234280356,0.0,0.3333333333333333,0,0,0,1,1000,2453.25,2451.45
