TradeID,EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,EntryHour,EntryDayOfWeek,RangeSize,RangeSizePct,RangeCategory,TradeID_x,ReachedTP,WaitDuration_Min,BestPossibleP&L,WouldHaveWon,TradeID_y,MaxFavorable_Min30,MinAdverse_Min30,WentAgainstFirst,Duration_Minutes,EMA_Pattern,Risk_Range,ATR_Range,RangeSize_Category,ShouldAvoid
,2024-11-11 16:55:00,SELL,2657.24,2662.41,2646.9,5.170000000000073,1630,2662.41,2657.83,2659.5884449573614,2661.456406049833,2664.409546016313,2686.116336213037,2.34806237764124,0.0883647084057608,1.0334217183689909,0,0,0.0,0.0,0,0,0,2024-11-11 17:30:00,2646.9,10.340000000000146,2.0,TP_HIT,16.0,0.0,4.579999999999927,0.172359290090467,Medium (0.15-0.2%),3.0,,,,,,,,,,000,5-10,1.0-1.2,3-5,False
8.0,2024-11-14 03:15:00,BUY,2577.47,2571.64,2589.13,5.829999999999927,300,2575.34,2571.64,2575.0067654683,2575.561856611305,2578.998754594098,2650.8005066508067,1.6555173503782503,0.0642303247129258,1.101545162250969,0,1,0.5,0.0,0,0,0,2024-11-14 03:30:00,2571.64,-5.829999999999927,-1.0,SL_HIT,3.0,3.0,3.700000000000273,0.1435516223273315,Small (0.1-0.15%),10.0,False,,3.7600000000002174,True,8.0,3.4299999999998363,3.880000000000109,False,,000,5-10,1.0-1.2,3-5,False
,2024-11-14 10:30:00,SELL,2555.11,2560.5,2544.3300000000004,5.389999999999873,1000,2560.5,2557.57,2557.8547898379666,2559.016854266144,2561.3509105223848,2644.8043846215287,1.905566784790068,0.074578659423276,1.124380201450888,0,0,0.0,0.0,0,0,0,2024-11-14 13:35:00,2544.3300000000004,10.779999999999744,2.0,TP_HIT,10.0,3.0,2.9299999999998363,0.1146721667560236,Small (0.1-0.15%),11.0,,,,,,,,,,000,5-10,1.0-1.2,<3,False
9.0,2024-11-14 16:45:00,SELL,2551.03,2556.52,2540.0500000000006,5.489999999999782,1630,2556.52,2553.21,2553.439177659267,2552.107244980856,2551.45894476474,2639.371081092949,2.1661388648292443,0.0849123242309672,0.8931020241024782,0,0,0.0,0.6666666666666666,1,1,0,2024-11-14 17:20:00,2556.52,-5.489999999999782,-1.0,SL_HIT,16.0,3.0,3.309999999999945,0.1297515121343122,Small (0.1-0.15%),12.0,False,,-0.7799999999997453,False,9.0,2.269999999999982,1.5799999999999272,False,,110,5-10,0.8-1.0,3-5,False
12.0,2024-11-19 10:50:00,BUY,2626.38,2621.37,2636.4000000000005,5.010000000000218,1000,2624.65,2621.37,2623.5721111482426,2623.019532984431,2621.895498314265,2615.002571162172,1.4832159745005358,0.0564737766241189,1.1593152458148526,0,0,0.0,1.0,1,1,1,2024-11-19 11:05:00,2621.37,-5.010000000000218,-1.0,SL_HIT,10.0,1.0,3.2800000000002,0.1248867262163205,Small (0.1-0.15%),20.0,True,220.0,15.36999999999989,True,12.0,0.9500000000002728,5.369999999999891,False,,111,5-10,1.0-1.2,3-5,False
,2024-11-20 17:25:00,BUY,2637.58,2627.08,2658.58,10.5,1630,2631.66,2627.08,2634.5214126921146,2631.433401863117,2628.620865924143,2619.128646522042,2.296912156443197,0.0870840754192554,1.225898443778214,0,0,0.0,1.0,1,1,1,2024-11-21 04:50:00,2658.58,21.0,2.0,TP_HIT,17.0,2.0,4.579999999999927,0.1736440221718365,Medium (0.15-0.2%),24.0,,,,,,,,,,111,10-15,1.2-1.5,3-5,False
,2024-11-21 04:55:00,BUY,2658.43,2648.63,2678.03,9.799999999999727,300,2651.27,2648.63,2656.545540005694,2654.338493797155,2652.003680813963,2622.111519658269,1.162856724476958,0.0437422359993288,1.0563829541491232,0,0,0.0,1.0,1,1,1,2024-11-22 05:10:00,2678.03,19.59999999999945,2.0,TP_HIT,4.0,3.0,2.6399999999998727,0.0993067336736296,Very Small (<0.1%),25.0,,,,,,,,,,111,5-10,1.0-1.2,<3,False
18.0,2024-11-26 17:00:00,BUY,2637.63,2629.69,2653.51,7.940000000000055,1630,2632.85,2629.69,2632.523714571997,2631.6142700591167,2628.9874197036283,2644.7525217503903,2.768359272922205,0.1049563158184508,1.3825846571229714,0,0,0.0,0.6666666666666666,1,1,0,2024-11-26 17:45:00,2629.69,-7.940000000000055,-1.0,SL_HIT,17.0,1.0,3.1599999999998545,0.1198045214832957,Small (0.1-0.15%),34.0,True,1150.0,17.38000000000011,True,18.0,6.3400000000001455,4.070000000000164,False,,110,5-10,1.2-1.5,3-5,False
,2024-11-29 18:50:00,SELL,2654.91,2663.01,2638.709999999999,8.100000000000364,1630,2663.01,2659.28,2657.0488361248863,2658.285361166611,2659.5225790988493,2644.476789014088,2.91248526061236,0.1097018452833565,1.16642341418609,0,0,0.0,0.3333333333333333,0,0,1,2024-12-02 04:40:00,2638.709999999999,16.200000000000728,2.0,TP_HIT,18.0,4.0,3.730000000000018,0.1404944047067516,Small (0.1-0.15%),43.0,,,,,,,,,,001,5-10,1.0-1.2,3-5,False
25.0,2024-12-03 18:00:00,BUY,2652.6,2638.22,2681.36,14.38000000000011,1630,2640.7,2638.22,2648.9204008655333,2646.035555769358,2644.477185355725,2643.206448851995,2.431493798392383,0.0916645479300453,1.2930108096325352,0,0,0.0,1.0,1,1,1,2024-12-03 19:15:00,2638.22,-14.38000000000011,-1.0,SL_HIT,18.0,1.0,2.480000000000018,0.0934931765060702,Very Small (<0.1%),45.0,False,,0.8699999999998909,True,25.0,1.9800000000000184,5.409999999999855,False,,111,10-15,1.2-1.5,<3,False
