WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-01-23_1630,1630,BREAKOUT,BUY,2025-01-23 16:55:00,2025-01-23 17:00:00,6083.45,6079.76,6078.884,6092.581999999999,4.5659999999998035,-3.6899999999996,-0.8081471747699865,FILTER_EXIT,0.22000000000025466,0.012422360248434924,0.08814385978850452,7.389999999999418,6079.535,3.9149999999999636,2.960832381073832,1,2.495919744473755,6081.336229090639,6079.594493564181,6077.486657015183,6074.792072223886,6069.953527357356,2.495919744473755,0.04102803087842844,1.0676282404119328,0.0,1.0,0,0,1,1,1630,6083.23,6075.84
2025-01-24_0300,0300,BREAKOUT,BUY,2025-01-24 03:15:00,2025-01-24 03:25:00,6115.2,6113.45,6112.938,6119.723999999999,2.2619999999997162,-1.75,-0.7736516357206983,FILTER_EXIT,0.26999999999952706,0.4159999999996217,0.20624452291193002,3.5,6113.18,2.019999999999527,2.673540111825998,1,1.3091256736782375,6113.378660148848,6112.68186122392,6109.744568117692,6094.759293814534,6073.3188572171675,1.3091256736782375,0.021407732758997867,1.1800378805740162,0.5,1.0,0,1,1,1,0300,6114.93,6111.43
2025-01-24_1000,1000,BREAKOUT,BUY,2025-01-24 11:05:00,2025-01-24 11:35:00,6112.88,6111.63,6110.702,6117.236,2.178000000000065,-1.25,-0.5739210284664659,FILTER_EXIT,0.25,0.46012269938647227,0.13857999740390817,3.380000000000109,6110.9400000000005,1.9399999999995998,1.873601564900899,1,1.8040121567569722,6111.853535635939,6111.658783011089,6111.887923917363,6105.7415113608595,6076.328243904119,1.8040121567569722,0.029511656645590495,1.167631713695454,0.0,0.6666666666666666,0,0,1,1,1000,6112.63,6109.25
2025-01-24_1630,1630,BREAKOUT,BUY,2025-01-24 16:45:00,2025-01-24 16:55:00,6124.13,6122.75,6119.33,6133.7300000000005,4.8,-1.3800000000001091,-0.28750000000002274,FILTER_EXIT,0.75,0.5263157894736842,0.21654044088421215,7.25,6119.755,4.375,2.0932242618807173,1,3.463556261996519,6118.3086290075535,6114.678714929451,6112.3586811637415,6108.4700934023795,6078.098749421228,3.463556261996519,0.05655589058358523,1.503588956031818,0.0,1.0,0,0,1,1,1630,6123.38,6116.13
2025-01-27_0300,0300,BREAKOUT,SELL,2025-01-27 03:30:00,2025-01-27 05:10:00,6046.93,6050.43,6052.192,6036.406000000001,5.261999999999716,-3.5,-0.6651463321931184,FILTER_EXIT,0.019999999999527063,0.6666666666666666,0.005398851689666633,8.75,6051.325,-4.394999999999527,2.361997614285006,0,3.7044914639546276,6052.5731298638775,6058.7364289407205,6071.129014710602,6093.7979478526595,6078.975352628217,3.7044914639546276,0.06126235071275221,1.2825657387492142,0.0,0.0,0,0,0,0,0300,6055.7,6046.95
2025-01-27_1000,1000,BREAKOUT,SELL,2025-01-27 10:15:00,2025-01-27 12:00:00,5988.13,5968.93,5997.7300000000005,5968.93,9.6,19.199999999999818,1.9999999999999811,TP_HIT,6.75,0.8372093023255814,1.0001699691674473,9.25,5999.505,-11.375,1.3706032910813166,0,6.748852903090838,5999.455025162896,6006.555943424677,6019.335627818723,6057.062394469403,6075.09571569099,6.748852903090838,0.11270384749647784,1.3710234685477578,0.0,0.0,0,0,0,0,1000,6004.13,5994.88
2025-01-27_1630,1630,BREAKOUT,BUY,2025-01-27 16:55:00,2025-01-27 17:10:00,6004.38,5996.38,5979.93,6053.28,24.45,-8.0,-0.32719836400818,FILTER_EXIT,1.75,0.5588235294117647,0.18333501817186376,39.0,5983.13,21.25,4.085751833544393,0,9.54536682326285,5991.028950797237,5981.378801864249,5975.16859395592,6008.735998725185,6068.906896234484,9.54536682326285,0.1589733964749541,1.35464223228096,0.0,0.6666666666666666,0,0,0,0,1630,6002.63,5963.63
2025-01-28_0300,0300,BREAKOUT,BUY,2025-01-28 03:35:00,2025-01-28 03:45:00,6018.84,6013.91,6014.076,6028.368,4.764000000000306,-4.930000000000291,-1.0348446683459225,FILTER_EXIT,0.27999999999974534,0.6309963099631046,0.08836130585006699,7.660000000000764,6014.73,4.110000000000582,2.4173128671864155,1,3.1688078543661886,6016.378783933945,6015.1725256646205,6011.7303284468735,6006.286727904234,6062.453105957558,3.1688078543661886,0.05264814905141503,0.8089218708306998,0.5,0.6666666666666666,0,1,1,0,0300,6018.56,6010.9
2025-01-28_1000,1000,BREAKOUT,BUY,2025-01-28 10:40:00,2025-01-28 12:05:00,6023.5,6037.24,6016.63,6037.24,6.869999999999891,13.739999999999782,2.0,TP_HIT,1.7700000000004366,0.6265664160401345,0.4028252031750445,9.679999999999382,6016.889999999999,6.610000000000582,2.2030214501317626,1,4.3939653875909475,6019.074763198803,6016.6297281403395,6014.05015904484,6009.947759022284,6059.24681549899,4.3939653875909475,0.0729470471916817,1.1948311231382467,0.0,0.6666666666666666,0,0,1,0,1000,6021.73,6012.05
2025-01-28_1630,1630,BREAKOUT,SELL,2025-01-28 16:45:00,2025-01-28 16:55:00,5997.93,6009.24,6015.33,5963.13,17.4,-11.30999999999949,-0.6499999999999708,FILTER_EXIT,3.8599999999996726,0.38375900458414236,0.5101237710618158,25.140000000000327,6014.360000000001,-16.43000000000029,3.3224123327708046,0,7.566791078888823,6012.099363840436,6017.7974981607385,6022.038089287606,6018.397045209099,6057.29776122359,7.566791078888823,0.1261567087126529,1.6808816849078707,0.0,0.0,0,0,0,0,1630,6026.93,6001.79
2025-01-29_0300,0300,BREAKOUT,BUY,2025-01-29 03:30:00,2025-01-29 03:40:00,6062.45,6061.96,6060.506,6066.338,1.943999999999869,-0.4899999999997817,-0.252057613168629,FILTER_EXIT,0.2600000000002183,0.7227722772271343,0.1654641974539862,2.9799999999995634,6060.7,1.75,1.896474263124587,1,1.5713369055110638,6060.920492961601,6060.375549236117,6060.125448388068,6046.058673122793,6057.472124391174,1.5713369055110638,0.025919173032537404,0.770046475417759,0.5,1.0,0,1,1,1,0300,6062.19,6059.21
2025-01-29_1000,1000,BREAKOUT,SELL,2025-01-29 10:35:00,2025-01-29 10:45:00,6073.26,6074.14,6075.054,6069.6720000000005,1.793999999999869,-0.8800000000001091,-0.490523968784935,FILTER_EXIT,0.010000000000218279,0.499999999999898,0.0043053694530756385,2.9799999999995634,6074.76,-1.5,1.2830000969883473,1,2.3226810403168887,6074.345765854145,6073.965976477255,6071.625972952391,6059.222822874274,6058.221695274683,2.3226810403168887,0.0382443867102164,1.1378685417059822,0.5,1.0,0,1,1,1,1000,6076.25,6073.27
2025-01-29_1630,1630,BREAKOUT,BUY,2025-01-29 17:05:00,2025-01-29 17:10:00,6060.53,6054.32,6050.966,6079.657999999999,9.56399999999976,-6.210000000000036,-0.64930991217066,FILTER_EXIT,0.32999999999992724,0.6603448275861736,0.0553884422014484,15.609999999999673,6052.395,8.134999999999309,2.620041159893279,0,5.957921668923517,6054.949861504722,6055.66496713379,6059.928776677416,6061.56387410867,6058.540096980587,5.957921668923517,0.09830694128935122,1.3083922794141765,0.0,0.3333333333333333,0,0,0,1,1630,6060.2,6044.59
2025-01-30_0300,0300,BREAKOUT,BUY,2025-01-30 03:15:00,2025-01-30 04:20:00,6055.03,6062.782,6051.1539999999995,6062.782,3.8760000000000217,7.7520000000004075,2.000000000000094,TP_HIT,1.0,0.2276785714281926,0.4101171521335899,5.460000000000036,6051.299999999999,3.730000000000473,2.239239650649416,1,2.438327670026988,6050.761767279571,6047.090241888278,6043.818764124105,6048.595982679517,6057.295775736636,2.438327670026988,0.04026945646886948,0.7082952192024994,0.5,0.6666666666666666,0,1,1,0,0300,6054.03,6048.57
2025-01-30_1000,1000,BREAKOUT,BUY,2025-01-30 10:15:00,2025-01-30 11:30:00,6067.66,6063.81,6063.19,6076.599999999999,4.4699999999998905,-3.8499999999994543,-0.8612975391497871,FILTER_EXIT,0.47999999999956344,0.8639705882350126,0.22459577171851614,6.970000000000255,6063.695,3.9650000000001455,3.2613177684990386,1,2.1371729143732194,6063.9810981922155,6061.594063226059,6059.73579122448,6055.039655358503,6057.585403430084,2.1371729143732194,0.03522235778493224,1.3728128187275495,0.0,1.0,0,0,1,1,1000,6067.18,6060.21
2025-01-30_1630,1630,BREAKOUT,BUY,2025-01-30 16:45:00,2025-01-30 16:55:00,6077.49,6069.47,6063.186,6106.098,14.304000000000087,-8.019999999999527,-0.5606823266218874,FILTER_EXIT,10.4399999999996,0.8419290020093925,1.3794140364939305,13.400000000000546,6060.35,17.139999999999418,1.7705122690632307,1,7.5684310321613415,6062.871029916603,6058.869321401845,6057.767712548174,6057.053960989674,6057.705297331836,7.5684310321613415,0.12453218404573832,1.6565980963673372,0.0,1.0,0,0,1,1,1630,6067.05,6053.65
2025-01-31_0300,0300,BREAKOUT,BUY,2025-01-31 03:15:00,2025-01-31 03:25:00,6081.43,6080.7,6079.18,6085.93,2.25,-0.7300000000004729,-0.32444444444465464,FILTER_EXIT,0.5,0.6666666666666666,0.22205494002294024,3.25,6079.305,2.125,1.4433571101491116,1,2.251695008218892,6080.0601048561175,6078.946743749506,6075.144683407265,6064.831695136226,6058.723266492109,2.251695008218892,0.037025749013289505,0.6591159515446129,1.0,1.0,1,1,1,1,0300,6080.93,6077.68
