WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,CandleBody,CandleRange,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff,WinFlag
2025-07-03_1630,1630,BREAKOUT,BUY,2025-07-03 16:50:00,2025-07-04 11:15:00,22794.28,22728.03,22728.03,22926.78,66.25,-66.25,-1.0,SL_HIT,12.12999999999738,0.7384346814080723,0.4619519331086154,54.12000000000262,22755.09,39.18999999999869,2.0610749068297505,1,26.258143176002992,22749.50155385416,22720.49965845052,22692.51030818925,22654.80698928424,22623.95784799544,26.258143176002992,0.115196194729568,1.3776840782160618,0.0,1.0,0,0,1,1,1630,22782.15,22728.03,baseline_breakout,76.02758161235599,72.37980357136712,98.05530483301668,86.23513110403621,26.258143176002992,25.37999999999738,34.37000000000262,0.7384346814080723,0.0689554844341704,0.1926098341577572,bullish_full,3.647778040988868,0
2025-07-08_1630,1630,BREAKOUT,SELL,2025-07-08 16:55:00,2025-07-08 19:20:00,22687.03,22748.9,22748.9,22563.29,61.87000000000262,-61.87000000000262,-1.0,SL_HIT,8.12000000000262,0.8511904761904762,0.3501138708481072,53.75,22722.025,-34.99500000000262,2.317564108137893,0,23.19245444441528,22716.543691916864,22728.625491865045,22736.415294102582,22729.03673749203,22680.720180477445,23.19245444441528,0.1022278122981072,1.6825218449882395,0.0,0.3333333333333333,0,0,0,1,1630,22748.9,22695.15,baseline_breakout,33.453827998662334,36.64288921897168,0.1741926839037722,23.4084709769896,23.19245444441528,35.75,42.0,0.8511904761904762,0.145714285714348,0.0030952380951757,bearish_full,-3.189061220309348,0
2025-07-09_1630,1630,BREAKOUT,BUY,2025-07-09 16:45:00,2025-07-09 17:35:00,22892.4,22785.53,22785.53,23106.140000000007,106.87000000000262,-106.87000000000262,-1.0,SL_HIT,20.87000000000262,0.937984496124031,1.0139672175819197,86.0,22828.53,63.87000000000262,4.178302861142029,1,20.582519472150988,22824.026483021087,22789.28791377454,22759.41370023764,22722.81969633926,22689.67043569712,20.582519472150988,0.0899098367674467,1.7537036695122752,0.0,1.0,0,0,1,1,1630,22871.53,22785.53,baseline_breakout,88.07618245450531,83.46279397927015,98.75389408099689,96.7513683005294,20.582519472150988,30.25,32.25,0.937984496124031,0.0620155038759689,0.0,marubozu,4.613388475235169,0
2025-07-22_1630,1630,BREAKOUT,SELL,2025-07-22 16:45:00,2025-07-23 23:00:00,23056.15,23191.53,23191.53,22785.390000000007,135.37999999999738,-135.37999999999738,-1.0,SL_HIT,45.75,0.9718796992480808,1.61392748138882,89.62999999999738,23146.715,-90.56499999999868,3.1618867793852616,0,28.34699856565496,23136.923920373018,23153.68745272297,23154.727164294865,23132.741223080546,22854.244517102165,28.34699856565496,0.1229476671762412,2.4094130341026245,0.0,0.3333333333333333,0,0,0,1,1630,23191.53,23101.9,baseline_breakout,22.14181985097501,27.38842686644189,1.3624772313315987,20.083244384118903,28.34699856565496,64.62999999999738,66.5,0.9718796992480808,0.0,0.028120300751919,marubozu,-5.246607015466879,0
2025-07-25_1630,1630,BREAKOUT,BUY,2025-07-25 16:45:00,2025-07-28 01:00:00,23239.15,23344.890000000007,23186.28,23344.890000000007,52.87000000000262,105.74000000000524,2.0,TP_HIT,6.120000000002619,0.9891304347826086,0.3197956532065291,46.75,23209.655,29.49500000000262,2.442883461993274,1,19.137220717788264,23222.18635392482,23223.42584241081,23227.071681606223,23238.644490416304,23021.3738316926,19.137220717788264,0.0823490563027832,1.8588466278662483,0.0,0.3333333333333333,0,0,1,1,1630,23233.03,23186.28,baseline_breakout,58.77933902527767,55.92015011016824,99.52936746987952,63.999111812618985,19.137220717788264,22.75,23.0,0.9891304347826086,0.0108695652173913,0.0,marubozu,2.859188915109428,1
2025-08-01_1000,1000,BREAKOUT,SELL,2025-08-01 10:15:00,2025-08-01 13:45:00,23077.78,22933.28,23150.03,22933.28,72.25,144.5,2.0,TP_HIT,20.0,0.9154770848985808,1.0831886284863934,52.25,23123.905,-46.125,2.829830291920703,0,18.46400476706189,23116.61092520239,23137.81242600409,23159.86552288865,23259.78540011692,23265.17525008296,18.46400476706189,0.0800077163707336,1.4761115518807006,0.0,0.0,0,0,0,0,1000,23150.03,23097.78,baseline_breakout,18.620953308046168,23.58401440260333,2.23463687150838,3.300275376352481,18.46400476706189,24.37000000000262,26.62000000000262,0.9154770848985808,0.0093914350112687,0.0751314800901503,marubozu,-4.963061094557162,1
2025-08-01_1630,1630,BREAKOUT,SELL,2025-08-01 16:45:00,2025-08-04 16:10:00,22738.78,22966.78,22966.78,22282.78,228.0,-228.0,-1.0,SL_HIT,51.87000000000262,0.8539200000000419,1.0983893187093103,176.12999999999738,22878.715,-139.9350000000013,3.729695598694008,0,47.223693017111415,22865.838968805085,22916.141167680864,22956.78207539563,23101.40976137867,23245.750879273663,47.223693017111415,0.2076790971947986,1.5787552835766632,0.0,0.0,0,0,0,0,1630,22966.78,22790.65,baseline_breakout,21.964385798092096,26.19409312006566,0.0837885846432274,2.4806149958299697,47.223693017111415,53.37000000000262,62.5,0.8539200000000419,0.1420799999999581,0.004,bearish_full,-4.229707321973564,0
2025-08-15_1630,1630,BREAKOUT,SELL,2025-08-15 16:45:00,2025-08-19 18:00:00,23692.78,23439.54,23819.4,23439.54,126.62000000000262,253.24000000000524,2.0,TP_HIT,51.12000000000262,0.8954248366013072,1.6662445226993474,75.5,23781.65,-88.87000000000262,2.4609049582119384,0,30.679770768090663,23769.72993835144,23791.82785184785,23805.94722997776,23819.55328047576,23601.609883703044,30.679770768090663,0.1294899575655143,2.091666353411863,0.0,0.3333333333333333,0,0,0,1,1630,23819.4,23743.9,baseline_breakout,15.283719517303084,20.26495783298753,5.033076450929218,9.701761512352553,30.679770768090663,68.5,76.5,0.8954248366013072,0.0081045751634329,0.0964705882352598,marubozu,-4.98123831568445,1
2025-08-22_1630,1630,BREAKOUT,BUY,2025-08-22 17:05:00,2025-09-02 15:05:00,23494.45,23133.78,23133.78,24215.790000000005,360.6700000000019,-360.6700000000019,-1.0,SL_HIT,244.29999999999927,0.8274569402229107,3.4044023612371443,116.37000000000262,23191.965,302.4850000000006,1.6216549438279844,1,71.7600254252032,23299.289503170847,23242.895593678004,23206.23778417068,23168.6893464157,23429.959352226902,71.7600254252032,0.3054339447197239,3.172585307416235,0.0,1.0,0,0,1,1,1630,23250.15,23133.78,baseline_breakout,80.07893278460395,77.97318717118263,95.87187666135068,74.28159262310582,71.7600254252032,81.67000000000189,98.70000000000071,0.8274569402229107,0.1573454913880316,0.0151975683890576,bullish_full,2.10574561342132,0
2025-09-04_1630,1630,BREAKOUT,SELL,2025-09-04 17:00:00,2025-09-04 18:25:00,23389.9,23506.65,23506.65,23156.4,116.75,-116.75,-1.0,SL_HIT,26.37999999999738,0.7982179320586209,0.733348765107549,90.37000000000262,23461.465,-71.56499999999869,2.5122338098096173,0,35.97197030273669,23432.201221731444,23440.30049478064,23448.280940559496,23434.60240838629,23423.491253834727,35.97197030273669,0.1537927494462853,1.8142064002054727,0.0,0.0,0,0,0,0,1630,23506.65,23416.28,baseline_breakout,34.97107668504215,37.63551191607546,4.004275612565791,15.90080184097956,35.97197030273669,43.0,53.87000000000262,0.7982179320586209,0.111379246333761,0.090402821607618,bearish_full,-2.664435231033309,0
