WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,CandleBody,CandleRange,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff,WinFlag
2025-07-01_0300,300,BREAKOUT,BUY,2025-07-01 03:35:00,2025-07-01 05:50:00,22687.03,22670.4,22670.4,22720.29,16.62999999999738,-16.62999999999738,-1.0,SL_HIT,0.25,0.6129999999997381,0.0276791872820218,16.37999999999738,22678.59,8.43999999999869,1.8135403507177816,0,9.03205709953701,22679.80633546568,22671.877525438584,22675.14374133736,23384.770723465062,22648.52179660529,9.03205709953701,0.0398115447440101,0.9781984627520972,0.5,0.6666666666666666,0,1,0,1,300,22686.78,22670.4,baseline_breakout,62.49171017056696,32.12321061010938,96.05581395348352,89.77364341084949,9.03205709953701,6.129999999997381,10.0,0.6129999999997381,0.15,0.2370000000002619,bullish_full,30.36849956045758,0
2025-07-03_0300,300,BREAKOUT,BUY,2025-07-03 04:20:00,2025-07-03 05:10:00,22651.78,22631.28,22631.28,22692.78,20.5,-20.5,-1.0,SL_HIT,5.25,0.8,0.7908121203707499,15.25,22638.905,12.875,2.29712092107694,1,6.638744987290643,22643.199911640066,22641.078113492345,22635.57428989948,22593.97066153266,22617.71260816061,6.638744987290643,0.0293078291740898,1.1483505308224442,0.5,1.0,0,1,1,1,300,22646.53,22631.28,baseline_breakout,64.33778157213004,61.24934827714607,100.0,63.08889128167383,6.638744987290643,9.0,11.25,0.8,0.0,0.2,bullish_full,3.088433294983972,0
2025-07-03_1000,1000,BREAKOUT,BUY,2025-07-03 10:35:00,2025-07-03 11:40:00,22693.03,22670.53,22670.53,22738.03,22.5,-22.5,-1.0,SL_HIT,5.379999999997381,0.8333333333333334,0.5795897210459189,17.12000000000262,22679.09,13.93999999999869,1.844344985931688,1,9.282428249915672,22681.45360584857,22675.15058470055,22665.819428551466,22629.02635484824,22620.321703866462,9.282428249915672,0.0409043140114637,1.1171129424432766,0.0,1.0,0,0,1,1,1000,22687.65,22670.53,baseline_breakout,67.84793734147065,64.9089880664762,94.5945945945946,77.2493766493688,9.282428249915672,12.5,15.0,0.8333333333333334,0.1,0.0666666666666666,bullish_full,2.938949274994457,0
2025-07-10_1000,1000,BREAKOUT,BUY,2025-07-10 11:25:00,2025-07-10 16:50:00,22845.93,22792.55,22792.55,22952.69,53.38000000000102,-53.38000000000102,-1.0,SL_HIT,40.5,0.2621231979029794,4.373733561681192,12.88000000000102,22798.99,46.94000000000233,1.390955266036005,1,9.25982331315867,22834.294418423768,22823.39186742827,22814.89241265964,22805.75864306512,22710.58880829644,9.25982331315867,0.0405316102831387,1.1416668721148735,0.0,1.0,0,0,1,1,1000,22805.43,22792.55,baseline_breakout,73.69669982380181,69.36144883779019,89.58755916159772,92.0304659547777,9.25982331315867,2.0,7.630000000001019,0.2621231979029794,0.1965923984272345,0.541284403669786,normal,4.335250986011616,0
2025-07-22_0300,300,BREAKOUT,BUY,2025-07-22 03:20:00,2025-07-22 03:50:00,23201.65,23188.15,23188.15,23228.65,13.5,-13.5,-1.0,SL_HIT,2.87000000000262,0.6730434782613252,0.5135480648326191,10.62999999999738,23193.465,8.18500000000131,1.9020961425659968,1,5.588571346166089,23194.5273917889,23191.85989119601,23182.18650221649,23037.936406213623,22813.856889848583,5.588571346166089,0.0240869565145844,1.070014916628608,0.5,1.0,0,1,1,1,300,23198.78,23188.15,baseline_breakout,62.94573785032886,60.062970697116064,94.84536082474226,94.55600452727322,5.588571346166089,3.8700000000026193,5.75,0.6730434782613252,0.217391304347826,0.1095652173908488,bullish_full,2.8827671532127965,0
2025-07-24_0300,300,BREAKOUT,BUY,2025-07-24 03:35:00,2025-07-24 06:45:00,23252.47,23233.59,23233.59,23290.230000000003,18.88000000000102,-18.88000000000102,-1.0,SL_HIT,0.7299999999995634,0.4933628318582628,0.1066216072294569,18.15000000000145,23242.665,9.805000000000293,2.650934481117749,1,6.846642242304165,23249.11360897198,23245.448594737387,23222.596944138862,23148.25770312482,22926.629097100467,6.846642242304165,0.0294447955090541,0.8690863344569416,0.5,1.0,0,1,1,1,300,23251.74,23233.59,baseline_breakout,59.58224485471464,61.01034718630775,84.28571428571335,79.47916666666666,6.846642242304165,2.2299999999995634,4.520000000000437,0.4933628318582628,0.1969026548671088,0.3097345132746283,normal,-1.4281023315931094,0
2025-07-25_0300,300,BREAKOUT,BUY,2025-07-25 04:35:00,2025-07-25 07:40:00,23276.4,23256.15,23256.15,23316.9,20.25,-20.25,-1.0,SL_HIT,0.8700000000026193,0.6,0.1499803685597933,19.37999999999738,23265.84,10.56000000000131,3.3409420030800594,1,5.800759181730991,23271.68554563423,23268.210201731592,23261.20450337921,23238.94755281529,22993.01468543137,5.800759181730991,0.0249212042314575,0.8648986386339524,0.5,1.0,0,1,1,1,300,23275.53,23256.15,baseline_breakout,61.69892249732045,59.67217289464988,91.4869466515336,79.96575244888574,5.800759181730991,2.25,3.75,0.6,0.4,0.0,normal,2.02674960267057,0
2025-07-28_0300,300,BREAKOUT,BUY,2025-07-28 03:15:00,2025-07-28 08:45:00,23397.65,23429.15,23381.9,23429.15,15.75,31.5,2.0,TP_HIT,4.870000000002619,0.6020512820515507,0.5095456735581425,10.87999999999738,23387.34,10.31000000000131,1.138368979118742,1,9.55753380456663,23392.19366334178,23382.596621557088,23355.370025081786,23296.643067525267,23051.62387109517,9.55753380456663,0.0408482638408841,0.8497744377756989,0.5,1.0,0,1,1,1,300,23392.78,23381.9,baseline_breakout,63.97527396061237,64.4196583472656,65.26946107784431,50.10830104496472,9.55753380456663,5.870000000002619,9.75,0.6020512820515507,0.3846153846153846,0.0133333333330646,bullish_full,-0.4443843866532262,1
2025-07-29_0300,300,BREAKOUT,BUY,2025-07-29 03:25:00,2025-07-29 10:25:00,23393.28,23422.28,23378.78,23422.28,14.5,29.0,2.0,TP_HIT,2.3799999999973807,0.5974193548383717,0.3815511576545208,12.12000000000262,23384.84,8.43999999999869,1.9430252230163363,1,6.237695659548685,23388.05976996996,23385.160172004413,23373.337721795288,23360.38895860817,23118.509844659733,6.237695659548685,0.0266644765486015,1.2019809011548717,0.5,1.0,0,1,1,1,300,23390.9,23378.78,baseline_breakout,65.21270062610753,64.3092443361286,84.05797101449275,66.66305341469618,6.237695659548685,4.629999999997381,7.75,0.5974193548383717,0.3548387096774194,0.0477419354842089,normal,0.9034562899789336,1
2025-07-29_1000,1000,BREAKOUT,BUY,2025-07-29 10:30:00,2025-07-29 12:55:00,23425.15,23462.65,23406.4,23462.65,18.75,37.5,2.0,TP_HIT,9.12000000000262,0.5328596802844398,1.4729437919509565,9.62999999999738,23411.215,13.93500000000131,1.5553123592631335,1,6.191682296255798,23417.03071353815,23413.631942759414,23408.60030044,23386.29381801465,23138.179574146696,6.191682296255798,0.0264317722458801,1.2987901703936604,0.0,1.0,0,0,1,1,1000,23416.03,23406.4,baseline_breakout,67.35756579881064,64.02278241019017,95.03296703297856,85.00236330552748,6.191682296255798,3.0,5.629999999997381,0.5328596802844398,0.2007104795733404,0.2664298401422199,normal,3.3347833886204654,1
