WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,CandleBody,CandleRange,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff,WinFlag
2025-06-30_1630,1630,BREAKOUT,SELL,2025-06-30 16:45:00,2025-06-30 22:20:00,22581.15,22656.03,22656.03,22431.390000000007,74.87999999999738,-74.87999999999738,-1.0,SL_HIT,9.0,0.4493749999999181,0.1082133479384725,65.87999999999738,22623.09,-41.93999999999869,0.7921217069095874,0,83.16903756750213,22742.951762408586,23364.613167556858,24223.914934749893,25053.2866013036,22649.12572139304,83.16903756750213,0.3683117891139385,,0.0,0.0,0,0,0,0,1630,22656.03,22590.15,baseline_breakout,0.1468396460451089,0.083078624254739,3.6287283299262674,,83.16903756750213,14.37999999999738,32.0,0.44937499999991815,0.4453125,0.10531250000008185,normal,0.06376102179036991,0
2025-07-01_0300,300,BREAKOUT,BUY,2025-07-01 03:35:00,2025-07-01 05:50:00,22687.03,22670.4,22670.4,22720.289999999997,16.62999999999738,-16.62999999999738,-1.0,SL_HIT,0.25,0.6129999999997381,0.0276791872820218,16.37999999999738,22678.59,8.43999999999869,1.8135403507177816,0,9.03205709953701,22679.80633546568,22671.877525438584,22675.14374133736,23384.770723465062,22648.52179660529,9.03205709953701,0.0398115447440101,0.9781984627520972,0.5,0.6666666666666666,0,1,0,1,300,22686.78,22670.4,baseline_breakout,62.49171017056696,32.12321061010938,96.05581395348351,89.77364341084949,9.03205709953701,6.129999999997381,10.0,0.6129999999997381,0.15,0.23700000000026195,bullish_full,30.36849956045758,0
2025-07-01_1000,1000,BREAKOUT,SELL,2025-07-01 10:15:00,2025-07-01 15:20:00,22628.78,22577.28,22654.53,22577.28,25.75,51.5,2.0,TP_HIT,1.25,0.1836734693877551,0.1091054851872663,24.5,22642.28,-13.5,2.1384675096704195,0,11.456802541636902,22633.466493748037,22634.30360313722,22644.281554670204,22983.27008586708,22648.788072857067,11.456802541636902,0.050629342552435,1.3069030420706875,0.0,0.0,0,0,0,0,1000,22654.53,22630.03,baseline_breakout,44.59942654936448,42.60573306305315,27.464788732394368,48.29528045466008,11.456802541636902,2.25,12.25,0.1836734693877551,0.2955102040818465,0.5208163265303984,normal,1.9936934863113294,1
2025-07-01_1630,1630,BREAKOUT,BUY,2025-07-01 16:50:00,2025-07-01 17:20:00,22613.4,22569.28,22569.28,22701.640000000007,44.12000000000262,-44.12000000000262,-1.0,SL_HIT,3.37000000000262,0.2763157894736842,0.15970509681331,40.75,22589.655,23.74500000000262,1.9311521350555867,0,21.101392925123967,22598.12544666913,22596.493440760645,22604.553638218465,22779.86846448132,22646.71032625227,21.101392925123967,0.0933136676710444,1.3309079105245951,0.0,0.3333333333333333,0,0,0,0,1630,22610.03,22569.28,baseline_breakout,56.65939307809432,53.51426642186659,81.90087247076383,72.7750738402464,21.101392925123967,5.25,19.0,0.27631578947368424,0.5131578947368421,0.21052631578947367,normal,3.145126656227731,0
2025-07-02_0300,300,BREAKOUT,SELL,2025-07-02 04:30:00,2025-07-02 05:10:00,22495.03,22468.53,22508.28,22468.53,13.25,26.5,2.0,TP_HIT,1.1200000000026191,0.6479663394115451,0.167883480008683,12.12999999999738,22502.215,-7.18500000000131,1.8182380468751091,0,6.671293685029,22500.838777206038,22501.574134172497,22500.654675415208,22576.93203519756,22630.361822583072,6.671293685029,0.0296567450011358,0.9568657746182077,0.5,0.3333333333333333,0,1,0,0,300,22508.28,22496.15,baseline_breakout,41.598948994209074,45.91798059569715,14.199999999982538,31.00535036658991,6.671293685029,4.620000000002619,7.129999999997381,0.6479663394115451,0.05329593267847409,0.2987377279099808,bearish_full,-4.319031601488078,1
2025-07-02_1000,1000,BREAKOUT,SELL,2025-07-02 10:15:00,2025-07-02 12:00:00,22540.53,22489.289999999997,22566.15,22489.289999999997,25.62000000000262,51.24000000000524,2.0,TP_HIT,7.870000000002619,0.8659558263522382,0.7350248822587403,17.75,22557.275,-16.74500000000262,1.657775306237395,0,10.707120520625118,22554.363700361995,22554.269614931964,22545.76653284921,22558.373901882347,22625.235236220444,10.707120520625118,0.0475016360335143,1.193290361403334,0.5,0.6666666666666666,0,1,0,0,1000,22566.15,22548.4,baseline_breakout,39.369786517586526,45.299367875608965,5.11111111110141,34.06799221093949,10.707120520625118,11.37000000000262,13.12999999999738,0.8659558263522382,0.028941355673835222,0.10510281797392658,bearish_full,-5.929581358022439,1
2025-07-02_1630,1630,BREAKOUT,BUY,2025-07-02 16:45:00,2025-07-02 17:50:00,22499.9,22617.4,22441.15,22617.4,58.75,117.5,2.0,TP_HIT,3.8700000000026193,0.4811940298508244,0.1427554312868128,54.87999999999738,22468.59,31.31000000000131,2.024397433853905,0,27.10930130726392,22463.392799400783,22451.00071254205,22461.799719148345,22511.95348907304,22616.311820917177,27.10930130726392,0.120486319082591,1.1658080481389868,0.0,0.3333333333333333,0,0,0,0,1630,22496.03,22441.15,baseline_breakout,64.57687250621109,59.309105032644595,88.04920913884007,91.48517879187229,27.109301307263916,16.12000000000262,33.5,0.48119402985082443,0.5074626865671642,0.011343283582011364,normal,5.267767473566494,1
2025-07-03_0300,300,BREAKOUT,BUY,2025-07-03 04:20:00,2025-07-03 05:10:00,22651.78,22631.28,22631.28,22692.78,20.5,-20.5,-1.0,SL_HIT,5.25,0.8,0.7908121203707499,15.25,22638.905,12.875,2.29712092107694,1,6.638744987290643,22643.199911640066,22641.078113492345,22635.57428989948,22593.97066153266,22617.71260816061,6.638744987290643,0.0293078291740898,1.1483505308224442,0.5,1.0,0,1,1,1,300,22646.53,22631.28,baseline_breakout,64.33778157213004,61.24934827714607,100.0,63.08889128167383,6.638744987290643,9.0,11.25,0.8,0.0,0.2,bullish_full,3.0884332949839717,0
2025-07-03_1000,1000,BREAKOUT,BUY,2025-07-03 10:35:00,2025-07-03 11:40:00,22693.03,22670.53,22670.53,22738.03,22.5,-22.5,-1.0,SL_HIT,5.379999999997381,0.8333333333333334,0.5795897210459189,17.12000000000262,22679.09,13.93999999999869,1.844344985931688,1,9.282428249915672,22681.45360584857,22675.15058470055,22665.819428551466,22629.02635484824,22620.321703866462,9.282428249915672,0.0409043140114637,1.1171129424432766,0.0,1.0,0,0,1,1,1000,22687.65,22670.53,baseline_breakout,67.84793734147065,64.9089880664762,94.5945945945946,77.2493766493688,9.282428249915672,12.5,15.0,0.8333333333333334,0.1,0.06666666666666667,bullish_full,2.9389492749944566,0
2025-07-03_1630,1630,BREAKOUT,BUY,2025-07-03 16:50:00,2025-07-04 11:15:00,22794.28,22728.03,22728.03,22926.78,66.25,-66.25,-1.0,SL_HIT,12.12999999999738,0.7384346814080723,0.4619519331086154,54.12000000000262,22755.09,39.18999999999869,2.0610749068297505,1,26.258143176002992,22749.50155385416,22720.499658450517,22692.51030818925,22654.80698928424,22623.957847995436,26.258143176002992,0.115196194729568,1.3776840782160618,0.0,1.0,0,0,1,1,1630,22782.15,22728.03,baseline_breakout,76.02758161235599,72.37980357136712,98.05530483301669,86.23513110403621,26.258143176002992,25.37999999999738,34.37000000000262,0.7384346814080723,0.06895548443417046,0.1926098341577572,bullish_full,3.647778040988868,0
