WindowID,EntryTime,Type,Status,MAE,MFE,BarsTracked,EntryPrice,StopPrice,TargetPrice,Bar1_Close,Bar3_Close,Bar5_Close,Bar10_Close
2025-06-30_1630,2025-06-30 16:45:00,SELL,SL_HIT,-54.87999999999738,3.3700000000026193,20,22581.15,22656.03,22431.390000000007,22581.15,22608.9,22612.78,22608.27
2025-07-01_0300,2025-07-01 03:35:00,BUY,SL_HIT,-12.5,16.75,20,22687.03,22670.4,22720.289999999997,22687.03,22691.15,22689.78,22680.15
2025-07-01_1000,2025-07-01 10:15:00,SELL,TP_HIT,-18.62000000000262,20.25,20,22628.78,22654.53,22577.28,22628.78,22631.9,22626.65,22616.78
2025-07-01_1630,2025-07-01 16:50:00,BUY,SL_HIT,-47.25,21.0,7,22613.4,22569.28,22701.640000000007,22613.4,22592.65,22618.9,
2025-07-02_0300,2025-07-02 04:30:00,SELL,TP_HIT,-11.12000000000262,30.12999999999738,9,22495.03,22508.28,22468.53,22495.03,22505.9,22494.53,
2025-07-02_1000,2025-07-02 10:15:00,SELL,TP_HIT,-11.75,48.37999999999738,20,22540.53,22566.15,22489.289999999997,22540.53,22523.28,22533.4,22516.53
2025-07-02_1630,2025-07-02 16:45:00,BUY,TP_HIT,-16.5,121.53999999999724,14,22499.9,22441.15,22617.4,22499.9,22496.28,22532.64,22592.82
2025-07-03_0300,2025-07-03 04:20:00,BUY,SL_HIT,-21.87999999999738,8.0,11,22651.78,22631.28,22692.78,22651.78,22650.28,22644.9,22633.78
2025-07-03_1000,2025-07-03 10:35:00,BUY,SL_HIT,-26.5,3.8700000000026193,14,22693.03,22670.53,22738.03,22693.03,22686.9,22676.9,22677.03
2025-07-03_1630,2025-07-03 16:50:00,BUY,SL_HIT,-32.0,81.15000000000146,20,22794.28,22728.03,22926.78,22794.28,22839.15,22852.28,22850.4
2025-07-04_1000,2025-07-04 11:20:00,SELL,SL_HIT,-19.0,42.75,20,22750.53,22804.9,22641.789999999997,22750.53,22751.78,22756.03,22737.78
