WindowID,EntryTime,Type,Status,MAE,MFE,BarsTracked,EntryPrice,StopPrice,TargetPrice,Bar1_Move,Bar3_Move,Bar5_Move,Bar10_Move
2025-06-30_1630,2025-06-30 16:45:00,SELL,SL_HIT,54.87999999999738,3.3700000000026193,20,22581.15,22656.03,22431.390000000007,0.0,-27.75,-31.62999999999738,-27.11999999999898
2025-07-01_0300,2025-07-01 03:35:00,BUY,SL_HIT,12.5,16.75,20,22687.03,22670.4,22720.289999999997,0.0,4.120000000002619,2.75,-6.879999999997381
2025-07-01_1000,2025-07-01 10:15:00,SELL,TP_HIT,18.62000000000262,20.25,20,22628.78,22654.53,22577.28,0.0,-3.1200000000026193,2.1299999999973807,12.0
2025-07-01_1630,2025-07-01 16:50:00,BUY,SL_HIT,47.25,21.0,7,22613.4,22569.28,22701.640000000007,0.0,-20.75,5.5,
2025-07-02_0300,2025-07-02 04:30:00,SELL,TP_HIT,11.12000000000262,30.12999999999738,9,22495.03,22508.28,22468.53,0.0,-10.87000000000262,0.5,
2025-07-02_1000,2025-07-02 10:15:00,SELL,TP_HIT,11.75,48.37999999999738,20,22540.53,22566.15,22489.289999999997,0.0,17.25,7.129999999997381,24.0
2025-07-02_1630,2025-07-02 16:45:00,BUY,TP_HIT,16.5,121.53999999999724,14,22499.9,22441.15,22617.4,0.0,-3.6200000000026193,32.73999999999796,92.91999999999825
2025-07-03_0300,2025-07-03 04:20:00,BUY,SL_HIT,21.87999999999738,8.0,11,22651.78,22631.28,22692.78,0.0,-1.5,-6.879999999997381,-18.0
2025-07-03_1000,2025-07-03 10:35:00,BUY,SL_HIT,26.5,3.8700000000026193,14,22693.03,22670.53,22738.03,0.0,-6.129999999997381,-16.12999999999738,-16.0
2025-07-03_1630,2025-07-03 16:50:00,BUY,SL_HIT,32.0,81.15000000000146,20,22794.28,22728.03,22926.78,0.0,44.87000000000262,58.0,56.12000000000262
2025-07-04_1000,2025-07-04 11:20:00,SELL,SL_HIT,19.0,42.75,20,22750.53,22804.9,22641.789999999997,0.0,-1.25,-5.5,12.75
2025-07-07_0300,2025-07-07 03:40:00,SELL,SL_HIT,16.0,52.12999999999738,20,22767.53,22800.28,22702.03,0.0,-4.25,21.5,11.62999999999738
2025-07-07_1630,2025-07-07 17:55:00,SELL,SL_HIT,61.599999999998545,62.590000000000146,20,22698.63,22776.15,22543.59,0.0,-10.099999999998545,-8.68999999999869,-17.18000000000029
2025-07-08_1000,2025-07-08 11:00:00,BUY,SL_HIT,20.25,14.5,20,22754.78,22728.65,22807.039999999997,0.0,-1.75,1.6200000000026193,-2.5
2025-07-08_1630,2025-07-08 16:55:00,SELL,SL_HIT,59.080000000001746,40.95999999999913,20,22687.03,22748.9,22563.289999999997,0.0,2.8799999999973807,0.5999999999985448,-44.280000000002474
2025-07-09_0300,2025-07-09 03:30:00,SELL,SL_HIT,34.75,11.12000000000262,19,22672.9,22706.15,22606.4,0.0,-12.5,-13.12999999999738,-15.37999999999738
2025-07-09_1000,2025-07-09 12:10:00,BUY,TP_HIT,16.25,33.12000000000262,20,22716.28,22682.9,22783.039999999997,0.0,19.62000000000262,20.75,15.0
2025-07-09_1630,2025-07-09 16:45:00,BUY,SL_HIT,121.76000000000204,25.75,11,22892.4,22785.53,23106.140000000007,0.0,1.25,3.899999999997817,-86.96000000000276
2025-07-10_0300,2025-07-10 03:25:00,SELL,SL_HIT,9.119999999998981,24.88000000000102,20,22822.18,22844.3,22777.94,0.0,0.0,0.5,9.130000000001019
2025-07-10_1000,2025-07-10 11:25:00,BUY,SL_HIT,24.75,13.369999999998981,20,22845.93,22792.55,22952.69,0.0,3.5,-1.25,5.369999999998981
2025-07-10_1630,2025-07-10 16:55:00,SELL,SL_HIT,49.01000000000204,58.86999999999898,20,22769.55,22898.8,22511.05,0.0,29.75,-4.5,-14.180000000000291
2025-07-22_0300,2025-07-22 03:20:00,BUY,SL_HIT,15.25,2.1299999999973807,7,23201.65,23188.15,23228.65,0.0,-2.75,-9.75,
2025-07-22_1000,2025-07-22 10:55:00,SELL,SL_HIT,13.12000000000262,35.0,20,23147.28,23189.15,23063.539999999997,0.0,-5.0,-4.620000000002619,23.37999999999738
2025-07-22_1630,2025-07-22 16:45:00,SELL,SL_HIT,64.62999999999738,102.87000000000262,20,23056.15,23191.53,22785.390000000007,0.0,70.75,37.12000000000262,10.2400000000016
2025-07-24_0300,2025-07-24 03:35:00,BUY,SL_HIT,11.25,20.61999999999898,20,23252.47,23233.59,23290.230000000003,0.0,1.5,-6.729999999999563,17.75
2025-07-24_1000,2025-07-24 10:55:00,BUY,SL_HIT,22.0,0.5,2,23220.99,23204.11,23254.750000000004,0.0,,,
2025-07-24_1630,2025-07-24 17:05:00,SELL,SL_HIT,65.52000000000044,32.25,20,23180.7,23249.08,23043.94,0.0,-3.8800000000010186,-1.1300000000010186,-36.659999999999854
2025-07-25_0300,2025-07-25 04:35:00,BUY,SL_HIT,2.6200000000026193,14.37999999999738,20,23276.4,23256.15,23316.9,0.0,7.629999999997381,5.129999999997381,8.75
2025-07-25_1000,2025-07-25 10:15:00,SELL,TP_HIT,7.25,26.5,20,23230.65,23248.9,23194.15,0.0,8.5,5.25,9.62000000000262
2025-07-25_1630,2025-07-25 16:45:00,BUY,TP_HIT,22.75,39.95999999999913,20,23239.15,23186.28,23344.890000000007,0.0,5.25,20.169999999998254,18.55999999999767
2025-07-28_0300,2025-07-28 03:15:00,BUY,TP_HIT,10.0,4.75,20,23397.65,23381.9,23429.15,0.0,-2.75,-1.8700000000026193,-4.370000000002619
2025-07-28_1000,2025-07-28 10:30:00,SELL,TP_HIT,15.37000000000262,2.6299999999973807,20,23392.78,23421.4,23335.539999999997,0.0,2.3799999999973807,-11.12000000000262,-0.75
2025-07-28_1630,2025-07-28 16:50:00,BUY,SL_HIT,51.150000000001455,19.87999999999738,18,23365.65,23322.15,23452.65,0.0,3.8799999999973807,9.0,1.359999999996944
2025-07-29_0300,2025-07-29 03:25:00,BUY,TP_HIT,10.12999999999738,13.37000000000262,20,23393.28,23378.78,23422.28,0.0,1.6200000000026193,-0.12999999999738066,8.87000000000262
2025-07-29_1000,2025-07-29 10:30:00,BUY,TP_HIT,4.5,35.0,20,23425.15,23406.4,23462.65,0.0,11.5,27.25,27.0
2025-07-29_1630,2025-07-29 16:45:00,SELL,TP_HIT,35.5,104.06000000000131,20,23451.65,23513.65,23327.65,0.0,2.0,18.12000000000262,31.06999999999971
2025-07-30_0300,2025-07-30 05:05:00,BUY,SL_HIT,13.25,12.62999999999738,20,23356.4,23334.28,23400.640000000007,0.0,-2.5,-7.370000000002619,1.25
2025-07-30_1630,2025-07-30 17:20:00,BUY,SL_HIT,39.590000000000146,25.520000000000437,20,23377.25,23313.53,23504.69,0.0,0.13000000000101863,2.7299999999995634,-9.299999999999272
2025-07-31_0300,2025-07-31 03:15:00,BUY,TP_HIT,19.37999999999738,41.75,20,23603.28,23578.03,23653.78,0.0,-0.8799999999973807,5.75,17.25
2025-07-31_1000,2025-07-31 10:20:00,BUY,TP_HIT,13.37999999999738,36.75,5,23664.78,23649.28,23695.78,0.0,11.87000000000262,35.37000000000262,
2025-07-31_1630,2025-07-31 17:30:00,SELL,TP_HIT,34.55999999999767,135.1600000000035,20,23484.58,23615.65,23222.44,0.0,1.6500000000014552,52.56000000000131,115.53000000000247
2025-08-01_0300,2025-08-01 03:20:00,SELL,SL_HIT,37.62000000000262,39.75,12,23142.78,23174.78,23078.78,0.0,10.37999999999738,-9.62000000000262,-17.5
2025-08-01_1000,2025-08-01 10:15:00,SELL,TP_HIT,24.62000000000262,143.37999999999738,20,23077.78,23150.03,22933.28,0.0,20.75,44.5,56.12999999999738
2025-08-01_1630,2025-08-01 16:45:00,SELL,SL_HIT,159.62000000000262,67.5,20,22738.78,22966.78,22282.78,0.0,-9.62000000000262,-24.62000000000262,-146.12000000000262
2025-08-04_1630,2025-08-04 16:45:00,BUY,SL_HIT,28.989999999997963,43.13000000000102,20,23099.03,22971.9,23353.289999999997,0.0,29.87000000000262,12.270000000000437,29.909999999999854
2025-08-06_0300,2025-08-06 03:35:00,BUY,TP_HIT,21.25,54.0,20,22977.4,22940.4,23051.4,0.0,-7.870000000002619,-13.87000000000262,-11.5
2025-08-06_1000,2025-08-06 11:25:00,SELL,TP_HIT,8.5,66.5,20,23080.53,23112.28,23017.03,0.0,8.87999999999738,23.0,11.5
2025-08-06_1630,2025-08-06 16:50:00,BUY,TP_HIT,65.98999999999796,99.72999999999956,20,23120.78,23040.03,23282.28,0.0,39.62000000000262,-12.090000000000146,13.729999999999563
2025-08-07_0300,2025-08-07 03:15:00,BUY,TP_HIT,8.5,40.12999999999738,20,23361.4,23334.78,23414.640000000007,0.0,14.62999999999738,23.5,17.5
2025-08-07_1000,2025-08-07 11:05:00,BUY,TP_HIT,8.0,55.87000000000262,20,23428.03,23361.53,23561.03,0.0,6.25,30.75,27.25
2025-08-07_1630,2025-08-07 17:20:00,SELL,TP_HIT,49.719999999997526,82.93000000000029,20,23455.4,23538.78,23288.640000000007,0.0,-3.0799999999981083,-15.549999999999272,31.909999999999854
2025-08-08_0300,2025-08-08 03:15:00,BUY,SL_HIT,9.12999999999738,21.5,20,23460.1,23427.47,23525.359999999997,0.0,4.5,16.0,9.75
2025-08-08_1000,2025-08-08 10:15:00,BUY,SL_HIT,17.87000000000262,14.37999999999738,20,23443.97,23424.22,23483.47,0.0,-5.25,1.8799999999973807,2.1299999999973807
2025-08-08_1630,2025-08-08 16:45:00,BUY,TP_HIT,23.5,72.5,20,23526.97,23429.22,23722.47,0.0,15.5,36.25,64.31999999999971
2025-08-12_1630,2025-08-12 16:45:00,SELL,SL_HIT,111.03000000000247,77.0,17,23600.03,23707.03,23386.03,0.0,45.75,7.75,-45.150000000001455
2025-08-13_0300,2025-08-13 03:30:00,SELL,SL_HIT,19.12000000000262,19.12999999999738,20,23840.78,23865.65,23791.039999999997,0.0,3.3799999999973807,-4.870000000002619,2.8799999999973807
