WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market
2025-06-30_1630,1630,PULLBACK,SELL,2025-06-30 16:50:00,2025-06-30 22:10:00,22590.15,22648.7,22656.03,22458.390000000007,65.87999999999738,-58.54999999999927,-0.8887370977535155,FILTER_EXIT,9.0,0.44937499999991815,0.10821334793847252,65.87999999999738,22623.09,-32.93999999999869,0.7921217069095874,0,83.16903756750213,22712.26740992687,23294.151061415323,24159.821407896958,25028.77161024585,22649.125721393037,75.4638325585015,0.3340655275187288,,0.0,0.0,0,0,0,0,1630,22656.03,22590.15,pullback_ema_reversal,UT100
2025-07-01_0300,0300,PULLBACK,BUY,2025-07-01 03:40:00,2025-07-01 05:50:00,22686.78,22670.4,22670.4,22719.539999999994,16.37999999999738,-16.37999999999738,-1.0,SL_HIT,0.25,0.6129999999997381,0.027679187282021855,16.37999999999738,22678.59,8.18999999999869,1.8135403507177819,0,9.03205709953701,22681.475068372547,22673.356841307803,22675.653790696677,23377.839173977853,22648.52179660529,8.710449486265757,0.03839206584170925,0.940750410903593,0.5,0.6666666666666666,0,1,0,1,0300,22686.78,22670.4,pullback_ema_reversal,UT100
2025-07-01_1000,1000,PULLBACK,SELL,2025-07-01 10:20:00,2025-07-01 15:15:00,22630.03,22581.03,22654.53,22581.03,24.5,49.0,2.0,TP_HIT,1.25,0.1836734693877551,0.1091054851872663,24.5,22642.28,-12.25,2.1384675096704195,0,11.456802541636902,22632.029194998428,22633.5741846702,22643.575611349803,22979.7179457092,22648.788072857067,11.32922886941865,0.05007110700220562,1.2624326657024894,0.0,0.0,0,0,0,0,1000,22654.53,22630.03,pullback_ema_reversal,UT100
2025-07-01_1630,1630,REVERSAL,SELL,2025-07-01 17:20:00,2025-07-01 17:25:00,22605.690000000002,22548.270000000004,22634.4,22548.270000000004,28.709999999999127,57.419999999998254,2.0,TP_HIT,0.0,0.27631578947368424,0.0,40.75,22589.655,16.035000000003492,1.9311521350555867,0,21.101392925123967,22597.939323491635,22597.313289093996,22603.26127108783,22769.308670135222,22645.016989672647,27.71489598714089,0.1227507973943909,1.4926478861150443,0.0,0.3333333333333333,0,0,0,0,1630,22610.03,22569.28,pullback_ema_reversal,UT100
2025-07-02_0300,0300,PULLBACK,SELL,2025-07-02 04:35:00,2025-07-02 05:05:00,22496.15,22471.890000000007,22508.28,22471.890000000007,12.12999999999738,24.25999999999476,2.0,TP_HIT,1.1200000000026193,0.6479663394115451,0.167883480008683,12.12999999999738,22502.215,-6.06499999999869,1.8182380468751094,0,6.671293685029,22500.327021764828,22501.274667429545,22500.56155088912,22576.149427882166,22630.361822583072,6.3151211936918,0.028069351051243918,0.9129033343107904,0.5,0.3333333333333333,0,1,0,0,0300,22508.28,22496.15,pullback_ema_reversal,UT100
2025-07-02_1630,1630,REVERSAL,SELL,2025-07-02 17:40:00,2025-07-02 17:45:00,22587.147500000003,22602.83,22602.83,22555.782500000005,15.682499999998981,-15.682499999998981,-1.0,SL_HIT,0.0,0.48119402985082443,0.0,54.87999999999738,22468.59,118.55750000000262,2.024397433853905,0,27.109301307263916,22559.056045314013,22521.316301341853,22494.853304588232,22516.126630282033,22616.17667842049,23.43156275764942,0.10381480796493757,0.9746859026823808,0.0,0.6666666666666666,0,0,1,0,1630,22496.03,22441.15,pullback_ema_reversal,UT100
2025-07-03_0300,0300,PULLBACK,BUY,2025-07-03 04:35:00,2025-07-03 05:10:00,22646.53,22631.28,22631.28,22677.03,15.25,-15.25,-1.0,SL_HIT,5.25,0.8,0.7908121203707499,15.25,22638.905,7.625,2.29712092107694,1,6.638744987290643,22646.398994759715,22643.292496988986,22637.2149733691,22595.63059397989,22617.71260816061,6.917132662837441,0.03054272306241529,1.1144917855882015,0.0,1.0,0,0,1,1,0300,22646.53,22631.28,pullback_ema_reversal,UT100
2025-07-03_1000,1000,PULLBACK,BUY,2025-07-03 10:45:00,2025-07-03 11:40:00,22687.65,22670.53,22670.53,22721.890000000007,17.12000000000262,-17.12000000000262,-1.0,SL_HIT,5.379999999997381,0.8333333333333334,0.5795897210459189,17.12000000000262,22679.09,8.56000000000131,1.8443449859316876,1,9.282428249915672,22684.494307743087,22677.74759066161,22667.694712784338,22630.23883513639,22620.321703866462,8.837023885492565,0.03895209960590722,1.0609323358840086,0.0,1.0,0,0,1,1,1000,22687.65,22670.53,pullback_ema_reversal,UT100
2025-07-04_0300,0300,PULLBACK,BUY,2025-07-04 04:15:00,2025-07-04 05:10:00,22839.65,22821.65,22821.65,22875.65,18.0,-18.0,-1.0,SL_HIT,1.1299999999973807,0.4364754098357631,0.16359958783030668,18.0,22830.65,9.0,2.606011133586147,1,6.907107866124154,22836.72825535095,22837.04877133758,22837.332604733776,22762.549271454212,22641.505165552102,7.203493483973918,0.031531138242833615,0.9321494430381645,0.5,0.3333333333333333,0,1,1,1,0300,22839.65,22821.65,pullback_ema_reversal,UT100
2025-07-04_1000,1000,REVERSAL,BUY,2025-07-04 12:05:00,2025-07-04 12:15:00,22732.09,22710.9,22710.9,22774.469999999998,21.18999999999869,-21.18999999999869,-1.0,SL_HIT,0.0,0.8102456874020973,0.0,28.37000000000262,22790.715,-58.625,2.0933231253990323,0,13.55261385869164,22740.809703662264,22751.53092210549,22771.63119266717,22779.210652309077,22652.26611354099,15.460618944792182,0.06799528777564118,1.160927512826037,0.0,0.3333333333333333,0,0,0,1,1000,22804.9,22776.53,pullback_ema_reversal,UT100
