WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market
2025-07-01_1630,1630,REVERSAL,SELL,2025-07-01 17:20:00,2025-07-01 17:25:00,22605.690000000002,22548.270000000004,22634.4,22548.270000000004,28.709999999999127,57.419999999998254,2.0,TP_HIT,0.0,0.27631578947368424,0.0,40.75,22589.655,16.035000000003492,1.9311521350555867,0,21.101392925123967,22597.939323491635,22597.313289093996,22603.26127108783,22769.308670135222,22645.016989672647,27.71489598714089,0.1227507973943909,1.4926478861150443,0.0,0.3333333333333333,0,0,0,0,1630,22610.03,22569.28,reversal_only,UT100
2025-07-02_1630,1630,REVERSAL,SELL,2025-07-02 17:40:00,2025-07-02 17:45:00,22587.147500000003,22602.83,22602.83,22555.782500000005,15.682499999998981,-15.682499999998981,-1.0,SL_HIT,0.0,0.48119402985082443,0.0,54.87999999999738,22468.59,118.55750000000262,2.024397433853905,0,27.109301307263916,22559.056045314013,22521.316301341853,22494.853304588232,22516.126630282033,22616.17667842049,23.43156275764942,0.10381480796493757,0.9746859026823808,0.0,0.6666666666666666,0,0,1,0,1630,22496.03,22441.15,reversal_only,UT100
2025-07-03_0300,0300,REVERSAL,BUY,2025-07-03 05:40:00,2025-07-03 06:05:00,22629.809999999998,22643.369999999995,22623.03,22643.369999999995,6.779999999998836,13.559999999997672,2.0,TP_HIT,0.0,0.85,0.0,15.25,22638.905,-9.095000000001164,2.294579760289989,1,6.646097147685425,22633.70133981026,22637.177841812263,22636.59669131946,22600.58662579365,22617.932184198817,7.332822350656913,0.032396976403300276,1.1050460878097912,0.0,0.6666666666666666,0,0,1,1,0300,22646.53,22631.28,reversal_only,UT100
2025-07-03_1000,1000,REVERSAL,BUY,2025-07-03 12:20:00,2025-07-03 12:55:00,22655.715,22647.28,22647.28,22672.585000000003,8.43500000000131,-8.43500000000131,-1.0,SL_HIT,0.0,0.8505263157896575,0.0,17.12000000000262,22679.09,-23.375,1.7027563851814902,1,10.054286185030435,22659.482524281513,22666.370103742684,22667.514941630867,22636.986673385516,22620.866415059427,10.644550046234064,0.04697344948511951,1.1502765400489816,0.0,0.3333333333333333,0,0,1,1,1000,22687.65,22670.53,reversal_only,UT100
2025-07-04_0300,0300,REVERSAL,BUY,2025-07-04 05:25:00,2025-07-04 07:25:00,22811.932500000003,22800.9,22800.9,22833.997500000005,11.032500000001164,-11.032500000001164,-1.0,SL_HIT,0.0,0.38486486486500643,0.0,18.0,22830.65,-18.717499999998836,2.1822384540622686,1,8.248411151628613,22821.4846108336,22828.83774290763,22833.583129070867,22771.373824293198,22643.274069377458,9.948503496333979,0.04360290187579403,1.2953680809738664,0.0,0.3333333333333333,0,0,1,1,0300,22839.65,22821.65,reversal_only,UT100
2025-07-04_1000,1000,REVERSAL,BUY,2025-07-04 12:05:00,2025-07-04 12:15:00,22732.09,22710.9,22710.9,22774.469999999998,21.18999999999869,-21.18999999999869,-1.0,SL_HIT,0.0,0.8102456874020973,0.0,28.37000000000262,22790.715,-58.625,2.0933231253990323,0,13.55261385869164,22740.809703662264,22751.53092210549,22771.63119266717,22779.210652309077,22652.26611354099,15.460618944792182,0.06799528777564118,1.160927512826037,0.0,0.3333333333333333,0,0,0,1,1000,22804.9,22776.53,reversal_only,UT100
2025-07-07_0300,0300,REVERSAL,BUY,2025-07-07 05:05:00,2025-07-07 05:10:00,22744.34,22751.960000000003,22740.53,22751.960000000003,3.8100000000013097,7.620000000002619,2.0,TP_HIT,0.0,0.6283320639757537,0.0,22.12999999999738,22789.215,-44.875,1.5734299355353158,0,14.064814390650488,22745.099294931617,22752.543882379097,22758.141495278298,22755.18348155329,22662.889155842324,11.718025841854294,0.05151736208586513,0.8834883900086167,0.0,0.3333333333333333,0,0,0,1,0300,22800.28,22778.15,reversal_only,UT100
2025-07-07_1000,1000,REVERSAL,BUY,2025-07-07 11:20:00,2025-07-07 11:45:00,22724.932500000003,22717.53,22717.53,22739.73750000001,7.4025000000037835,-7.4025000000037835,-1.0,SL_HIT,0.0,0.8829629629628336,0.0,19.0,22739.4,-14.467499999998836,1.5363819969091908,0,12.366716115017724,22732.58614940584,22736.172918652446,22741.686928612686,22750.447464240573,22667.727871305717,13.28005194213154,0.05842128507025942,1.1572844372419084,0.0,0.3333333333333333,0,0,0,1,1000,22748.9,22729.9,reversal_only,UT100
2025-07-07_1630,1630,REVERSAL,BUY,2025-07-07 18:05:00,2025-07-07 18:30:00,22703.3,22724.419999999995,22692.74,22724.419999999995,10.559999999997672,21.119999999995343,2.0,TP_HIT,0.0,0.5393436140766685,0.0,74.25,22739.025,-35.72500000000218,2.9698777600342012,0,25.001028998292824,22716.23340999608,22728.530342913666,22742.089030088242,22749.894636087265,22673.143447692863,23.470995114273002,0.10335670517141646,0.9346989579228632,0.0,0.3333333333333333,0,0,0,1,1630,22776.15,22701.9,reversal_only,UT100
2025-07-08_1630,1630,REVERSAL,BUY,2025-07-08 17:30:00,2025-07-08 17:50:00,22688.39,22666.45,22655.34,22754.489999999998,33.04999999999927,-21.93999999999869,-0.6638426626323501,FILTER_EXIT,0.0,0.8511904761904762,0.0,53.75,22722.025,-33.63500000000204,2.317564108137893,0,23.192454444415276,22697.86485732309,22710.36739863988,22725.219011049634,22726.42050720776,22680.890725945334,27.51714956511526,0.12107920185542853,1.4963201389609937,0.0,0.3333333333333333,0,0,1,1,1630,22748.9,22695.15,reversal_only,UT100
