WindowID,EntryTime,Loss_baseline_breakout,Loss_pullback_ema,Loss_pullback_ema_reversal,Loss_pullback_only,Loss_reversal_failed_move,Loss_reversal_only,R_Multiple_baseline_breakout,R_Multiple_pullback_ema,R_Multiple_pullback_ema_reversal,R_Multiple_pullback_only,R_Multiple_reversal_failed_move,R_Multiple_reversal_only,TradeTaken_baseline_breakout,TradeTaken_pullback_ema,TradeTaken_pullback_ema_reversal,TradeTaken_pullback_only,TradeTaken_reversal_failed_move,TradeTaken_reversal_only,Win_baseline_breakout,Win_pullback_ema,Win_pullback_ema_reversal,Win_pullback_only,Win_reversal_failed_move,Win_reversal_only,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,RangeHigh,RangeLow,RangeWidth,RangeMid,EntryOffset,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeAtrRatio,ATR_Value,PriceAboveEMA200_5M,Price_Above_EMA200_5M,Price_Above_EMA200_1H,Market,BestMode,BestResult,BestRR,TargetWin
2025-06-30_1630,2025-06-30 16:45:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22742.951762408586,23364.613167556858,24223.914934749893,25053.2866013036,22649.12572139304,83.16903756750213,0.3683117891139385,,0.0,0.0,0,0,22656.03,22590.15,65.87999999999738,22623.09,-41.93999999999869,9.0,0.4493749999999181,0.1082133479384725,0.7921217069095874,83.16903756750213,0,0,0,UT100,baseline_breakout,LOSS,-1.0,0
2025-06-30_1630,2025-06-30 16:50:00,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,22712.26740992687,23294.151061415323,24159.82140789696,25028.77161024585,22649.12572139304,75.4638325585015,0.3340655275187288,,0.0,0.0,0,0,22656.03,22590.15,65.87999999999738,22623.09,-32.93999999999869,9.0,0.4493749999999181,0.1082133479384725,0.7921217069095874,83.16903756750213,0,0,0,UT100,pullback_only,LOSS,-1.0,0
2025-07-01_0300,2025-07-01 03:35:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22679.80633546568,22671.877525438584,22675.14374133736,23384.770723465062,22648.52179660529,9.03205709953701,0.0398115447440101,0.9781984627520972,0.5,0.6666666666666666,0,1,22686.78,22670.4,16.37999999999738,22678.59,8.43999999999869,0.25,0.6129999999997381,0.0276791872820218,1.8135403507177816,9.03205709953701,0,0,1,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-01_0300,2025-07-01 03:40:00,,1.0,1.0,1.0,,,,-1.0,-1.0,-1.0,,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,22681.475068372547,22673.356841307803,22675.65379069668,23377.839173977853,22648.52179660529,8.710449486265757,0.0383920658417092,0.940750410903593,0.5,0.6666666666666666,0,1,22686.78,22670.4,16.37999999999738,22678.59,8.18999999999869,0.25,0.6129999999997381,0.0276791872820218,1.8135403507177816,9.03205709953701,0,0,1,UT100,pullback_only,LOSS,-1.0,0
2025-07-01_1000,2025-07-01 10:15:00,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,22633.46649374804,22634.30360313722,22644.281554670204,22983.27008586708,22648.788072857067,11.456802541636902,0.050629342552435,1.3069030420706875,0.0,0.0,0,0,22654.53,22630.03,24.5,22642.28,-13.5,1.25,0.1836734693877551,0.1091054851872663,2.1384675096704195,11.456802541636902,0,0,0,UT100,baseline_breakout,WIN,2.0,1
2025-07-01_1000,2025-07-01 10:20:00,,0.0,0.0,0.0,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,22632.029194998428,22633.5741846702,22643.575611349803,22979.7179457092,22648.788072857067,11.32922886941865,0.0500711070022056,1.2624326657024894,0.0,0.0,0,0,22654.53,22630.03,24.5,22642.28,-12.25,1.25,0.1836734693877551,0.1091054851872663,2.1384675096704195,11.456802541636902,0,0,0,UT100,pullback_only,WIN,2.0,1
2025-07-01_1630,2025-07-01 16:50:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22598.12544666913,22596.493440760645,22604.553638218465,22779.86846448132,22646.71032625227,21.101392925123967,0.0933136676710444,1.3309079105245951,0.0,0.3333333333333333,0,0,22610.03,22569.28,40.75,22589.655,23.74500000000262,3.37000000000262,0.2763157894736842,0.15970509681331,1.9311521350555867,21.101392925123967,0,0,0,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-01_1630,2025-07-01 16:55:00,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,22598.380357335307,22596.757673418768,22604.35153475892,22778.07275836708,22646.71032625227,21.103873868441124,0.0933824520493514,1.2916019993459922,0.0,0.3333333333333333,0,0,22610.03,22569.28,40.75,22589.655,20.375,3.37000000000262,0.2763157894736842,0.15970509681331,1.9311521350555867,21.101392925123967,0,0,0,UT100,pullback_only,LOSS,-1.0,0
2025-07-01_1630,2025-07-01 17:20:00,,,0.0,,,0.0,,,2.0,,,2.0,,,1.0,,,1.0,,,1.0,,,1.0,22597.939323491635,22597.313289094,22603.26127108783,22769.308670135222,22645.016989672647,27.71489598714089,0.1227507973943909,1.4926478861150445,0.0,0.3333333333333333,0,0,22610.03,22569.28,40.75,22589.655,16.035000000003492,0.0,0.2763157894736842,0.0,1.9311521350555867,21.101392925123967,0,0,0,UT100,pullback_ema_reversal,WIN,2.0,1
2025-07-01_1630,2025-07-01 17:30:00,,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,22577.36596703465,22587.66172652396,22598.55822063894,22764.813823074302,22645.016989672647,32.75341076367467,0.1453895268459869,1.6293870229519662,0.0,0.0,0,0,22610.03,22569.28,40.75,22589.655,-20.375,12.549999999999272,0.4661654135338575,0.4152021116744855,1.3481662191821726,30.226243188855342,0,0,0,UT100,pullback_ema,WIN,2.0,1
