<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250612,000000,3356.525,3359.365,3356.525,3357.785,0,0
XAUUSD,5,20250612,000500,3357.905,3360.285,3356.515,3360.045,0,0
XAUUSD,5,20250612,001000,3360.015,3361.515,3359.165,3361.165,0,0
XAUUSD,5,20250612,001500,3360.985,3364.115,3359.925,3362.995,0,0
XAUUSD,5,20250612,002000,3362.955,3364.675,3362.955,3364.355,0,0
XAUUSD,5,20250612,002500,3363.505,3365.115,3363.265,3363.835,0,0
XAUUSD,5,20250612,003000,3363.875,3365.505,3362.955,3365.385,0,0
XAUUSD,5,20250612,003500,3365.265,3367.845,3365.265,3367.755,0,0
XAUUSD,5,20250612,004000,3367.415,3367.555,3366.025,3366.025,0,0
XAUUSD,5,20250612,004500,3366.125,3366.435,3364.885,3365.115,0,0
XAUUSD,5,20250612,005000,3365.125,3367.295,3364.615,3367.205,0,0
XAUUSD,5,20250612,005500,3367.485,3369.765,3366.865,3369.275,0,0
XAUUSD,5,20250612,010000,3369.3,3373.345,3369.125,3371.685,0,0
XAUUSD,5,20250612,010500,3372.415,3372.785,3369.875,3370.195,0,0
XAUUSD,5,20250612,011000,3370.005,3370.605,3366.605,3366.705,0,0
XAUUSD,5,20250612,011500,3365.795,3367.925,3363.845,3366.665,0,0
XAUUSD,5,20250612,012000,3366.655,3366.745,3364.785,3366.445,0,0
XAUUSD,5,20250612,012500,3366.555,3366.635,3364.485,3364.955,0,0
XAUUSD,5,20250612,013000,3364.745,3366.835,3364.275,3366.425,0,0
XAUUSD,5,20250612,013500,3366.415,3366.645,3363.935,3364.675,0,0
XAUUSD,5,20250612,014000,3364.795,3366.335,3364.545,3365.415,0,0
XAUUSD,5,20250612,014500,3365.685,3366.355,3362.755,3363.045,0,0
XAUUSD,5,20250612,015000,3362.845,3363.405,3357.715,3358.635,0,0
XAUUSD,5,20250612,015500,3359.325,3365.685,3359.325,3365.685,0,0
XAUUSD,5,20250612,020000,3365.72,3366.805,3362.735,3363.025,0,0
XAUUSD,5,20250612,020500,3363.505,3365.355,3362.605,3364.765,0,0
XAUUSD,5,20250612,021000,3364.685,3365.385,3363.535,3365.005,0,0
XAUUSD,5,20250612,021500,3364.265,3366.955,3363.785,3366.955,0,0
