WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2024-11-28_0300,0300,BREAKOUT,SELL,2024-11-28 03:15:00,2024-11-28 03:30:00,2622.94,2623.18,2636.25,2596.32,13.309999999999945,-0.23999999999978172,-0.018031555221621542,FILTER_EXIT,0.7300000000000182,0.8142857142857669,0.23128744305051593,12.579999999999927,2629.96,-7.019999999999982,3.9857479911991796,0,3.1562457104105626,2630.7338390038353,2633.669589553143,2635.558592654685,2637.9314603618486,2642.021597135937,3.1562457104105626,0.12033236408040453,2.6993452655680477,0.0,0.0,0,0,0,0,0300,2636.25,2623.67
2024-11-28_1000,1000,BREAKOUT,BUY,2024-11-28 10:25:00,2024-11-28 10:55:00,2638.77,2644.93,2635.69,2644.93,3.0799999999999272,6.1599999999998545,2.0,TP_HIT,0.23999999999978172,0.5882352941174898,0.16054909563131164,2.8400000000001455,2637.11,1.6599999999998545,1.8998309649723462,1,1.494869834402075,2637.5837965946885,2636.85483298616,2635.1305979794256,2635.0211117927206,2641.5185012004367,1.494869834402075,0.056650251230765655,0.888154695853107,0.5,0.6666666666666666,0,1,1,0,1000,2638.53,2635.69
2024-11-28_1630,1630,BREAKOUT,SELL,2024-11-28 16:50:00,2024-11-28 17:05:00,2642.29,2641.34,2646.84,2633.1899999999996,4.550000000000182,0.9499999999998181,0.20879120879116048,FILTER_EXIT,1.0700000000001637,0.7707006369426179,0.6815972505619912,3.480000000000018,2645.1000000000004,-2.8100000000004,2.2167835812667094,1,1.5698420131799626,2644.5530224674617,2645.3162551719142,2645.227545098049,2640.803284041014,2641.768382608734,1.5698420131799626,0.059412177057778015,0.9565415720475829,0.0,0.6666666666666666,0,0,1,1,1630,2646.84,2643.36
2024-11-29_0300,0300,BREAKOUT,BUY,2024-11-29 03:15:00,2024-11-29 04:20:00,2641.96,2657.8199999999997,2634.03,2657.8199999999997,7.929999999999836,15.859999999999673,2.0,TP_HIT,0.36000000000012733,0.2745098039215468,0.20983656578854373,7.569999999999709,2637.815,4.144999999999982,4.412396675051815,1,1.7156209102416693,2639.007883928347,2638.498809689782,2639.0100847113727,2639.965315757218,2641.6106894214013,1.7156209102416693,0.06493742941761682,1.688382701108446,0.0,0.6666666666666666,0,0,1,1,0300,2641.6,2634.03
2024-11-29_1000,1000,BREAKOUT,SELL,2024-11-29 10:40:00,2024-11-29 10:55:00,2655.61,2657.32,2662.53,2641.77,6.920000000000073,-1.7100000000000364,-0.24710982658959804,FILTER_EXIT,0.8899999999998727,0.6593406593405001,0.4686925293807279,6.0300000000002,2659.5150000000003,-3.9050000000002,3.1755235417598735,1,1.8988994793149532,2657.896114378462,2659.4014767992867,2659.591983356554,2651.409654224411,2642.880760188024,1.8988994793149532,0.07150520894690686,1.1291057019669017,0.0,0.3333333333333333,0,0,1,1,1000,2662.53,2656.5
2024-11-29_1630,1630,BREAKOUT,SELL,2024-11-29 16:55:00,2024-11-29 17:10:00,2653.47,2654.33,2659.26,2641.889999999999,5.790000000000418,-0.8600000000001273,-0.14853195164077118,FILTER_EXIT,1.2100000000000364,0.38693467336693754,0.39609527844671505,4.580000000000382,2656.9700000000003,-3.5000000000004547,1.499269731641365,0,3.054820559197381,2656.333068899909,2657.8476010605555,2659.2852230455733,2656.048798980329,2643.855321451581,3.054820559197381,0.11512549827951254,1.202364149238411,0.0,0.3333333333333333,0,0,0,1,1630,2659.26,2654.68
2024-12-02_0300,0300,BREAKOUT,SELL,2024-12-02 03:15:00,2024-12-02 03:35:00,2629.09,2634.63,2637.56,2612.1500000000005,8.4699999999998,-5.539999999999964,-0.6540731995277561,FILTER_EXIT,2.1399999999998727,0.42242503259449166,0.5485404670635868,6.329999999999927,2634.395,-5.304999999999836,1.622551942295641,0,3.9012618548556484,2634.728785235363,2639.2521108067835,2645.3965598245295,2652.6481192966344,2644.3548689651216,3.9012618548556484,0.1483882961349991,1.633325274156758,0.0,0.0,0,0,0,0,0300,2637.56,2631.23
2024-12-02_1000,1000,BREAKOUT,BUY,2024-12-02 10:20:00,2024-12-02 10:30:00,2632.49,2627.76,2626.86,2643.749999999999,5.629999999999654,-4.729999999999563,-0.8401420959147164,FILTER_EXIT,0.6299999999996544,0.7892857142855136,0.28909757224423716,5.0,2629.36,3.1299999999996544,2.2944251765428234,0,2.1791950555275297,2630.3798168565086,2629.346409565123,2628.8959118197627,2638.6797507652936,2643.2220232849972,2.1791950555275297,0.08278075341321449,1.1084511316008703,0.0,0.6666666666666666,0,0,0,0,1000,2631.86,2626.86
2024-12-02_1630,1630,BREAKOUT,SELL,2024-12-02 16:45:00,2024-12-02 17:00:00,2644.66,2643.69,2649.0,2635.9799999999996,4.3400000000001455,0.9699999999997999,0.22350230414741185,FILTER_EXIT,0.3500000000003638,0.37971014492754046,0.1156690859376282,3.9899999999997817,2647.005,-2.3450000000002547,1.3186275796875186,1,3.025873310601702,2646.8713055927583,2646.060665259932,2643.0204117713915,2639.827990148585,2643.08029823027,3.025873310601702,0.11441445443277026,1.0510114266777384,0.0,1.0,0,0,1,1,1630,2649.0,2645.01
2024-12-03_0300,0300,BREAKOUT,SELL,2024-12-03 03:25:00,2024-12-03 03:40:00,2637.93,2640.59,2644.57,2624.649999999999,6.640000000000327,-2.6600000000003092,-0.400602409638581,FILTER_EXIT,3.1700000000000728,0.9781021897809872,1.6542813831458187,3.4700000000002547,2642.835,-4.9050000000002,1.8108379809199622,0,1.9162399047083087,2641.7812313051645,2641.917366549184,2641.1247058513886,2640.196102453062,2642.715108025901,1.9162399047083087,0.07264180265239445,1.6742411121582954,0.0,0.3333333333333333,0,0,0,0,0300,2644.57,2641.1
