WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-06-12_0300,0300,PULLBACK,BUY,2025-06-12 03:35:00,2025-06-12 03:40:00,3370.875,3369.035,3362.955,3386.715,7.920000000000073,-1.8400000000001455,-0.23232323232324856,FILTER_EXIT,2.1100000000001273,0.587084148728022,0.5312024743249427,7.920000000000073,3366.915,3.9600000000000364,1.9938974391721949,1,3.97212005211673,3371.1865828237555,3368.95846268668,3365.978931014777,3361.0013491927166,3369.2257085744027,3.8713030383705043,0.11477992467309865,1.0519138382717754,0.0,1.0,0,0,1,1,0300,3370.875,3362.955
2025-06-12_1000,1000,REVERSAL,SELL,2025-06-12 10:40:00,2025-06-12 11:10:00,3358.94,3361.205,3361.205,3354.4100000000003,2.2649999999998727,-2.2649999999998727,-1.0,SL_HIT,0.0,0.843195266272192,0.0,5.835000000000036,3348.4975,10.44250000000011,1.1454910484450096,0,5.093885288689928,3356.8063658750198,3358.594786836731,3363.6910759347106,3365.00324162675,3369.088488974422,3.9985362837775416,0.11906270153237805,0.9575338109912575,0.0,0.0,0,0,0,0,1000,3351.415,3345.58
2025-06-12_1630,1630,REVERSAL,BUY,2025-06-12 17:20:00,2025-06-12 19:20:00,3383.6600000000003,3378.365,3378.365,3394.2500000000014,5.2950000000005275,-5.2950000000005275,-1.0,SL_HIT,0.0,0.562189054726425,0.0,5.690000000000055,3387.71,-4.049999999999727,1.3879275637237611,1,4.099637581037719,3384.9275668695577,3386.043636167249,3384.1120689156464,3374.037087935985,3370.0109274880924,4.240295975474897,0.12518310368880287,0.8880834765523042,0.0,0.6666666666666666,0,0,1,1,1630,3390.555,3384.865
2025-06-13_0300,0300,PULLBACK,BUY,2025-06-13 03:20:00,2025-06-13 08:45:00,3424.69,3414.3,3414.3,3445.47,10.389999999999873,-10.389999999999873,-1.0,SL_HIT,1.7199999999998,0.1999999999999786,0.2772853144200725,10.389999999999873,3419.495,5.195000000000164,1.6749967539679378,1,6.202997095598404,3419.6526176591397,3411.111738942882,3400.3608831108845,3386.1161027508583,3372.1496540990534,6.1252641495186015,0.17879441279203828,1.137792436479615,0.0,1.0,0,0,1,1,0300,3424.69,3414.3
2025-06-13_1000,1000,PULLBACK,BUY,2025-06-13 11:05:00,2025-06-13 12:35:00,3422.12,3414.71,3414.71,3436.9399999999996,7.4099999999998545,-7.4099999999998545,-1.0,SL_HIT,3.4900000000002365,0.9840319361277597,0.9844712217859188,7.4099999999998545,3418.415,3.7049999999999272,2.0902383247659087,1,3.5450502998645956,3423.4022900281034,3421.9348184098963,3421.4573938272924,3409.2090175322815,3376.210390850546,2.836812378149493,0.08288157050510829,0.8466189977598099,0.5,1.0,0,1,1,1,1000,3422.12,3414.71
2025-06-13_1630,1630,PULLBACK,BUY,2025-06-13 16:50:00,2025-06-13 16:55:00,3436.91,3433.16,3433.16,3444.41,3.75,-3.75,-1.0,SL_HIT,2.3600000000001273,0.88439306358379,0.5533731327888567,3.75,3435.035,1.875,0.8793005287958052,1,4.264753491204644,3434.5027474893186,3434.5402343855376,3431.285943414188,3418.8683550112523,3378.7428484377065,5.368119692377353,0.15654328443051221,1.1940554615339665,0.0,0.6666666666666666,0,0,1,1,1630,3436.91,3433.16
2025-06-16_0300,0300,PULLBACK,BUY,2025-06-16 04:00:00,2025-06-16 05:30:00,3441.36,3433.38,3433.38,3457.32,7.980000000000018,-7.980000000000018,-1.0,SL_HIT,0.06999999999970896,0.14469453376199345,0.020572011862842642,7.980000000000018,3437.37,3.9900000000002365,2.3452093523738173,1,3.402681296628241,3440.5313333166573,3440.786129162822,3440.867963688091,3431.8433547732984,3385.1434742088227,3.4383237904111517,0.09985635138723223,0.8954526101435762,0.0,0.3333333333333333,0,0,1,1,0300,3441.36,3433.38
2025-06-16_1000,1000,PULLBACK,BUY,2025-06-16 10:20:00,2025-06-16 15:15:00,3415.21,3410.38,3410.38,3424.87,4.829999999999927,-4.829999999999927,-1.0,SL_HIT,1.2799999999997453,0.5380952380950969,0.4245311659085833,4.829999999999927,3412.795,2.4149999999999636,1.6019418213584644,0,3.0150907702153837,3414.0520568290026,3415.0531500280426,3419.9267707641866,3427.68141960381,3387.222924331249,3.2277453341866833,0.09453857068506868,0.9874876349086119,0.5,0.3333333333333333,0,1,0,1,1000,3415.21,3410.38
2025-06-17_0300,0300,REVERSAL,BUY,2025-06-17 04:05:00,2025-06-17 04:10:00,3394.3175,3395.2325,3393.86,3395.2325,0.4574999999999818,0.9149999999999636,2.0,TP_HIT,0.0,0.6855670103092215,0.0,8.2800000000002,3398.4700000000003,-4.1525000000001455,3.102670107227996,0,2.668669150713468,3396.2157392575423,3397.2928962637634,3396.283766228321,3401.599203778936,3388.972164369917,2.7772699627015043,0.08181194104638126,0.979650717571971,0.0,0.6666666666666666,0,0,0,1,0300,3402.61,3394.33
2025-06-17_1000,1000,PULLBACK,SELL,2025-06-17 11:55:00,2025-06-17 12:10:00,3385.03,3391.75,3388.67,3377.7500000000005,3.6399999999998727,-6.7199999999998,-1.8461538461538558,FILTER_EXIT,2.9100000000003092,0.6992665036674879,0.9382786066227761,3.6399999999998727,3386.8500000000004,-1.8200000000001637,1.1736543395554717,0,3.101424224596267,3383.1869067658,3383.3198561373247,3385.359155064249,3392.8893282065096,3388.8731062046354,2.8744919731412404,0.0848989589737443,1.0495367349044544,0.0,0.0,0,0,0,0,1000,3388.67,3385.03
